rank,code,name,weight_pct,in_cache,first,last,n_days
1,2330,台積電,41.4777,True,2016-01-04,2026-09-10,2598
2,2454,聯發科,4.1867,True,2016-01-04,2026-09-10,2598
3,2308,台達電,3.1786,True,2016-01-04,2026-09-10,2598
4,2317,鴻海,2.3325,True,2016-01-04,2026-09-10,2598
5,3711,日月光投控,1.7363,True,2016-01-04,2026-09-10,2598
6,2881,富邦金,1.3415,True,2016-01-04,2026-09-10,2598
7,2383,台光電,1.3071,True,2016-01-04,2026-09-10,2598
8,1303,南亞,1.2791,True,2016-01-04,2026-09-10,2598
9,2408,南亞科,1.119,True,2016-01-04,2026-09-10,2598
10,3037,欣興,1.0889,True,2016-01-04,2026-09-10,2598
11,2303,聯電,1.079,True,2016-01-04,2026-09-10,2598
12,2882,國泰金,1.078,True,2016-01-04,2026-09-10,2598
13,2382,廣達,0.9247,True,2016-01-04,2026-09-10,2598
14,2059,川湖,0.8987,True,2016-01-04,2026-09-10,2598
15,3017,奇鋐,0.8941,True,2016-01-04,2026-09-10,2598
16,6669,緯穎,0.8769,True,2017-11-13,2026-09-10,2146
17,2891,中信金,0.8467,True,2016-01-04,2026-09-10,2598
18,2345,智邦,0.7594,True,2016-01-04,2026-09-10,2598
19,2327,國巨*,0.7508,True,2016-01-04,2026-09-10,2598
20,2412,中華電,0.7016,True,2016-01-04,2026-09-10,2598
21,7769,鴻勁,0.7012,True,2024-11-01,2026-09-10,453
22,3008,大立光,0.6655,True,2016-01-04,2026-09-10,2598
23,2887,台新新光金,0.6439,True,2016-01-04,2026-09-10,2598
24,2885,元大金,0.603,True,2016-01-04,2026-09-10,2598
25,3653,健策,0.5845,True,2016-01-04,2026-09-10,2598
26,2360,致茂,0.5543,True,2016-01-04,2026-09-10,2598
27,2344,華邦電,0.5462,True,2016-01-04,2026-09-10,2598
28,3443,創意,0.5437,True,2016-01-04,2026-09-10,2598
29,8046,南電,0.5286,True,2016-01-04,2026-09-10,2598
30,2357,華碩,0.4935,True,2016-01-04,2026-09-10,2598
31,2886,兆豐金,0.4789,True,2016-01-04,2026-09-10,2598
32,2301,光寶科,0.4698,True,2016-01-04,2026-09-10,2598
33,6505,台塑化,0.4656,True,2016-01-04,2026-09-10,2598
34,2884,玉山金,0.4281,True,2016-01-04,2026-09-10,2598
35,2890,永豐金,0.4041,True,2016-01-04,2026-09-10,2598
36,2368,金像電,0.4006,True,2016-01-04,2026-09-10,2598
37,6446,藥華藥,0.3919,True,2016-01-04,2026-09-10,2598
38,2395,研華,0.3909,True,2016-01-04,2026-09-10,2598
39,2880,華南金,0.3865,True,2016-01-04,2026-09-10,2598
40,2883,凱基金,0.3821,True,2016-01-04,2026-09-10,2598
41,3231,緯創,0.3765,True,2016-01-04,2026-09-10,2598
42,4958,臻鼎-KY,0.3687,True,2016-01-04,2026-09-10,2598
43,2892,第一金,0.3376,True,2016-01-04,2026-09-10,2598
44,2603,長榮,0.3362,True,2016-01-04,2026-09-10,2598
45,3665,貿聯-KY,0.288,True,2016-01-04,2026-09-10,2598
46,1216,統一,0.2879,True,2016-01-04,2026-09-10,2598
47,3045,台灣大,0.2872,True,2016-01-04,2026-09-10,2598
48,3189,景碩,0.287,True,2016-01-04,2026-09-10,2598
49,1301,台塑,0.2803,True,2016-01-04,2026-09-10,2598
50,5880,合庫金,0.2731,True,2016-01-04,2026-09-10,2598
51,1326,台化,0.2662,True,2016-01-04,2026-09-10,2598
52,3481,群創,0.2649,True,2016-01-04,2026-09-10,2598
53,2379,瑞昱,0.2472,True,2016-01-04,2026-09-10,2598
54,4904,遠傳,0.2361,True,2016-01-04,2026-09-10,2598
55,6770,力積電,0.2264,True,2020-12-09,2026-09-10,1397
56,3661,世芯-KY,0.2261,True,2016-01-04,2026-09-10,2598
57,2449,京元電子,0.2194,True,2016-01-04,2026-09-10,2598
58,3034,聯詠,0.2185,True,2016-01-04,2026-09-10,2598
59,2615,萬海,0.2128,True,2016-01-04,2026-09-10,2598
60,2313,華通,0.2039,True,2016-01-04,2026-09-10,2598
61,2801,彰銀,0.2017,True,2016-01-04,2026-09-10,2598
62,2002,中鋼,0.1983,True,2016-01-04,2026-09-10,2598
63,2207,和泰車,0.1901,True,2016-01-04,2026-09-10,2598
64,1590,亞德客-KY,0.1895,True,2016-01-04,2026-09-10,2598
65,3044,健鼎,0.1736,True,2016-01-04,2026-09-10,2598
66,1519,華城,0.1685,True,2016-01-04,2026-09-10,2598
67,2337,旺宏,0.166,True,2016-01-04,2026-09-10,2598
68,3036,文曄,0.1654,True,2016-01-04,2026-09-10,2598
69,4938,和碩,0.1625,True,2016-01-04,2026-09-10,2598
70,2376,技嘉,0.1595,True,2016-01-04,2026-09-10,2598
71,2356,英業達,0.1591,True,2016-01-04,2026-09-10,2598
72,2618,長榮航,0.1508,True,2016-01-04,2026-09-10,2598
73,6515,穎崴,0.1506,True,2019-11-19,2026-09-10,1656
74,2912,統一超,0.1497,True,2016-01-04,2026-09-10,2598
75,5876,上海商銀,0.1401,True,2016-01-04,2026-09-10,2597
76,6239,力成,0.1399,True,2016-01-04,2026-09-10,2598
77,2609,陽明,0.1382,True,2016-01-04,2026-09-10,2598
78,5871,中租-KY,0.1358,True,2016-01-04,2026-09-10,2598
79,2404,漢唐,0.1344,True,2016-01-04,2026-09-10,2598
80,2409,友達,0.1338,True,2016-01-04,2026-09-10,2598
81,6213,聯茂,0.1325,True,2016-01-04,2026-09-10,2598
82,3533,嘉澤,0.1265,True,2016-01-04,2026-09-10,2598
83,1101,台泥,0.1221,True,2016-01-04,2026-09-10,2598
84,2324,仁寶,0.1183,True,2016-01-04,2026-09-10,2598
85,6139,亞翔,0.1183,True,2016-01-04,2026-09-10,2598
86,1802,台玻,0.1176,True,2016-01-04,2026-09-10,2598
87,2834,臺企銀,0.1172,True,2016-01-04,2026-09-10,2598
88,1605,華新,0.1155,True,2016-01-04,2026-09-10,2598
89,1504,東元,0.1146,True,2016-01-04,2026-09-10,2598
90,3702,大聯大,0.1115,True,2016-01-04,2026-09-10,2598
91,7750,新代,0.1085,False,,,0
92,6415,矽力*-KY,0.1068,True,2016-01-04,2026-09-10,2598
93,6805,富世達,0.1051,True,2020-11-20,2026-09-10,1410
94,1402,遠東新,0.1009,True,2016-01-04,2026-09-10,2598
95,6531,愛普*,0.1004,True,2016-01-04,2026-09-10,2598
96,6789,采鈺,0.099,True,2021-04-07,2026-09-10,1324
97,6919,康霈*,0.0982,False,,,0
98,3532,台勝科,0.0978,True,2016-01-04,2026-09-10,2598
99,2347,聯強,0.0965,True,2016-01-04,2026-09-10,2598
100,2492,華新科,0.0952,True,2016-01-04,2026-09-10,2598
