eff_from,kind,add,remove,notice_id,announce,note
2015-09-21,定期審核,1476,2498,14,2015/09/05,
2015-12-21,定期審核,,,9,2015/12/05,
2016-03-21,定期審核,,,7,2016/03/05,
2016-06-20,定期審核,2324,2227,214,2016/06/03,
2016-09-19,定期審核,,,215,2016/09/02,
2016-11-30,非定期,2823,3474,217,2016/11/26,"華亞科被美光收購,最後交易日 2016-11-29;候補名單第一順位中壽遞補"
2016-12-19,定期審核,,,218,2016/12/02,
2017-03-20,定期審核,,,219,2017/03/04,
2017-06-19,定期審核,2633,1476,222,2017/06/02,
2017-09-18,定期審核,,,226,2017/09/01,
2017-12-18,定期審核,,,230,2017/12/02,
2018-03-19,定期審核,5871,2207,235,2018/03/02,
2018-04-18,非定期,2327,2325,240,2018/04/14,"日月光與矽品合併:矽品刪除、國巨遞補;日月光 2311 維持為成分股,之後換發為日月光投控 3711(1 股換 0.5 股)"
2018-06-18,定期審核,2492,2324,247,2018/06/01,
2018-09-24,定期審核,,,255,2018/09/08,
2018-12-24,定期審核,5876,2492,265,2018/12/07,
2019-03-18,定期審核,2207,2354,278,2019/02/27,
2019-06-24,定期審核,9910,3481,303,2019/06/06,
2019-09-23,定期審核,2888,2409,321,2019/09/07,
2019-12-23,定期審核,,,340,2019/12/07,
2020-03-23,定期審核,,,358,2020/03/07,
2020-06-22,定期審核,6669,9904,389,2020/06/06,
2020-09-21,定期審核,2379 6415,2888 2823,414,2020/09/05,
2020-12-21,定期審核,3034,2301,432,2020/12/04,
2021-03-22,定期審核,1590 8046,2883 2890,464,2021/03/06,
2021-06-21,定期審核,2603 2615 2609 2409,2633 6669 2105 2474,489,2021/06/05,
2021-09-22,定期審核,8454,1102,511,2021/09/04,
2021-12-20,定期審核,3037,1402,540,2021/12/04,
2022-03-21,定期審核,2883,4938,569,2022/03/05,
2022-06-20,定期審核,6770,8454,604,2022/06/03,
2022-09-19,定期審核,2890,6770,629,2022/09/03,
2022-12-19,定期審核,1402,2409,654,2022/12/03,
2023-03-20,定期審核,1605,8046,683,2023/03/04,
2023-06-19,定期審核,4938,6415,719,2023/06/03,
2023-09-18,定期審核,2345 2301 3231 6669,1402 1605 2615 2609,764,2023/09/01,
2023-12-18,定期審核,,,800,2023/12/01,
2024-03-18,定期審核,3661,9910,834,2024/03/01,
2024-06-24,定期審核,3017,2801,883,2024/06/07,
2024-09-23,定期審核,6446,2408,918,2024/09/06,
2024-12-23,定期審核,2609,1590,961,2024/12/06,
2025-03-24,定期審核,2615,1326,1002,2025/03/07,
2025-06-23,定期審核,2383,3037,1055,2025/06/06,
2025-09-22,定期審核,6919 2059,6446 1101,1105,2025/09/05,
2025-12-22,定期審核,3665 2360 3653,5871 4938 5876 2609,1156,2025/12/05,2408 的納入延期;
2025-12-31,延期生效,2408,,1173,,"南亞科列入處置有價證券,納入延期(通知 #1170、#1173)"
2026-03-23,定期審核,2368 7769 2449 2344,3665 3034 2912 2379 2615,1199,2026/03/06,3037 的納入延期;
2026-04-14,延期生效,3037,,1215,,欣興納入延期(通知 #1206、#1215)
2026-06-22,定期審核,3665 3443 8046 4958,6919 2002 1301 2207,1262,2026/06/05,
2026-09-21,定期審核,6446,3661,1312,2026/09/04,
