name,category,level,lookback_rows,code,expression,note
sma_ratio_5,趨勢,個股,6,features/trend.py:57,c / c.rolling(w).mean() - 1,
ema_ratio_5,趨勢,個股,6,features/trend.py:58,"c / ema(c, w) - 1",
wma_ratio_5,趨勢,個股,6,features/trend.py:59,"c / wma(c, w) - 1",
sma_ratio_10,趨勢,個股,11,features/trend.py:57,c / c.rolling(w).mean() - 1,
ema_ratio_10,趨勢,個股,11,features/trend.py:58,"c / ema(c, w) - 1",
wma_ratio_10,趨勢,個股,11,features/trend.py:59,"c / wma(c, w) - 1",
sma_ratio_20,趨勢,個股,21,features/trend.py:57,c / c.rolling(w).mean() - 1,
ema_ratio_20,趨勢,個股,21,features/trend.py:58,"c / ema(c, w) - 1",
wma_ratio_20,趨勢,個股,21,features/trend.py:59,"c / wma(c, w) - 1",
sma_ratio_60,趨勢,個股,61,features/trend.py:57,c / c.rolling(w).mean() - 1,
ema_ratio_60,趨勢,個股,61,features/trend.py:58,"c / ema(c, w) - 1",
wma_ratio_60,趨勢,個股,61,features/trend.py:59,"c / wma(c, w) - 1",
sma_ratio_120,趨勢,個股,121,features/trend.py:57,c / c.rolling(w).mean() - 1,
ema_ratio_120,趨勢,個股,121,features/trend.py:58,"c / ema(c, w) - 1",
wma_ratio_120,趨勢,個股,121,features/trend.py:59,"c / wma(c, w) - 1",
sma_cross_5_20,趨勢,個股,21,features/trend.py:61,c.rolling(s).mean() / c.rolling(lg).mean() - 1,
sma_cross_10_60,趨勢,個股,61,features/trend.py:61,c.rolling(s).mean() / c.rolling(lg).mean() - 1,
sma_cross_20_120,趨勢,個股,121,features/trend.py:61,c.rolling(s).mean() / c.rolling(lg).mean() - 1,
macd_diff_12_26_9,趨勢,個股,35,features/trend.py:65,diff / c,
macd_signal_12_26_9,趨勢,個股,35,features/trend.py:66,sig / c,
macd_hist_12_26_9,趨勢,個股,35,features/trend.py:67,(diff - sig) / c,
macd_diff_5_35_5,趨勢,個股,40,features/trend.py:65,diff / c,
macd_signal_5_35_5,趨勢,個股,40,features/trend.py:66,sig / c,
macd_hist_5_35_5,趨勢,個股,40,features/trend.py:67,(diff - sig) / c,
adx_14,趨勢,個股,28,features/trend.py:70,"f[f""adx_{n}""], f[f""pdi_{n}""], f[f""mdi_{n}""] = adx, pdi, mdi",同一行指定多個欄位
