index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
hangseng,WSAEs-LSTM,causal,1,1,63,0.06201093736857961,0.21293283825717413,0.03444467109890564,-3.38052769603763,0.4603174603174603,175
hangseng,WLSTM,causal,1,1,63,0.01717788852485042,0.8482317688239831,0.010277547395314302,0.5743735241681185,0.49206349206349204,237
hangseng,LSTM,none,1,1,63,0.011848352633431179,0.8879795730613598,0.0072165526248919995,-1.7458292076901127,0.4603174603174603,248
hangseng,RNN,none,1,1,63,0.011687501742764641,0.8930017148794912,0.0072252179305831495,-3.38052769603763,0.4603174603174603,600
hangseng,naive,none,1,1,63,0.008703642055698034,0.8972138001248654,0.005464815988664338,-3.38052769603763,0.4603174603174603,0
hangseng,WSAEs-LSTM,causal,2,1,61,0.07280968511552473,0.5149407520226289,0.039054460403338216,-2.146430438591834,0.47540983606557374,97
hangseng,WLSTM,causal,2,1,61,0.01414037345294443,0.6985369517318496,0.008358786677572278,-3.7352491163186285,0.5409836065573771,219
hangseng,LSTM,none,2,1,61,0.0094929197651413,0.8318171812200778,0.005847090372398264,-1.680564421593874,0.5409836065573771,254
hangseng,RNN,none,2,1,61,0.010736173616058116,0.8293332888378199,0.006689322078730771,12.964212848049922,0.5901639344262295,322
hangseng,naive,none,2,1,61,0.008576623250167933,0.868360830040969,0.0053526753489117965,-2.146430438591834,0.47540983606557374,0
hangseng,WSAEs-LSTM,causal,3,1,58,0.020963503358281482,0.8439317417858222,0.012356293954860747,0.5050286079344473,0.5344827586206896,325
hangseng,WLSTM,causal,3,1,58,0.009003439039258281,0.9406762629442993,0.005647711592097298,1.7516724669917407,0.5689655172413793,600
hangseng,LSTM,none,3,1,58,0.007537824031183912,0.9599072767640854,0.00477396483777258,6.447115701269023,0.5862068965517241,600
hangseng,RNN,none,3,1,58,0.00772944745249559,0.9578716880867301,0.004833131955214387,-4.0712066865498775,0.5,574
hangseng,naive,none,3,1,58,0.007235115442624935,0.9627648403030731,0.004562916259742234,4.64732434765942,0.603448275862069,0
hangseng,WSAEs-LSTM,causal,4,1,62,0.06970435790416614,0.9158204809334706,0.03639241232607684,-27.253905589307575,0.45161290322580644,97
hangseng,WLSTM,causal,4,1,62,0.019144480750039706,0.9595107936871526,0.012151796732223134,-5.832225399688553,0.5,600
hangseng,LSTM,none,4,1,62,0.017182464002523642,0.9689012582037714,0.010649918324107277,-1.5978832381600767,0.4838709677419355,543
hangseng,RNN,none,4,1,62,0.01577556022222581,0.9663080628162085,0.009963760651002329,2.537485113532952,0.4838709677419355,490
hangseng,naive,none,4,1,62,0.014376881973703274,0.9694696780348997,0.009333879760573276,24.77910889075558,0.5483870967741935,0
hangseng,WSAEs-LSTM,causal,5,2,61,0.07771372310571001,0.5462581394734984,0.03997970951981558,8.898853158447997,0.5409836065573771,121
hangseng,WLSTM,causal,5,2,61,0.03146458761073545,0.7506848424752033,0.018690743007518894,15.062062856337741,0.5573770491803278,340
hangseng,LSTM,none,5,2,61,0.026420586351013246,0.809310990282061,0.01569391544056814,8.898853158447997,0.5409836065573771,325
