index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
hangseng,WLSTM,causal,1,1,63,0.020154609736058256,0.8741918141131041,0.011645995290150021,-3.38052769603763,0.4603174603174603,600
hangseng,WLSTM,causal,2,1,61,0.0171465738171407,0.711375937880419,0.010015367235476268,0.17209447825650703,0.5409836065573771,294
hangseng,WLSTM,causal,3,1,58,0.011206217104656798,0.9194451366970302,0.007088480784265047,-3.743392999292442,0.5172413793103449,600
hangseng,WLSTM,causal,4,1,62,0.01878897327602929,0.9582224949271089,0.011576976322746195,13.91543982215008,0.6129032258064516,600
hangseng,WLSTM,causal,5,2,61,0.0220568729427914,0.7783351988338174,0.013974783567989724,20.394536365297004,0.5737704918032787,355
hangseng,WLSTM,causal,6,2,60,0.05284312774645912,0.8959288764815208,0.030525626668397587,-7.249017774653667,0.4666666666666667,84
hangseng,WLSTM,causal,7,2,60,0.011477660549736353,0.9603703458971001,0.0070368294348678705,3.7745500926125914,0.5166666666666667,600
hangseng,WLSTM,causal,8,2,63,0.009223556521725363,0.9058547918434655,0.005991314794058792,5.991215020724897,0.5714285714285714,600
hangseng,WLSTM,causal,9,3,60,0.006529009275755254,0.9449541045861011,0.004188738636512881,-2.9917471764239876,0.5166666666666667,600
hangseng,WLSTM,causal,10,3,58,0.007320033426450015,0.8789074643310355,0.0053114268780835834,0.30163022201847256,0.5689655172413793,600
hangseng,WLSTM,causal,11,3,59,0.012835860728945034,0.9287193710917583,0.007781842499936083,-26.341804972147848,0.4067796610169492,514
hangseng,WLSTM,causal,12,3,62,0.011227060089303874,0.9269018238136205,0.007325973389776439,-13.526096994402828,0.5,280
hangseng,WLSTM,causal,13,4,61,0.007319999748166106,0.8123167936338368,0.004951888739193702,9.235634344458402,0.6229508196721312,600
hangseng,WLSTM,causal,14,4,60,0.012073475393707796,0.8350393364938763,0.0075641469950658916,-12.745665930052589,0.48333333333333334,427
hangseng,WLSTM,causal,15,4,59,0.014555285211547052,0.8077628523740673,0.008500941678566137,-1.8867058790226203,0.5423728813559322,97
hangseng,WLSTM,causal,16,4,63,0.01457261448978924,0.8933404868886989,0.008782744504006807,2.6664777340194754,0.5079365079365079,600
hangseng,WLSTM,causal,17,5,61,0.014800475487905737,0.6178632922702405,0.009533971936814198,3.0066576349835916,0.5081967213114754,257
hangseng,WLSTM,causal,18,5,60,0.0177319344622389,0.6883219895468163,0.010403467766518423,-2.7758982352661152,0.45,107
hangseng,WLSTM,causal,19,5,59,0.04614048867239408,0.8028966474901799,0.024783397851284823,-6.019927847991297,0.4915254237288136,587
hangseng,WLSTM,causal,20,5,62,0.021855565789863845,0.9357123940627454,0.013448779740459929,-5.87219374219448,0.532258064516129,595
hangseng,WLSTM,causal,21,6,62,0.01269176444303262,0.7910183692503,0.007300251605964625,-3.414788709416836,0.3548387096774194,600
hangseng,WLSTM,causal,22,6,58,0.08862891529268642,0.8260492513233944,0.043323980133841596,-1.9755620510898024,0.43103448275862066,84
hangseng,WLSTM,causal,23,6,61,0.020974419963950726,0.7306251647752132,0.013701028662393937,12.737757411394085,0.5409836065573771,82
hangseng,WLSTM,causal,24,6,62,0.04596234302780911,0.8303772678271227,0.02740679522317578,-10.32343577384973,0.3870967741935484,84
