index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
hangseng,WLSTM,full,1,1,63,0.01871898310589947,0.8820390616362372,0.011180125670457189,-2.549682570761763,0.47619047619047616,189
hangseng,WLSTM,full,2,1,61,0.010518713375529927,0.8492217992879202,0.0061955303574390596,21.207288780411275,0.639344262295082,441
hangseng,WLSTM,full,3,1,58,0.00909041974970768,0.9620675544135855,0.005576752058991085,14.259521215747876,0.5517241379310345,600
hangseng,WLSTM,full,4,1,62,0.012988218957377118,0.9735530313868574,0.008689531124616082,56.356246076642854,0.7903225806451613,391
hangseng,WLSTM,full,5,2,61,0.0150886770783434,0.8534071446381283,0.010173678070816176,34.94767483025304,0.6885245901639344,360
hangseng,WLSTM,full,6,2,60,0.008241876500382446,0.9699792517423892,0.005273489948933358,22.04176814728728,0.6833333333333333,246
hangseng,WLSTM,full,7,2,60,0.009419141956851411,0.9719115917558581,0.005640766766379268,30.10223966973754,0.65,435
hangseng,WLSTM,full,8,2,63,0.008045305410511466,0.9365748657643723,0.005168025678021141,36.597514830905624,0.7142857142857143,352
hangseng,WLSTM,full,9,3,60,0.007709666090726985,0.9493992252177273,0.00483666903156738,19.307750520459724,0.7333333333333333,531
hangseng,WLSTM,full,10,3,58,0.006892496694297185,0.9340386140821746,0.004383128349702041,14.697123009980261,0.6896551724137931,600
hangseng,WLSTM,full,11,3,59,0.00905889935988862,0.960834569295981,0.005843511210904107,22.380381964786817,0.6779661016949152,600
hangseng,WLSTM,full,12,3,62,0.007207624070127031,0.956689176819518,0.005155226396871773,15.573803844814538,0.6774193548387096,290
hangseng,WLSTM,full,13,4,61,0.006312891588847019,0.871904440202717,0.004045201072665693,13.053515913522995,0.6721311475409836,408
hangseng,WLSTM,full,14,4,60,0.008663204197720388,0.8944255755591962,0.005769195017961857,20.477603185415724,0.6666666666666666,463
hangseng,WLSTM,full,15,4,59,0.010517901100889708,0.9157951040573323,0.006305463945678086,6.007744504269741,0.5932203389830508,98
hangseng,WLSTM,full,16,4,63,0.018301142348491697,0.9461259541584249,0.010681516566875453,7.347197885247677,0.5555555555555556,160
hangseng,WLSTM,full,17,5,61,0.008978311647285341,0.7863502126665541,0.005812034233082558,6.722466520830926,0.5409836065573771,456
hangseng,WLSTM,full,18,5,60,0.006783225285065866,0.8827817085795355,0.004247531891658774,9.724842802896442,0.55,217
hangseng,WLSTM,full,19,5,59,0.04954199453505635,0.830481227803257,0.02626275198655771,2.133625451501088,0.5084745762711864,600
hangseng,WLSTM,full,20,5,62,0.016332381996439386,0.9627151151349453,0.010425785692635013,29.520908818860892,0.6290322580645161,378
hangseng,WLSTM,full,21,6,62,0.0093924001566093,0.8629288627708006,0.006044976521363216,22.844364110599795,0.6451612903225806,278
hangseng,WLSTM,full,22,6,58,0.02999168400826929,0.9093791719420246,0.016510413016111735,2.4952453414294387,0.4482758620689655,315
hangseng,WLSTM,full,23,6,61,0.048552265758257024,0.40073388017340983,0.0282305268187473,-4.029649643835231,0.4426229508196721,81
hangseng,WLSTM,full,24,6,62,0.007967621484870365,0.9711518532710325,0.005581738285431026,12.7682198350591,0.6612903225806451,250
