index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
nifty50,WLSTM,causal,1,1,63,0.0559760426564102,0.6735773592747246,0.030062784685962813,-1.4668983257454633,0.5238095238095238,94
nifty50,WLSTM,causal,2,1,61,0.014595561933409709,0.8723644230877045,0.008985230745839942,-4.425816144432983,0.4426229508196721,600
nifty50,WLSTM,causal,3,1,61,0.018322541776000158,0.7747165787328171,0.011460593109612276,12.444296697050005,0.5737704918032787,88
nifty50,WLSTM,causal,4,1,62,0.02595567781816624,0.9517451015417945,0.015492721688665514,-3.0675824304036765,0.45161290322580644,600
nifty50,WLSTM,causal,5,2,59,0.03931633871816552,0.8090762979552142,0.022117270555007607,-2.3330833779391686,0.4406779661016949,149
nifty50,WLSTM,causal,6,2,63,0.01708180110057706,0.9250097852234012,0.01081510337091946,6.778997968228179,0.5079365079365079,533
nifty50,WLSTM,causal,7,2,62,0.01204352458698923,0.8684271593068343,0.007419635074323699,6.845078777977786,0.5483870967741935,92
nifty50,WLSTM,causal,8,2,62,0.008925108051728256,0.936136473391851,0.0056991294601732,-6.3321543146663535,0.41935483870967744,417
nifty50,WLSTM,causal,9,3,60,0.00950700057021591,0.8250525265823818,0.006728124185892619,-4.933854432584628,0.4666666666666667,394
nifty50,WLSTM,causal,10,3,61,0.03483816532027797,0.7956659565064954,0.019184453340462024,4.174012818888341,0.5245901639344263,99
nifty50,WLSTM,causal,11,3,62,0.012977072332976026,0.8903493575317252,0.007778098886449467,-0.33727416236761093,0.4838709677419355,257
nifty50,WLSTM,causal,12,3,62,0.013867798528187744,0.8982428780295706,0.009065235674648335,9.226125853567485,0.5161290322580645,526
nifty50,WLSTM,causal,13,4,61,0.014071499025589093,0.7747247810784935,0.008720168103398856,-0.7251658956374049,0.5081967213114754,482
nifty50,WLSTM,causal,14,4,62,0.01775119832036338,0.8904920654639567,0.01101309782971183,-7.384910672766411,0.3387096774193548,100
nifty50,WLSTM,causal,15,4,59,0.08089402364017818,0.8664956446307466,0.048262088375811085,-13.644300049466146,0.4745762711864407,95
nifty50,WLSTM,causal,16,4,62,0.07657225710161596,-0.3182257358501028,0.04290683174786953,-5.740402546438469,0.43548387096774194,378
nifty50,WLSTM,causal,17,5,57,0.010603206153189361,0.932667518759912,0.006289034070740792,4.1673057654185035,0.5087719298245614,328
nifty50,WLSTM,causal,18,5,61,0.014193156772710935,0.7906103160286251,0.00912925156181732,16.284883221047718,0.5081967213114754,128
nifty50,WLSTM,causal,19,5,60,0.01398538475804057,0.8115042959855561,0.008601406454785217,-6.075041675814086,0.36666666666666664,316
nifty50,WLSTM,causal,20,5,63,0.012591667780832745,0.9137447215713187,0.00843259196338414,-6.803302123005017,0.5555555555555556,375
nifty50,WLSTM,causal,21,6,60,0.016439875218088956,0.7604309138606935,0.010053058370995302,0.7476961939599743,0.48333333333333334,88
nifty50,WLSTM,causal,22,6,60,0.01928565207194635,0.8663800264867519,0.012065589542587341,1.8300396615673378,0.4666666666666667,600
nifty50,WLSTM,causal,23,6,61,0.013715716359973413,0.8607178923691031,0.008343032598349601,-13.4343668628434,0.4098360655737705,504
nifty50,WLSTM,causal,24,6,61,0.009967583979517712,0.813553513605296,0.0064141328941181045,4.869028944232953,0.5901639344262295,96
