index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
nifty50,WSAEs-LSTM,none,1,1,63,0.13961386295368014,0.7293837123701873,0.07553735751150539,-1.4668983257454633,0.5238095238095238,193
nifty50,WLSTM,none,1,1,63,0.0364258379531471,0.8690050702056681,0.0193459982771052,-1.4668983257454633,0.5238095238095238,323
nifty50,LSTM,none,1,1,63,0.0364258379531471,0.8690050702056681,0.0193459982771052,-1.4668983257454633,0.5238095238095238,323
nifty50,RNN,none,1,1,63,0.02730016699612473,0.8276619999596823,0.015117125322010764,-1.4668983257454633,0.5238095238095238,476
nifty50,naive,none,1,1,63,0.008742230339883183,0.8723849407296393,0.0053594340289216825,-1.4668983257454633,0.5238095238095238,0
nifty50,WSAEs-LSTM,none,2,1,61,0.027051884160708986,0.4626155816696584,0.01718176477547274,12.174254076211644,0.5573770491803278,334
nifty50,WLSTM,none,2,1,61,0.011230922213604085,0.9174433213019829,0.00734332350582264,16.661312211255794,0.5901639344262295,339
nifty50,LSTM,none,2,1,61,0.011230922213604085,0.9174433213019829,0.00734332350582264,16.661312211255794,0.5901639344262295,339
nifty50,RNN,none,2,1,61,0.014765622442041241,0.9127570400693653,0.009048339074368514,-0.48385023399056815,0.5573770491803278,600
nifty50,naive,none,2,1,61,0.010975513408638745,0.9331327087276784,0.0067446497751828954,3.4237903089392017,0.4918032786885246,0
nifty50,WSAEs-LSTM,none,3,1,61,0.021463136858005823,0.8599310689059284,0.012531251007680076,5.968400764962578,0.5573770491803278,87
nifty50,WLSTM,none,3,1,61,0.016293057802678926,0.8083723032155394,0.00999625411590839,16.000174862448237,0.6721311475409836,90
nifty50,LSTM,none,3,1,61,0.016293057802678926,0.8083723032155394,0.00999625411590839,16.000174862448237,0.6721311475409836,90
nifty50,RNN,none,3,1,61,0.027549049870307714,0.6737558482936018,0.015107090048394577,-1.907538760455026,0.5245901639344263,90
nifty50,naive,none,3,1,61,0.008200919100949909,0.9500659703948021,0.005196981815938703,2.1232133045669137,0.5573770491803278,0
nifty50,WSAEs-LSTM,none,4,1,62,0.07533308476555038,-0.11569036064257004,0.041973710156736545,-5.3729249347461145,0.45161290322580644,91
nifty50,WLSTM,none,4,1,62,0.017357526863732056,0.9654751818999455,0.010439020275640086,-11.386601416824579,0.41935483870967744,443
nifty50,LSTM,none,4,1,62,0.017357526863732056,0.9654751818999455,0.010439020275640086,-11.386601416824579,0.41935483870967744,443
nifty50,RNN,none,4,1,62,0.013608755014329243,0.9659294134365919,0.008289769642199787,6.321158698211954,0.532258064516129,485
nifty50,naive,none,4,1,62,0.01163863064526481,0.970122421652932,0.006897966187823375,11.443387107625876,0.6129032258064516,0
nifty50,WSAEs-LSTM,none,5,2,59,0.059764823952973396,0.8924368002173839,0.03094164591195238,-5.579158454899376,0.4067796610169492,229
nifty50,WLSTM,none,5,2,59,0.026313883324150446,0.944904690564699,0.014468279302623345,-5.579158454899376,0.4067796610169492,393
nifty50,LSTM,none,5,2,59,0.026313883324150446,0.944904690564699,0.014468279302623345,-5.579158454899376,0.4067796610169492,393
nifty50,RNN,none,5,2,59,0.012137235094764536,0.9501582889961298,0.00701447363220758,28.430685439396807,0.559322033898305,395
nifty50,naive,none,5,2,59,0.012041430573362658,0.942195237179159,0.007277061873658871,3.220038374582327,0.5932203389830508,0
nifty50,WSAEs-LSTM,none,6,2,63,0.016040823324957404,0.939941622543705,0.009835293253027344,7.909720290806646,0.5079365079365079,363
nifty50,WLSTM,none,6,2,63,0.01286917547489704,0.955180195095222,0.007932631844965413,-2.514174770710821,0.4444444444444444,373
nifty50,LSTM,none,6,2,63,0.01286917547489704,0.955180195095222,0.007932631844965413,-2.514174770710821,0.4444444444444444,373
nifty50,RNN,none,6,2,63,0.011931567979038557,0.9582690474902673,0.0074866911910088105,-4.0628844881779775,0.4444444444444444,390
nifty50,naive,none,6,2,63,0.009687028317798472,0.965708349566399,0.006146709327997518,-15.62166966050937,0.3968253968253968,0
nifty50,WSAEs-LSTM,none,7,2,62,0.012442098231338638,0.9216089812151718,0.007923875980854938,9.30167377168241,0.5,161
nifty50,WLSTM,none,7,2,62,0.009232349297856855,0.9209245575515317,0.005761674733154229,23.267819234485167,0.6612903225806451,116
nifty50,LSTM,none,7,2,62,0.009232349297856855,0.9209245575515317,0.005761674733154229,23.267819234485167,0.6612903225806451,116
nifty50,RNN,none,7,2,62,0.009635395936257982,0.9382619876298479,0.0062531225973521285,5.304207614912119,0.532258064516129,312
nifty50,naive,none,7,2,62,0.007826609475009533,0.9398507673031596,0.005044607811050367,-0.45064702359862363,0.45161290322580644,0
nifty50,WSAEs-LSTM,none,8,2,62,0.012433531290809294,0.9561069544924424,0.007567383955999943,1.5363514640318345,0.5483870967741935,261
nifty50,WLSTM,none,8,2,62,0.008064957190556837,0.9501443744317382,0.005270286432411049,-11.732128980197016,0.45161290322580644,294
nifty50,LSTM,none,8,2,62,0.008064957190556837,0.9501443744317382,0.005270286432411049,-11.732128980197016,0.45161290322580644,294
nifty50,RNN,none,8,2,62,0.007786844527100399,0.9470874020665262,0.005275346158130442,-3.4795907405925295,0.4838709677419355,368
nifty50,naive,none,8,2,62,0.006238226592714222,0.9569964697512985,0.004262646792089621,-9.34660377773718,0.46774193548387094,0
nifty50,WSAEs-LSTM,none,9,3,60,0.023487975294780805,0.7677835498051436,0.013965944768913578,-4.740057031310574,0.45,88
nifty50,WLSTM,none,9,3,60,0.010078011157585049,0.9162626830691678,0.006063141996280428,-6.534297764707751,0.45,356
nifty50,LSTM,none,9,3,60,0.010078011157585049,0.9162626830691678,0.006063141996280428,-6.534297764707751,0.45,356
nifty50,RNN,none,9,3,60,0.008040347044814171,0.9295427272688882,0.0049695495287583975,-5.734414528242445,0.45,325
nifty50,naive,none,9,3,60,0.005330900320015785,0.9417939794524561,0.003303233301629694,-4.740057031310574,0.45,0
nifty50,WSAEs-LSTM,none,10,3,61,0.0165408585898848,0.915082100449524,0.009274649791257372,3.0330865750840297,0.5081967213114754,168
nifty50,WLSTM,none,10,3,61,0.02139755492059057,0.9278819682139876,0.011581608171727771,4.174012818888341,0.5245901639344263,167
nifty50,LSTM,none,10,3,61,0.02139755492059057,0.9278819682139876,0.011581608171727771,4.174012818888341,0.5245901639344263,167
nifty50,RNN,none,10,3,61,0.01956274523832639,0.9337791370089288,0.010632085866181562,4.174012818888341,0.5245901639344263,249
