index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
nikkei225,WSAEs-LSTM,full,1,1,60,0.020972226044985602,0.9336200802696683,0.013215393362909176,10.607262514880922,0.5333333333333333,93
nikkei225,WLSTM,full,1,1,60,0.006513974375982782,0.9768795751820659,0.004176098140137589,25.56296587186845,0.6833333333333333,338
nikkei225,LSTM,none,1,1,60,0.009086180858569489,0.9542525597451218,0.005714439522192683,0.1520475876177388,0.5,398
nikkei225,RNN,none,1,1,60,0.008995353636392155,0.9555681548375848,0.005650258590657682,8.464883461856795,0.5166666666666667,600
nikkei225,naive,none,1,1,60,0.007718580878799887,0.9652954041059407,0.0050691313013677824,-9.865369891665186,0.48333333333333334,0
nikkei225,WSAEs-LSTM,full,2,1,59,0.026829924383900958,0.6895490248707378,0.020023391695691933,0.9409833543439442,0.5084745762711864,97
nikkei225,WLSTM,full,2,1,59,0.013358131701478126,0.9002679642317729,0.011658677690224023,24.075569519283917,0.6271186440677966,202
nikkei225,LSTM,none,2,1,59,0.014183713668405897,0.913609322765755,0.011018076242370438,-1.6230472401521545,0.4745762711864407,202
nikkei225,RNN,none,2,1,59,0.01654736877586665,0.8997098715027604,0.01232972880685462,0.7463093320682428,0.4406779661016949,508
nikkei225,naive,none,2,1,59,0.012705539558985483,0.9213859722830126,0.009994397101543958,3.836914827335762,0.423728813559322,0
nikkei225,WSAEs-LSTM,full,3,1,60,0.05498193133808367,0.5223469120164315,0.027673516022773736,0.32566285000726286,0.5166666666666667,97
nikkei225,WLSTM,full,3,1,60,0.008746745114894863,0.7344782532666546,0.005404628374515357,20.5108270749233,0.7166666666666667,221
nikkei225,LSTM,none,3,1,60,0.009673800702215744,0.7015486927036227,0.005788430883706491,-10.684831806976119,0.4166666666666667,329
nikkei225,RNN,none,3,1,60,0.009216999608815927,0.7280625129445236,0.005585435274084835,-4.010339219726233,0.43333333333333335,353
nikkei225,naive,none,3,1,60,0.008075743241095409,0.7536185150837956,0.004972792082389159,-2.7259680130935737,0.48333333333333334,0
nikkei225,WSAEs-LSTM,full,4,1,62,0.033415743568578196,0.9780555960948696,0.017635181720514582,-2.197057074919664,0.532258064516129,224
nikkei225,WLSTM,full,4,1,62,0.02187160734835335,0.9803249927248436,0.012778115127091613,3.7496947479426086,0.5806451612903226,145
nikkei225,LSTM,none,4,1,62,0.020894104615803388,0.9786359300064719,0.01197861320177105,3.1619808308494166,0.5483870967741935,482
nikkei225,RNN,none,4,1,62,0.013034297370208192,0.9785267581715502,0.007853675309225962,-5.869748647890995,0.4838709677419355,481
