index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
sp500,WSAEs-LSTM,causal,1,1,63,0.013743056362853107,0.8558007400800343,0.008498080492160288,8.86417809175751,0.5555555555555556,95
sp500,WLSTM,causal,1,1,63,0.00859087987154959,0.9302214243848889,0.005516822251638702,4.317049494618815,0.5555555555555556,595
sp500,LSTM,none,1,1,63,0.006366615891496673,0.9575445753612816,0.004160022763307357,12.965333716084329,0.6666666666666666,321
sp500,RNN,none,1,1,63,0.006067565299569491,0.9593876768003474,0.004079891268987527,0.8208306116217062,0.5396825396825397,345
sp500,naive,none,1,1,63,0.0052014453535845565,0.9615038573867378,0.0037346264857755535,-10.691011292222536,0.36507936507936506,0
sp500,WSAEs-LSTM,causal,2,1,61,0.07569805786086709,0.3621224412802109,0.040191915504516264,-5.749397838883604,0.4098360655737705,600
sp500,WLSTM,causal,2,1,61,0.03564445466070093,0.6427400173041551,0.019219695297239808,-5.749397838883604,0.4098360655737705,152
sp500,LSTM,none,2,1,61,0.013006738540168672,0.8393603673934346,0.007504585938429164,-5.749397838883604,0.4098360655737705,238
sp500,RNN,none,2,1,61,0.012848600839050529,0.8348662298551575,0.007517421631577138,-5.749397838883604,0.4098360655737705,461
sp500,naive,none,2,1,61,0.006313485938213887,0.8643836615708728,0.00412571821179126,-5.749397838883604,0.4098360655737705,0
sp500,WSAEs-LSTM,causal,3,1,62,0.09394900494050801,0.5890686603253644,0.05018926721181048,-0.523509319469778,0.46774193548387094,507
sp500,WLSTM,causal,3,1,62,0.012947897257047578,0.8632094603678723,0.007877412858095088,-1.4508754948400662,0.46774193548387094,241
sp500,LSTM,none,3,1,62,0.010405209180910873,0.9111857395310244,0.006177788120100058,5.595808781342755,0.5161290322580645,263
sp500,RNN,none,3,1,62,0.009184686188478461,0.9212940495781236,0.00548378347486927,1.6143709431995243,0.46774193548387094,334
sp500,naive,none,3,1,62,0.006292439834839586,0.9287292649417042,0.003922088959281373,-0.523509319469778,0.46774193548387094,0
sp500,WSAEs-LSTM,causal,4,1,63,0.029841908688440215,0.8173166884555881,0.01792166256387304,34.11446321123739,0.5873015873015873,227
sp500,WLSTM,causal,4,1,63,0.018315965843121274,0.9327612631509925,0.011468817054149653,19.594167635457804,0.5873015873015873,600
sp500,LSTM,none,4,1,63,0.017031327233528147,0.9424736443548224,0.011460926397858598,-10.909450623637678,0.5238095238095238,343
sp500,RNN,none,4,1,63,0.01700246002559409,0.9362603926616051,0.011266484057713147,-11.27854699624293,0.5238095238095238,526
sp500,naive,none,4,1,63,0.015460068879787145,0.943857551905495,0.010172718741004139,14.350803519878577,0.5238095238095238,0
sp500,WSAEs-LSTM,causal,5,2,62,0.027882677134029227,0.3534777225559684,0.017059339768715945,2.2297586052107508,0.46774193548387094,97
sp500,WLSTM,causal,5,2,62,0.019059950707856745,0.7746396350139325,0.011559956456861283,-11.117236669464718,0.43548387096774194,600
sp500,LSTM,none,5,2,62,0.015494750780780069,0.8384010555477202,0.009342145370088307,-10.896934483938626,0.4032258064516129,495
sp500,RNN,none,5,2,62,0.014896668995002315,0.8477056016283492,0.009063834706467202,16.57583395609586,0.5161290322580645,371
sp500,naive,none,5,2,62,0.013104975402034742,0.8526265723778892,0.008221660872743697,-16.34172072565407,0.41935483870967744,0
sp500,WSAEs-LSTM,causal,6,2,61,0.06935570537384607,0.8797733565709022,0.038260673096826854,-11.143644829734647,0.3770491803278688,87
sp500,WLSTM,causal,6,2,61,0.00776801896466405,0.964375818073957,0.005102252761858033,3.567142861440524,0.5737704918032787,353
sp500,LSTM,none,6,2,61,0.006325344639129131,0.9715480811323602,0.003936243673903147,3.247449168552522,0.5901639344262295,277
sp500,RNN,none,6,2,61,0.005060685074492095,0.9773712108986167,0.003200555482696846,-2.0261291704593054,0.5737704918032787,415
sp500,naive,none,6,2,61,0.0044146831709352356,0.9807401575752754,0.002997192561125453,-11.143644829734647,0.3770491803278688,0
sp500,WSAEs-LSTM,causal,7,2,62,0.03226035142175359,0.7799628747414987,0.018156438325435578,4.005498714593104,0.5645161290322581,446
sp500,WLSTM,causal,7,2,62,0.010561328137260758,0.8603663775560011,0.006626102402831255,-1.7132826080555126,0.532258064516129,302
sp500,LSTM,none,7,2,62,0.008605714455979992,0.9063681378702398,0.0054860607446191026,-3.185918025717978,0.5,450
sp500,RNN,none,7,2,62,0.007709344714222668,0.9251393476887768,0.00495902156739278,9.081413893641463,0.5645161290322581,600
sp500,naive,none,7,2,62,0.008049315034225546,0.925799956556423,0.005087680119261162,1.3381834941701052,0.532258064516129,0
sp500,WSAEs-LSTM,causal,8,2,62,0.04329920517926607,0.7224896677051327,0.02511905563987866,-6.916955645116585,0.5483870967741935,96
sp500,WLSTM,causal,8,2,62,0.010592030239576364,0.8889406065864764,0.006093628691756455,-5.467692065313439,0.45161290322580644,359
sp500,LSTM,none,8,2,62,0.00761803306622856,0.938427343135631,0.004528525368386919,-1.2526927604010059,0.4838709677419355,352
sp500,RNN,none,8,2,62,0.006555805371916705,0.9586153938062977,0.0042564102654000634,7.767161584516269,0.5483870967741935,420
sp500,naive,none,8,2,62,0.005162884999842281,0.9623820518451797,0.0036100633075293307,-6.916955645116585,0.5483870967741935,0
sp500,WSAEs-LSTM,causal,9,3,61,0.014606528997530975,0.7563935042208575,0.009183944890404418,7.703438364751618,0.5245901639344263,600
sp500,WLSTM,causal,9,3,61,0.008692203196218782,0.8863673795324792,0.005288096221672706,3.199362347349788,0.4918032786885246,592
sp500,LSTM,none,9,3,61,0.006836161428785032,0.8967608332706033,0.004265962340926799,6.382732397678377,0.47540983606557374,376
sp500,RNN,none,9,3,61,0.006238191654837186,0.8927619561298403,0.004017985934893334,7.427562527868885,0.5573770491803278,600
sp500,naive,none,9,3,61,0.005908715567768988,0.9017495525843183,0.0039684056435362125,-0.32188825492686024,0.45901639344262296,0
sp500,WSAEs-LSTM,causal,10,3,59,0.05463057534636761,-0.0764237967040137,0.030375547078082415,-8.28197339779972,0.3898305084745763,320
sp500,WLSTM,causal,10,3,59,0.010356992223050707,0.9410574115297925,0.0060413241523153,-8.450369440651052,0.3898305084745763,507
sp500,LSTM,none,10,3,59,0.010382818515180376,0.9307288156582999,0.006245443374457864,-7.111223447952842,0.3728813559322034,600
sp500,RNN,none,10,3,59,0.007432759767505473,0.947937963067592,0.00458113614048453,-5.738900083157645,0.3898305084745763,600
sp500,naive,none,10,3,59,0.004419428476382937,0.9626973788713252,0.00290353488919041,-8.28197339779972,0.3898305084745763,0
sp500,WSAEs-LSTM,causal,11,3,63,0.1044199670691761,0.17974580468033347,0.056509254294816375,-4.145258610231748,0.4126984126984127,396
sp500,WLSTM,causal,11,3,63,0.020271095381491966,0.8828552108025572,0.011663844183270076,-0.8734737057937831,0.42857142857142855,309
sp500,LSTM,none,11,3,63,0.026533945906512754,0.8971019357683774,0.014920822032516774,-4.145258610231748,0.4126984126984127,309
sp500,RNN,none,11,3,63,0.023238502455535635,0.866646142655567,0.01322485254317092,-4.145258610231748,0.4126984126984127,341
sp500,naive,none,11,3,63,0.00730762301122154,0.9200901252513082,0.004414671245466182,-4.145258610231748,0.4126984126984127,0
sp500,WSAEs-LSTM,causal,12,3,63,0.0673387776304599,0.6048934458055236,0.03549085807619874,-5.597505249161242,0.42857142857142855,374
sp500,WLSTM,causal,12,3,63,0.013269488584301183,0.8345972929258785,0.0077278854272215935,-1.9342545113273464,0.49206349206349204,188
sp500,LSTM,none,12,3,63,0.012678082807168591,0.8805056840994766,0.0072513373489845705,-4.826179510893255,0.4444444444444444,473
sp500,RNN,none,12,3,63,0.007182646332705262,0.9327931852616229,0.004245777653509871,-0.9767307105677988,0.47619047619047616,580
sp500,naive,none,12,3,63,0.004451002926388995,0.9370173454642049,0.00283939432370653,-5.597505249161242,0.42857142857142855,0
