index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
sp500,WSAEs-LSTM,full,1,1,63,0.012257551680964734,0.8331782382911213,0.0075075891524973406,9.464762794252188,0.5555555555555556,496
sp500,WLSTM,full,1,1,63,0.0059949555147931375,0.9562041801018011,0.004146797101214066,13.060371535682105,0.6666666666666666,273
sp500,LSTM,none,1,1,63,0.006366615891496673,0.9575445753612816,0.004160022763307357,12.965333716084329,0.6666666666666666,321
sp500,RNN,none,1,1,63,0.006067565299569491,0.9593876768003474,0.004079891268987527,0.8208306116217062,0.5396825396825397,345
sp500,naive,none,1,1,63,0.0052014453535845565,0.9615038573867378,0.0037346264857755535,-10.691011292222536,0.36507936507936506,0
sp500,WSAEs-LSTM,full,2,1,61,0.07902946888851124,0.4057290921411209,0.04191563993750254,-5.749397838883604,0.4098360655737705,564
sp500,WLSTM,full,2,1,61,0.013623367993064649,0.8700613564667478,0.007933358951881795,-4.371132935387982,0.4098360655737705,252
sp500,LSTM,none,2,1,61,0.013006738540168672,0.8393603673934346,0.007504585938429164,-5.749397838883604,0.4098360655737705,238
sp500,RNN,none,2,1,61,0.012848600839050529,0.8348662298551575,0.007517421631577138,-5.749397838883604,0.4098360655737705,461
sp500,naive,none,2,1,61,0.006313485938213887,0.8643836615708728,0.00412571821179126,-5.749397838883604,0.4098360655737705,0
sp500,WSAEs-LSTM,full,3,1,62,0.07735060491220852,0.7691704553638979,0.04148745247568159,-0.523509319469778,0.46774193548387094,97
sp500,WLSTM,full,3,1,62,0.009777478597633933,0.929683461540611,0.006045085099022813,6.7446353181047956,0.5161290322580645,302
sp500,LSTM,none,3,1,62,0.010405209180910873,0.9111857395310244,0.006177788120100058,5.595808781342755,0.5161290322580645,263
sp500,RNN,none,3,1,62,0.009184686188478461,0.9212940495781236,0.00548378347486927,1.6143709431995243,0.46774193548387094,334
sp500,naive,none,3,1,62,0.006292439834839586,0.9287292649417042,0.003922088959281373,-0.523509319469778,0.46774193548387094,0
sp500,WSAEs-LSTM,full,4,1,63,0.024600534064885653,0.8995849375789963,0.015044984292987944,37.38306298897034,0.6190476190476191,448
sp500,WLSTM,full,4,1,63,0.016243329302966708,0.9586454354320951,0.011172247639445045,29.176167041781696,0.6666666666666666,313
sp500,LSTM,none,4,1,63,0.017031327233528147,0.9424736443548224,0.011460926397858598,-10.909450623637678,0.5238095238095238,343
sp500,RNN,none,4,1,63,0.01700246002559409,0.9362603926616051,0.011266484057713147,-11.27854699624293,0.5238095238095238,526
sp500,naive,none,4,1,63,0.015460068879787145,0.943857551905495,0.010172718741004139,14.350803519878577,0.5238095238095238,0
sp500,WSAEs-LSTM,full,5,2,62,0.026599840787568507,0.6544166967752042,0.015649567540342652,8.495935856471515,0.5483870967741935,211
sp500,WLSTM,full,5,2,62,0.013335030374858317,0.8347222280491479,0.008185028907231733,36.357747873474956,0.6290322580645161,134
sp500,LSTM,none,5,2,62,0.015494750780780069,0.8384010555477202,0.009342145370088307,-10.896934483938626,0.4032258064516129,495
sp500,RNN,none,5,2,62,0.014896668995002315,0.8477056016283492,0.009063834706467202,16.57583395609586,0.5161290322580645,371
sp500,naive,none,5,2,62,0.013104975402034742,0.8526265723778892,0.008221660872743697,-16.34172072565407,0.41935483870967744,0
sp500,WSAEs-LSTM,full,6,2,61,0.02514291895304744,0.7067725145016117,0.017193785838418782,-1.0683033189124125,0.5081967213114754,443
sp500,WLSTM,full,6,2,61,0.005179116436231894,0.9798070506544347,0.0034430646565894577,9.070352046564736,0.6557377049180327,159
sp500,LSTM,none,6,2,61,0.006325344639129131,0.9715480811323602,0.003936243673903147,3.247449168552522,0.5901639344262295,277
sp500,RNN,none,6,2,61,0.005060685074492095,0.9773712108986167,0.003200555482696846,-2.0261291704593054,0.5737704918032787,415
sp500,naive,none,6,2,61,0.0044146831709352356,0.9807401575752754,0.002997192561125453,-11.143644829734647,0.3770491803278688,0
sp500,WSAEs-LSTM,full,7,2,62,0.031671204570591936,0.7489537389619769,0.017937958320947193,5.288357292504351,0.5645161290322581,387
sp500,WLSTM,full,7,2,62,0.01025506013665783,0.8919325071492784,0.006543593167401817,12.168514031666621,0.6451612903225806,268
sp500,LSTM,none,7,2,62,0.008605714455979992,0.9063681378702398,0.0054860607446191026,-3.185918025717978,0.5,450
sp500,RNN,none,7,2,62,0.007709344714222668,0.9251393476887768,0.00495902156739278,9.081413893641463,0.5645161290322581,600
sp500,naive,none,7,2,62,0.008049315034225546,0.925799956556423,0.005087680119261162,1.3381834941701052,0.532258064516129,0
sp500,WSAEs-LSTM,full,8,2,62,0.03723438018004596,0.7236783134280443,0.02195583874757489,-2.591891758679875,0.532258064516129,99
sp500,WLSTM,full,8,2,62,0.00756678831192902,0.930551502325261,0.004802519533640075,6.251117407729105,0.5483870967741935,216
sp500,LSTM,none,8,2,62,0.00761803306622856,0.938427343135631,0.004528525368386919,-1.2526927604010059,0.4838709677419355,352
sp500,RNN,none,8,2,62,0.006555805371916705,0.9586153938062977,0.0042564102654000634,7.767161584516269,0.5483870967741935,420
sp500,naive,none,8,2,62,0.005162884999842281,0.9623820518451797,0.0036100633075293307,-6.916955645116585,0.5483870967741935,0
sp500,WSAEs-LSTM,full,9,3,61,0.023781020559048443,0.859695008391228,0.0135183081334948,4.023725043327397,0.47540983606557374,348
sp500,WLSTM,full,9,3,61,0.006275978465723522,0.9031721664972626,0.0038972577950457028,18.557782512151196,0.7049180327868853,345
sp500,LSTM,none,9,3,61,0.006836161428785032,0.8967608332706033,0.004265962340926799,6.382732397678377,0.47540983606557374,376
sp500,RNN,none,9,3,61,0.006238191654837186,0.8927619561298403,0.004017985934893334,7.427562527868885,0.5573770491803278,600
