name,family
sma_ratio_5,trend
ema_ratio_5,trend
wma_ratio_5,trend
sma_ratio_10,trend
ema_ratio_10,trend
wma_ratio_10,trend
sma_ratio_20,trend
ema_ratio_20,trend
wma_ratio_20,trend
sma_ratio_60,trend
ema_ratio_60,trend
wma_ratio_60,trend
sma_ratio_120,trend
ema_ratio_120,trend
wma_ratio_120,trend
sma_cross_5_20,trend
sma_cross_10_60,trend
sma_cross_20_120,trend
macd_diff_12_26_9,trend
macd_signal_12_26_9,trend
macd_hist_12_26_9,trend
macd_diff_5_35_5,trend
macd_signal_5_35_5,trend
macd_hist_5_35_5,trend
adx_14,trend
pdi_14,trend
mdi_14,trend
adx_28,trend
pdi_28,trend
mdi_28,trend
aroon_up_14,trend
aroon_dn_14,trend
aroon_osc_14,trend
aroon_up_25,trend
aroon_dn_25,trend
aroon_osc_25,trend
linreg_slope_5,trend
linreg_slope_10,trend
linreg_slope_20,trend
linreg_slope_60,trend
linreg_slope_120,trend
trix_15,trend
vortex_pos_14,trend
vortex_neg_14,trend
psar_dist,trend
roc_5,momentum
roc_10,momentum
roc_20,momentum
roc_60,momentum
roc_120,momentum
rsi_6,momentum
rsi_14,momentum
rsi_28,momentum
stoch_k_14_3,momentum
stoch_d_14_3,momentum
stoch_k_60_3,momentum
stoch_d_60_3,momentum
stochrsi_14,momentum
willr_14,momentum
willr_28,momentum
cci_14,momentum
cci_20,momentum
cci_60,momentum
cmo_14,momentum
ppo_12_26,momentum
tsi_25_13,momentum
uo_7_14_28,momentum
ao_5_34,momentum
ret_lag_1,momentum
ret_lag_2,momentum
ret_lag_3,momentum
ret_lag_4,momentum
ret_lag_5,momentum
ret_lag_6,momentum
ret_lag_7,momentum
ret_lag_8,momentum
ret_lag_9,momentum
ret_lag_10,momentum
up_ratio_5,momentum
up_ratio_10,momentum
up_ratio_20,momentum
up_ratio_60,momentum
up_ratio_120,momentum
mom_accel_5_20,momentum
atr_ratio_14,volatility
atr_ratio_28,volatility
ret_std_5,volatility
parkinson_5,volatility
gk_vol_5,volatility
ret_std_10,volatility
parkinson_10,volatility
gk_vol_10,volatility
ret_std_20,volatility
parkinson_20,volatility
gk_vol_20,volatility
ret_std_60,volatility
parkinson_60,volatility
gk_vol_60,volatility
ret_std_120,volatility
parkinson_120,volatility
gk_vol_120,volatility
bb_pctb_20,volatility
bb_bw_20,volatility
bb_pctb_60,volatility
bb_bw_60,volatility
keltner_pos_20_10,volatility
donchian_pos_5,volatility
donchian_pos_10,volatility
donchian_pos_20,volatility
donchian_pos_60,volatility
donchian_pos_120,volatility
dist_high_20,volatility
dist_low_20,volatility
dist_high_60,volatility
dist_low_60,volatility
dist_high_120,volatility
dist_low_120,volatility
mdd_20,volatility
mdd_60,volatility
vol_ratio_5_60,volatility
ulcer_14,volatility
vol_sma_ratio_5,volume
vol_sma_ratio_10,volume
vol_sma_ratio_20,volume
vol_sma_ratio_60,volume
vol_sma_ratio_120,volume
vol_z_20,volume
vol_z_60,volume
obv_slope_10,volume
obv_slope_20,volume
obv_slope_60,volume
cmf_20,volume
mfi_14,volume
ad_roc_10,volume
ad_roc_20,volume
force_13,volume
eom_14,volume
vwap_ratio_5,volume
vwap_ratio_20,volume
pvt_roc_10,volume
pvt_roc_20,volume
pv_corr_20,volume
pv_corr_60,volume
turnover_z_20,volume
turnover_z_60,volume
pv_diverge_20,volume
body_range,candle
upper_shadow,candle
lower_shadow,candle
close_pos,candle
gap,candle
range_ratio,candle
body_range_ma5,candle
body_range_ma20,candle
upper_shadow_ma5,candle
upper_shadow_ma20,candle
lower_shadow_ma5,candle
lower_shadow_ma20,candle
close_pos_ma5,candle
close_pos_ma20,candle
gap_ma5,candle
gap_ma20,candle
range_ratio_ma5,candle
range_ratio_ma20,candle
skew_20,stats
kurt_20,stats
autocorr_20,stats
ret_z_20,stats
skew_60,stats
kurt_60,stats
autocorr_60,stats
ret_z_60,stats
cumret_ex1_20,stats
cumret_ex1_60,stats
cumret_ex1_120,stats
updown_mag_ratio_20,stats
hurst_120,stats
dow_0,stats
dow_1,stats
dow_2,stats
dow_3,stats
ev_vol_x_avg20,event
ev_vol_vs_max20,event
ev_spike2,event
ev_spike3,event
ev_spike2_cnt5,event
ev_spike2_cnt20,event
ev_days_since_spike3,event
ev_spike_up,event
ev_spike_down,event
ev_spike_long_red,event
ev_spike_long_black,event
ev_spike_ret,event
ev_vol_pctile250,event
ev_amt_pctile250,event
ev_vol_dryup,event
ev_vol_dryup_cnt5,event
ev_limit_up,event
ev_limit_down,event
ev_limit_up_lock,event
ev_limit_down_lock,event
ev_limit_up_cnt20,event
ev_limit_down_cnt20,event
ev_days_since_limit_up,event
ev_days_since_limit_down,event
ev_touch_limit_up,event
ev_new_high_20,event
ev_new_low_20,event
ev_new_high_60,event
ev_new_low_60,event
ev_new_high_250,event
ev_new_low_250,event
ev_breakout_vol_60,event
ev_breakdown_vol_60,event
ev_streak,event
ev_up_streak_ge3,event
ev_down_streak_ge3,event
ev_bigmove5,event
ev_bigmove5_cnt20,event
ev_gap_up_spike,event
ev_gap_down_spike,event
ev_range_x_atr,event
p9_sma,paper9
p9_wma,paper9
p9_mom,paper9
p9_macd,paper9
p9_willr,paper9
p9_cci,paper9
p9_stoch_k,paper9
p9_stoch_d,paper9
p9_rsi,paper9
inst_foreign_net_r,chip
inst_trust_net_r,chip
inst_dealer_net_r,chip
inst_all_net_r,chip
inst_foreign_sum5,chip
inst_foreign_sum20,chip
inst_foreign_sum60,chip
inst_trust_sum5,chip
inst_trust_sum20,chip
inst_trust_sum60,chip
inst_all_sum5,chip
inst_all_sum20,chip
inst_all_sum60,chip
inst_foreign_streak,chip
inst_trust_streak,chip
inst_foreign_pos20,chip
inst_trust_pos20,chip
inst_foreign_z60,chip
mg_bal_chg1,chip
ss_bal_chg1,chip
mg_bal_chg5,chip
ss_bal_chg5,chip
mg_bal_chg20,chip
ss_bal_chg20,chip
mg_util,chip
ss_util,chip
ss_mg_ratio,chip
mg_bal_roc20,chip
mg_bal_to_vol,chip
sh_foreign_ratio,chip
sh_foreign_chg5,chip
sh_foreign_chg20,chip
sh_foreign_chg60,chip
sh_foreign_z60,chip
sh_foreign_room,chip
cs_rank_roc_5,cross_section
cs_rank_roc_20,cross_section
cs_rank_roc_60,cross_section
cs_rank_roc_120,cross_section
cs_rank_ret_std_20,cross_section
cs_rank_ret_std_60,cross_section
cs_rank_vol_z_20,cross_section
cs_rank_turnover_z_20,cross_section
cs_rank_rsi_14,cross_section
cs_excess_roc_5,cross_section
cs_excess_roc_10,cross_section
cs_excess_roc_20,cross_section
cs_excess_roc_60,cross_section
cs_excess_roc_120,cross_section
mkt_roc_5,cross_section
mkt_roc_20,cross_section
mkt_roc_60,cross_section
cs_beta_60,cross_section
cs_idio_std_60,cross_section
cs_rank_excess_roc_20,cross_section
cs_rank_inst_foreign_sum20,cross_section
cs_rank_inst_trust_sum20,cross_section
cs_rank_inst_all_sum5,cross_section
cs_rank_mg_bal_chg20,cross_section
cs_rank_ss_bal_chg5,cross_section
cs_rank_sh_foreign_chg20,cross_section
