name,family
mom_250_21,longmom
mom_250_126,longmom
mom_126_21,longmom
dist_high_250,longmom
mad_21_200,longmom
sma_ratio_250,longmom
fip_250,longmom
fip_126,longmom
mom_voladj_250_21,longmom
on_ret_5,overnight
id_ret_5,overnight
on_ret_20,overnight
id_ret_20,overnight
on_ret_60,overnight
id_ret_60,overnight
on_ret_120,overnight
id_ret_120,overnight
on_ret_250,overnight
id_ret_250,overnight
on_id_diff_20,overnight
on_id_diff_60,overnight
on_id_diff_250,overnight
inst_foreign_net_r,chip
inst_trust_net_r,chip
inst_dealer_net_r,chip
inst_all_net_r,chip
inst_foreign_sum5,chip
inst_foreign_sum20,chip
inst_foreign_sum60,chip
inst_trust_sum5,chip
inst_trust_sum20,chip
inst_trust_sum60,chip
inst_all_sum5,chip
inst_all_sum20,chip
inst_all_sum60,chip
inst_foreign_streak,chip
inst_trust_streak,chip
inst_foreign_pos20,chip
inst_trust_pos20,chip
inst_foreign_z60,chip
mg_bal_chg1,chip
ss_bal_chg1,chip
mg_bal_chg5,chip
ss_bal_chg5,chip
mg_bal_chg20,chip
ss_bal_chg20,chip
mg_util,chip
ss_util,chip
ss_mg_ratio,chip
mg_bal_roc20,chip
mg_bal_to_vol,chip
sh_foreign_ratio,chip
sh_foreign_chg5,chip
sh_foreign_chg20,chip
sh_foreign_chg60,chip
sh_foreign_z60,chip
sh_foreign_room,chip
resid_mom_250_21,longmom
persist_12,longmom
cs_rank_inst_foreign_sum20,chip
cs_rank_inst_trust_sum20,chip
cs_rank_inst_all_sum5,chip
cs_rank_mg_bal_chg20,chip
cs_rank_ss_bal_chg5,chip
cs_rank_sh_foreign_chg20,chip
