feature,r2,corr
ss_util,0.5983069539070129,0.778447255342941
ret_std_5,0.7090611457824707,0.8427908061787779
bb_bw_20,0.7640712261199951,0.8744251228300638
dist_low_120,0.7777974009513855,0.88215577985175
donchian_pos_5,0.8046614527702332,0.8970856269899254
obv_slope_10,0.8166272044181824,0.9036853567617289
dist_high_120,0.8260521292686462,0.9090984264536033
dist_high_20,0.8362215161323547,0.9148484938579986
inst_trust_sum5,0.8396176695823669,0.916366562645374
ad_roc_10,0.8434726595878601,0.9184282139051426
up_ratio_60,0.8518696427345276,0.9230759972568855
ret_z_20,0.8578174710273743,0.9261892163347257
macd_hist_12_26_9,0.8590693473815918,0.9269186547121979
stoch_k_60_3,0.8648242950439453,0.9300861214389678
obv_slope_60,0.8649148941040039,0.9300613771642441
mg_bal_chg5,0.8649329543113708,0.9294095894050706
parkinson_10,0.869478702545166,0.932570801325615
cs_rank_ret_std_20,0.8724681735038757,0.9347292103507288
cs_rank_mg_bal_chg20,0.8732008934020996,0.9341016082333878
donchian_pos_120,0.877708911895752,0.9369656819990225
stoch_d_14_3,0.8869785666465759,0.9419634747170466
uo_7_14_28,0.8872666358947754,0.941964808664347
inst_trust_net_r,0.8897431492805481,0.9432613411928784
linreg_slope_120,0.8902966976165771,0.9441382694412068
mom_126_21,0.8904808163642883,0.944123934724297
cs_excess_roc_5,0.908851683139801,0.9534766057744068
mad_21_200,0.9148414134979248,0.956680282452711
upper_shadow_ma20,0.9195106029510498,0.9589138449816726
linreg_slope_5,0.921865701675415,0.960154445305296
close_pos,0.9219860434532166,0.9602039210561973
body_range,0.9227913022041321,0.9606320579292905
cs_rank_inst_trust_sum20,0.9246882796287537,0.9615575651642249
on_id_diff_20,0.9344831109046936,0.9669519422144702
ema_ratio_5,0.9427539706230164,0.9711743278781592
pv_corr_20,0.9503533244132996,0.9748465811956232
sh_foreign_ratio,0.9562454223632812,0.9779161094889278
lower_shadow,0.9759815335273743,0.9879952207461438
ret_lag_7,0.9851415753364563,0.9925483465615362
