,nan_ratio,mean,std,kept
sma_ratio_5,0.0023501762632197414,0.0011675805,0.01956963,True
ema_ratio_5,0.0,0.0010217627,0.016063092,True
wma_ratio_5,0.0023501762632197414,0.0007327675,0.014408329,True
sma_ratio_10,0.005287896592244419,0.002735319,0.030389627,True
ema_ratio_10,0.0,0.0023745075,0.02576915,True
wma_ratio_10,0.005287896592244419,0.0017379593,0.022849107,True
sma_ratio_20,0.011163337250293772,0.0059454506,0.04599402,True
ema_ratio_20,0.0,0.0050811064,0.039069917,True
wma_ratio_20,0.011163337250293772,0.0037798176,0.034647364,True
sma_ratio_60,0.03466509988249119,0.017214797,0.08807676,True
ema_ratio_60,0.0,0.015714165,0.073718466,True
wma_ratio_60,0.03466509988249119,0.01090755,0.06515309,True
sma_ratio_120,0.0699177438307873,0.036244087,0.13995393,True
ema_ratio_120,0.0,0.03209705,0.11248641,True
wma_ratio_120,0.0699177438307873,0.022801952,0.1000531,True
sma_cross_5_20,0.011163337250293772,0.0045326236,0.035745807,True
sma_cross_10_60,0.03466509988249119,0.014061381,0.072620064,True
sma_cross_20_120,0.0699177438307873,0.02907089,0.11095825,True
macd_diff_12_26_9,0.0,0.0025773917,0.020448117,True
macd_signal_12_26_9,0.0,0.0025507682,0.019150976,True
macd_hist_12_26_9,0.0,2.6623537e-05,0.0061728237,True
macd_diff_5_35_5,0.0,0.0055106673,0.042779263,True
macd_signal_5_35_5,0.0,0.0054856413,0.041282557,True
macd_hist_5_35_5,0.0,2.502558e-05,0.008775358,True
adx_14,0.0008108108108108108,25.820171,12.257856,True
pdi_14,0.0,23.751957,8.3387985,True
mdi_14,0.0,21.044788,8.291491,True
adx_28,0.0008108108108108108,20.091602,12.124361,True
pdi_28,0.0,23.548021,6.496627,True
mdi_28,0.0,21.0056,6.563112,True
aroon_up_14,0.008225616921269096,51.788086,36.5452,True
aroon_dn_14,0.008225616921269096,41.313133,35.941994,True
aroon_osc_14,0.008225616921269096,10.47495,63.32747,True
aroon_up_25,0.014688601645123384,53.055313,35.80238,True
aroon_dn_25,0.014688601645123384,39.689877,34.845444,True
aroon_osc_25,0.014688601645123384,13.365438,61.678497,True
linreg_slope_5,0.0023501762632197414,0.00038806524,0.009115502,True
linreg_slope_10,0.005287896592244419,0.0003981808,0.006293385,True
linreg_slope_20,0.011163337250293772,0.00040381766,0.004477749,True
linreg_slope_60,0.03466509988249119,0.00034715782,0.0024987154,True
linreg_slope_120,0.0699177438307873,0.0003538836,0.0017415519,True
trix_15,0.0005875440658049354,0.054253127,0.29882097,True
vortex_pos_14,0.008225616921269096,0.97402245,0.1670871,True
vortex_neg_14,0.008225616921269096,0.91241705,0.16457923,True
psar_dist,0.0005875440658049354,0.0025120545,0.059223905,True
roc_5,0.002937720329024677,0.0035631892,0.040499493,True
roc_10,0.005875440658049354,0.0073126457,0.058807995,True
