,gain_mean,perm_mean,rank_mean,rank_std,family
mkt_roc_60,0.19118285576910646,0.037231587732296824,1.0,0.0,cross_section
mkt_roc_20,0.09719744417973204,0.006709462689851582,2.3333333333333335,0.5163977794943222,cross_section
close_pos,0.030918495362745713,0.009621472638342357,3.1666666666666665,0.983192080250175,candle
adx_28,0.014564574248417167,0.0009872606028021498,7.833333333333333,1.7224014243685084,trend
cs_excess_roc_120,0.013409203805380354,0.0009999004268738492,8.333333333333334,2.1602468994692865,cross_section
upper_shadow_ma20,0.011623150751555277,0.0009509715486333035,9.666666666666666,3.6147844564602556,candle
hurst_120,0.019675040478209917,0.00028045640922971484,14.666666666666666,13.923601066773879,stats
linreg_slope_120,0.011187526501587717,0.0006137053627112884,21.333333333333332,24.581836112598804,trend
pv_corr_60,0.010709939393734769,0.0002315340657308799,22.333333333333332,11.430952132988166,volume
upper_shadow,0.004911934920278777,0.001740709782402076,24.833333333333332,24.036777376900314,candle
cs_idio_std_60,0.010045416058598246,0.00027844860985216783,25.333333333333332,15.13494851879803,cross_section
macd_hist_12_26_9,0.008781467475107456,0.00014112101369530747,27.5,14.842506526863986,trend
close_pos_ma5,0.005306290014288379,0.00022753643751533608,34.5,16.63430190900718,candle
donchian_pos_5,0.0034958736557010005,0.0007939073989531063,35.666666666666664,32.20351947639678,volatility
cumret_ex1_120,0.005232314186067815,0.0001998634402360243,36.0,21.335416564951338,stats
turnover_z_20,0.004853784094749752,0.0002135961998517165,37.166666666666664,14.756919281024299,volume
pdi_28,0.0047742023182476175,0.0002725101633612232,37.666666666666664,20.106383729220596,trend
ao_5_34,0.0205882956133933,-9.5668618021769e-06,43.0,73.59347797189639,momentum
ad_roc_10,0.01413434684844398,-8.614423204079799e-05,44.0,76.7932288681756,volume
dow_1,0.002503165364126505,0.0007521683702330023,46.833333333333336,43.63217467267322,stats
cs_rank_roc_120,0.01341808204523342,-4.781143741525471e-05,47.0,73.65595698923475,cross_section
upper_shadow_ma5,0.003527636866330209,0.0002466913990302559,47.166666666666664,23.911642910236566,candle
sma_cross_20_120,0.003973477709492514,0.00020226005674282995,47.333333333333336,20.382999452157836,trend
mdd_60,0.010707283788188762,6.76133383553163e-05,49.333333333333336,65.66785108914914,volatility
cs_beta_60,0.0060121129027683835,0.00011148432654465672,53.0,53.546241698180836,cross_section
kurt_20,0.0027665807522352787,0.00026647042837440397,53.333333333333336,39.82294146175878,stats
eom_14,0.011489603284065628,7.323648356074821e-05,55.166666666666664,73.30870798661415,volume
turnover_z_60,0.005985916490300884,9.331284365085876e-05,56.5,60.33489869055885,volume
pvt_roc_10,0.00699023534640662,-5.28170495330703e-05,59.666666666666664,66.25908742705914,volume
roc_60,0.003121879440875138,7.379683765882137e-05,60.333333333333336,21.228911104120876,momentum
cs_rank_roc_60,0.00433059983519789,0.00016222169454185558,63.666666666666664,48.5413912724663,cross_section
gk_vol_60,0.0059777966722622524,-3.8081207071173533e-06,63.666666666666664,59.34531714184926,volatility
mfi_14,0.0035442948364586683,4.651429119416505e-05,64.16666666666667,21.37677867843204,volume
wma_ratio_10,0.002597413644171954,0.00010376352926369207,66.83333333333333,39.09177236537973,trend
sma_ratio_10,0.0019456182885918235,0.0001694964957039814,68.66666666666667,39.10328204469117,trend
cs_rank_ret_std_60,0.002271924171246223,7.387525455883184e-05,70.66666666666667,30.395175055700314,cross_section
vwap_ratio_5,0.0025160585451973624,0.00027556842246193963,70.83333333333333,49.571833400295645,volume
cs_excess_roc_10,0.003627127111125761,0.00012752548365463972,71.66666666666667,42.462532504157906,cross_section
close_pos_ma20,0.008214566698595147,-4.710241794423118e-05,75.0,71.55417527999327,candle
ulcer_14,0.007911160778363164,-4.814144186946232e-05,75.33333333333333,71.07367069925871,volatility
linreg_slope_60,0.004849851321827386,-5.615630252549705e-05,75.75,66.11032445843841,trend
sma_cross_10_60,0.0034425798748524646,5.138430742240234e-05,76.0,53.27663653047178,trend
adx_14,0.005024333240571951,2.7315220173012517e-05,76.16666666666667,56.87676737180715,trend
wma_ratio_5,0.0021351012601094187,0.00011635924382913387,77.91666666666667,36.79186957286442,trend
up_ratio_60,0.004946421630911708,3.2866483220157004e-05,79.66666666666667,68.10188445752927,momentum
roc_120,0.005420310357312373,-1.640383527253449e-05,79.66666666666667,61.4220373047546,momentum
cci_14,0.005825572074935073,-4.456693817696719e-05,80.5,66.78248273312396,momentum
wma_ratio_120,0.0025220090540345945,9.04898352501984e-05,81.16666666666667,47.067681764313264,trend
body_range_ma20,0.004552787895238814,-1.1806644508936972e-05,82.16666666666667,60.512533137083814,candle
ret_std_120,0.008109922083243624,-0.0004244772145401853,82.16666666666667,87.60003805174212,volatility
force_13,0.002693942070027658,8.459713195090805e-05,82.33333333333333,59.771788217073336,volume
gap_ma5,0.0018056135765392473,8.756227098283276e-05,83.16666666666667,34.18430439056303,candle
gk_vol_120,0.005590258827697893,-1.5227581772266538e-05,83.16666666666667,63.389010614353865,volatility
roc_10,0.005723256058842119,-5.645690064222849e-05,83.16666666666667,65.81615809713195,momentum
lower_shadow_ma20,0.0028039981099762363,5.0791279615960664e-05,85.5,34.86402156952063,candle
dist_high_120,0.0026217429249024496,8.302389289427392e-05,85.66666666666667,40.85421234911605,volatility
cmf_20,0.001756896424112047,6.421363900241702e-05,85.83333333333333,32.325944172856985,volume
atr_ratio_28,0.003949408645267791,1.1716791811074623e-05,86.16666666666667,52.2050444561315,volatility
autocorr_20,0.0029789085367485433,-0.00014898720897830545,87.0,54.118388741720686,stats
sma_ratio_5,0.0020794513971884947,6.0279724518188774e-05,87.25,34.504709823442944,trend
updown_mag_ratio_20,0.002559626885403958,6.494716375465219e-05,87.5,41.19101843848972,stats
gk_vol_10,0.006548211428590279,-0.00015576373608822754,87.66666666666667,74.96043400799296,volatility
bb_bw_60,0.00555318078166846,-0.0002794631284961256,87.83333333333333,80.80202142685954,volatility
dist_low_20,0.0032942179050476556,4.058074575967005e-06,90.66666666666667,46.04635345677947,volatility
cs_rank_ret_std_20,0.003899862773800967,-5.582629807126476e-05,90.66666666666667,49.79424330850571,cross_section
ret_std_10,0.006520140898308202,-6.428225378989843e-05,91.16666666666667,65.90118865898145,volatility
body_range_ma5,0.0032375666875231906,8.093277556069857e-06,91.66666666666667,47.5590860579413,candle
cumret_ex1_60,0.001644495376147362,0.00017957633472710633,91.83333333333333,43.54499588548226,stats
trix_15,0.004329653052617663,-9.8651727593725e-05,92.33333333333333,77.922183405412,trend
pv_corr_20,0.007515841820616928,-0.00010201548586741271,92.5,74.04525643145548,volume
