,nan_ratio,mean,std,kept
sma_ratio_5,0.002365179304681084,0.0011648625,0.022831455,True
ema_ratio_5,0.0,0.00096542336,0.018688926,True
wma_ratio_5,0.002365179304681084,0.0007141286,0.016718451,True
sma_ratio_10,0.005321653435532439,0.0027748598,0.03559589,True
ema_ratio_10,0.0,0.002282074,0.02997771,True
wma_ratio_10,0.005321653435532439,0.0017306076,0.026720952,True
sma_ratio_20,0.011234601697235148,0.0060494663,0.05334806,True
ema_ratio_20,0.0,0.004923744,0.04494659,True
wma_ratio_20,0.011234601697235148,0.003787059,0.04038446,True
sma_ratio_60,0.03488639474404599,0.017310435,0.096694894,True
ema_ratio_60,0.0,0.015259637,0.081193686,True
wma_ratio_60,0.03488639474404599,0.010896339,0.07319592,True
sma_ratio_120,0.07036134683821517,0.03634822,0.14459178,True
ema_ratio_120,0.0,0.03106297,0.118330926,True
wma_ratio_120,0.07036134683821517,0.02288749,0.107241124,True
sma_cross_5_20,0.011234601697235148,0.0045654913,0.041579533,True
sma_cross_10_60,0.03488639474404599,0.014054978,0.08030003,True
sma_cross_20_120,0.07036134683821517,0.029008914,0.11651056,True
macd_diff_12_26_9,0.0,0.00214122,0.02355232,True
macd_signal_12_26_9,0.0,0.0021367674,0.021968244,True
macd_hist_12_26_9,0.0,4.4529334e-06,0.007282359,True
macd_diff_5_35_5,0.0,0.004578737,0.049287517,True
macd_signal_5_35_5,0.0,0.0045777983,0.04747824,True
macd_hist_5_35_5,0.0,9.3788503e-07,0.010353164,True
adx_14,0.0007062688201478237,26.461493,12.427569,True
pdi_14,0.0,24.386318,8.582755,True
mdi_14,0.0,21.289608,8.351627,True
adx_28,0.0007062688201478237,20.59568,12.257756,True
pdi_28,0.0,24.246012,6.6234684,True
mdi_28,0.0,21.204533,6.492346,True
aroon_up_14,0.008278127566383794,50.03411,36.469616,True
aroon_dn_14,0.008278127566383794,42.44461,36.043617,True
aroon_osc_14,0.008278127566383794,7.5894976,63.144737,True
aroon_up_25,0.014782370654256775,50.967724,35.70395,True
aroon_dn_25,0.014782370654256775,41.365124,35.130436,True
aroon_osc_25,0.014782370654256775,9.602601,61.78297,True
linreg_slope_5,0.002365179304681084,0.0003140269,0.010669344,True
linreg_slope_10,0.005321653435532439,0.00032895568,0.0074401484,True
linreg_slope_20,0.011234601697235148,0.0003410977,0.005238225,True
linreg_slope_60,0.03488639474404599,0.00029929727,0.0028481479,True
linreg_slope_120,0.07036134683821517,0.00031700108,0.0019514795,True
trix_15,0.000591294826170271,0.05298007,0.3355105,True
vortex_pos_14,0.008278127566383794,0.9712265,0.16568892,True
vortex_neg_14,0.008278127566383794,0.92945045,0.17136535,True
psar_dist,0.000591294826170271,-0.00052792375,0.07103452,True
roc_5,0.002956474130851355,0.0037958745,0.04741712,True
roc_10,0.00591294826170271,0.007853182,0.0685945,True
roc_20,0.01182589652340542,0.016088301,0.10101488,True
roc_60,0.03547768957021626,0.046161383,0.19837458,True
roc_120,0.07095264166438543,0.09993449,0.3404763,True
rsi_6,0.0009416917601970982,51.944847,18.247684,True
rsi_14,0.0009416917601970982,51.85693,12.506462,True
rsi_28,0.0009416917601970982,51.672443,9.693515,True
stoch_k_14_3,0.008869422392554066,51.54203,27.611244,True
stoch_d_14_3,0.010052012044894608,51.56154,26.804714,True
stoch_k_60_3,0.03606898439638653,53.57679,28.235811,True
stoch_d_60_3,0.037251574048727074,53.569725,28.020525,True
stochrsi_14,0.008628524500410621,0.5005849,0.35958603,True
willr_14,0.0076868327402135235,-48.48065,29.753254,True
willr_28,0.015964960306597317,-47.46605,29.36674,True
cci_14,0.0076868327402135235,11.229799,110.43292,True
cci_20,0.011234601697235148,13.595397,113.67034,True
