,gain_mean,perm_mean,rank_mean,rank_std,family
ao_5_34,0.023999990554204768,0.0004983098243845044,7.5,4.324349662087931,momentum
close_pos,0.03090512972567838,0.005364820570614086,20.083333333333332,40.87348366198637,candle
force_13,0.0032560427129276082,0.011564705264098722,22.0,22.217110523198105,volume
pv_corr_20,0.006421651378552763,0.0004471249219408533,27.916666666666668,37.261799026169776,volume
cs_rank_ret_std_20,0.006301144400592974,0.0004400010553761898,28.583333333333332,36.72113378787026,cross_section
cs_excess_roc_120,0.005581175240058561,0.0010062430869067034,28.916666666666668,37.14622008585351,cross_section
upper_shadow,0.005618113539934851,0.001757167987243396,29.583333333333332,36.76739950916664,candle
bb_pctb_20,0.0023120050085499166,0.000482986767507021,34.333333333333336,26.211956559300695,volatility
mkt_roc_20,0.16317977429478256,0.004557587872247705,35.666666666666664,51.77418919371569,cross_section
ret_std_5,0.004625463783810698,7.452909676075592e-06,40.0,38.36665218650175,volatility
body_range_ma20,0.0033121696926814406,0.00010299136968949796,45.083333333333336,34.32843816235552,candle
pv_corr_60,0.009082822307500231,1.1383297674817505e-05,45.333333333333336,45.51666361528124,volume
turnover_z_60,0.005523078888519391,3.663229865405151e-05,47.5,42.874234687047185,volume
cs_rank_roc_120,0.005181843367305127,5.82386163512854e-05,48.0,42.35445667223226,cross_section
cs_beta_60,0.00342256299713258,7.283965262456288e-06,48.416666666666664,30.874612008358366,cross_section
cs_rank_ret_std_60,0.0028156075292034657,0.00026812678304581156,49.75,31.025392825877322,cross_section
mkt_roc_60,0.2757187398215189,0.0068614551649643545,51.083333333333336,83.25888340992009,cross_section
skew_60,0.005696981767732125,5.688408327585313e-07,52.666666666666664,42.31036122117923,stats
mkt_roc_5,0.14964819331580326,-0.001926363146244392,52.75,83.01310137562625,cross_section
gk_vol_120,0.0028783943687610536,0.001322732375987111,53.833333333333336,60.5488783270728,volatility
linreg_slope_120,0.00456722734260325,1.1760948432483331e-05,55.333333333333336,38.54564393892865,trend
mdi_28,0.0020487345468982697,0.00039074907320651374,56.916666666666664,37.89777917855697,trend
aroon_dn_14,0.0073485480876532075,9.466842693681452e-05,57.25,73.15309289428575,trend
upper_shadow_ma5,0.0017397678177419069,0.0006361740710976171,58.666666666666664,45.34607664028572,candle
pdi_28,0.0031808315049152193,0.0001286583088448238,58.833333333333336,38.86986836441136,trend
willr_14,0.004239316998112543,6.517803660368829e-07,59.333333333333336,36.54266912345986,momentum
cumret_ex1_120,0.0031017237449879552,6.536029338229572e-05,59.333333333333336,35.57761468489233,stats
parkinson_10,0.003101123528962736,7.291742485836405e-05,59.833333333333336,37.21379672469159,volatility
roc_120,0.004142582742425072,1.5826824771118335e-06,60.333333333333336,35.15916191644315,momentum
sma_cross_20_120,0.0035582994587705238,0.0003987970105373797,64.58333333333333,58.597283782327885,trend
ad_roc_10,0.002531049480656271,2.709600395414371e-05,64.66666666666667,33.760430486986785,volume
roc_5,0.0053498909508972415,0.0,65.66666666666667,46.12772123860734,momentum
