,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.050652947091045286,0.0067205506012669594,1.5,0.5477225575051661,candle
upper_shadow,0.019747022387302648,0.0015124416507303771,4.666666666666667,1.8618986725025255,candle
cs_excess_roc_5,0.016339153651931893,0.001941271491635711,5.166666666666667,2.8577380332470415,cross_section
pv_corr_20,0.023654733791810222,0.0005809204062454541,7.0,5.621387729022079,volume
up_ratio_120,0.013935930476036857,0.0005044318381587982,11.333333333333334,3.9327683210007005,momentum
cumret_ex1_120,0.012154654452257607,0.000845844507500964,12.833333333333334,6.2742861479746574,stats
mkt_roc_5,0.011194152367216716,0.0006374482565181497,15.0,9.402127418834526,cross_section
wma_ratio_5,0.009101082581105124,0.001077268548610233,17.0,13.564659966250536,trend
ema_ratio_120,0.012590624366384159,0.000353381462577783,17.666666666666668,7.7631608682718065,trend
cs_rank_roc_5,0.009673898878283661,0.0006282947084206046,19.666666666666668,12.816655830077778,cross_section
lower_shadow,0.014602112223241306,0.00016525638577699926,20.166666666666668,13.87683921743949,candle
ret_lag_1,0.010904891447596989,0.00022881051867166638,21.166666666666668,3.868677637987775,momentum
roc_120,0.007697280042724842,0.00048725957350716063,24.833333333333332,16.24089488503225,momentum
close_pos_ma20,0.00717018576695528,0.0004474470455208608,28.166666666666668,18.872378405136608,candle
mdd_20,0.013611784119310211,8.688081012703858e-05,28.666666666666668,18.31574914292797,volatility
hurst_120,0.01126039445878359,0.00021223585425787935,29.333333333333332,20.93481948015475,stats
cs_excess_roc_120,0.007775467797673324,0.0002948499552630028,29.333333333333332,16.058227382456217,cross_section
linreg_slope_120,0.0095367900074858,0.00016654205266425975,30.333333333333332,12.209286083414815,trend
sma_cross_20_120,0.006858616750578667,0.0004244072511974611,30.666666666666668,18.885620632287058,trend
up_ratio_60,0.007387151559687999,0.00035581935839527445,31.333333333333332,15.920636503188769,momentum
cs_excess_roc_60,0.007150938016047835,0.0001342411074057982,40.5,15.056560032092323,cross_section
roc_20,0.006489249218948718,0.00016074054607562172,41.666666666666664,18.779421361337697,momentum
kurt_60,0.0072080965533874095,9.403078816944749e-05,45.0,13.114877048604,stats
upper_shadow_ma5,0.005761180373333906,9.836673889091547e-05,47.5,10.36822067666386,candle
body_range,0.00532469748719235,0.00032475658515800863,48.0,37.978941533434025,candle
pv_corr_60,0.008170515285980227,3.909723442654636e-05,52.166666666666664,21.008728344825315,volume
adx_28,0.005714884631539127,0.00011744619207463034,52.333333333333336,15.794513815457146,trend
gk_vol_120,0.012216218867533941,-1.7359112586021555e-06,54.666666666666664,67.7633135750213,volatility
eom_14,0.007364463760011948,0.00014318701769142382,58.5,49.81465647778774,volume
cs_excess_roc_20,0.005369502627134616,7.589992750308323e-05,58.833333333333336,23.506736623076087,cross_section
skew_20,0.0046168434342280145,8.61142812629772e-05,59.833333333333336,21.930952251707325,stats
skew_60,0.005165139104701134,9.12810441928702e-05,60.333333333333336,25.85085427344069,stats
vol_sma_ratio_20,0.008285966696557887,2.9517189390667237e-05,61.333333333333336,58.565063533361474,volume
cs_rank_ret_std_60,0.006047278465452179,7.062878025215152e-05,61.333333333333336,27.23722942346866,cross_section
obv_slope_60,0.008908990290124487,8.786480632653565e-05,61.666666666666664,59.14276512530223,volume
atr_ratio_28,0.007798044711439415,-3.387880125709712e-06,62.166666666666664,63.08539186425545,volatility
cs_beta_60,0.013622998504946969,1.2438609667141262e-05,63.333333333333336,69.37050285724233,cross_section
vol_sma_ratio_5,0.0037543064012910883,0.00011430361510324074,64.0,29.79932885150268,volume
aroon_osc_25,0.0036182350074275686,0.00012672056502373142,64.66666666666667,32.2407609504904,trend
body_range_ma20,0.004729908315702895,6.821106540335877e-05,64.83333333333333,28.519583914683373,candle
adx_14,0.00684101950570912,4.0244157153769405e-05,65.83333333333333,55.528070979160326,trend
mkt_roc_60,0.055674912764691296,-0.000186093496952792,67.16666666666667,100.98003102924194,cross_section
gap_ma20,0.005959859091841817,0.00020092711787891542,67.33333333333333,44.50018726552358,candle
cs_rank_roc_20,0.005538508049288478,5.1557416853290995e-05,69.16666666666667,51.57292571365974,cross_section
stoch_d_14_3,0.008088931367352328,7.300726399379128e-06,69.66666666666667,51.11033815840653,momentum
force_13,0.005255209094791172,4.866240469664834e-05,72.5,51.702030907886005,volume
cmf_20,0.0030283548062655995,0.00012642837591178875,72.5,39.85849972088764,volume
stoch_d_60_3,0.005001455486278968,0.00015804569085453582,72.66666666666667,54.81483983983413,momentum
ad_roc_20,0.003561398179845138,9.10253026063574e-05,73.0,29.570255325241952,volume
parkinson_120,0.014418736365904834,-9.257532278655271e-05,74.5,85.37154092553325,volatility
bb_bw_60,0.005673486709716306,1.7974806106484878e-05,75.58333333333333,23.427370033075984,volatility
dist_low_120,0.0041718943895466196,3.0572079941578366e-05,75.83333333333333,6.6156380392723015,volatility
donchian_pos_5,0.002782002665970406,7.44540306830071e-05,78.33333333333333,32.172451984060324,volatility
roc_60,0.003510359013064427,0.00011384928234600996,78.5,41.7648177297591,momentum
sma_ratio_60,0.0024719674710119016,0.00014704723686985598,79.16666666666667,57.30764928582106,trend
cs_rank_roc_120,0.0039950995078618925,6.774029211554911e-05,79.16666666666667,34.359375236850084,cross_section
cs_idio_std_60,0.009238854114859087,-0.00018606879266349878,84.83333333333333,76.50991221186094,cross_section
mkt_roc_20,0.027840297800645713,-0.00010144416264846867,85.5,91.49808741170494,cross_section
close_pos_ma5,0.004845808137584627,9.508019854393485e-06,85.5,41.783968217487434,candle
dist_low_60,0.0026540201235457314,5.526358217124007e-05,85.66666666666667,34.77738728925258,volatility
ret_lag_2,0.003208705504744669,4.251234146268601e-05,86.25,23.895083176251973,momentum
parkinson_60,0.00767810405480648,-0.000248507927035741,87.5,85.50263153845032,volatility
macd_signal_12_26_9,0.0055453804257023925,1.5158430138365967e-05,87.5,47.39936708438204,trend
bb_bw_20,0.007144087587157529,-7.550526778254962e-05,88.0,77.50612878992216,volatility
range_ratio,0.010775933502600277,-0.0003236736848142173,88.16666666666667,85.51588546385207,candle
rsi_28,0.0019094535198267964,0.00013631296220426332,89.16666666666667,57.46448178367805,momentum
pvt_roc_20,0.003522527061191273,2.3972033297095214e-05,90.66666666666667,30.897680603350583,volume
atr_ratio_14,0.0059863684112620025,-4.859438091402929e-05,91.16666666666667,64.09186115776843,volatility
gk_vol_10,0.0037318554743830438,1.9224634376918066e-05,92.0,35.406214143847684,volatility
vol_ratio_5_60,0.0048647506901318745,-3.0741182539046363e-07,92.16666666666667,34.556716665022826,volatility
dist_high_20,0.0030443196403339076,2.7988307035431426e-05,92.16666666666667,46.04526758165997,volatility
cs_rank_excess_roc_20,0.0027732020213358834,5.6933122399109117e-05,92.5,39.39923857132267,cross_section
sma_ratio_5,0.0031275547791643848,2.7169846971646867e-05,94.33333333333333,42.18846603832221,trend
vol_sma_ratio_120,0.003205433592060377,1.871202037373454e-05,95.16666666666667,33.47486619340945,volume
linreg_slope_5,0.002370579917312349,4.307758256104509e-05,95.5,32.110745864897005,trend
tsi_25_13,0.0020667432799497576,8.732879283807677e-05,95.75,42.623643673435524,momentum
ad_roc_10,0.0029225286031727923,3.55114590254847e-05,95.83333333333333,34.049473808954325,volume
lower_shadow_ma20,0.003097610764784356,1.4933916861211335e-05,95.91666666666667,13.980045302740141,candle
gk_vol_60,0.003594326923667708,1.7789349962820603e-05,96.25,32.2517441388834,volatility
uo_7_14_28,0.0020053132099513513,5.7989665701721175e-05,99.58333333333333,45.83930264158331,momentum
ema_ratio_60,0.003077670836718721,2.4892181086921816e-05,99.83333333333333,39.47361988298852,trend
dist_high_120,0.0196735701407393,-0.0005993538074688819,100.33333333333333,103.77796811783638,volatility
donchian_pos_120,0.01137005323962865,-0.00026877857929622867,101.16666666666667,90.00981427970322,volatility
aroon_dn_25,0.002361904491902665,3.293838551225262e-05,102.83333333333333,41.36383283336623,trend
vol_sma_ratio_10,0.013059530335536194,-0.0004568802566116631,102.83333333333333,96.4311498773434,volume
cs_rank_turnover_z_20,0.005519107528068857,-0.00010080985392441684,103.16666666666667,60.63799688863961,cross_section
vortex_neg_14,0.0038479134052336254,2.130310018635627e-07,103.16666666666667,50.28485524158011,trend
mdd_60,0.016861373845642413,-0.0008220132190633519,103.33333333333333,105.16399890963953,volatility
trix_15,0.004838752107558251,-6.303412500205694e-05,103.5,52.925419223658494,trend
lower_shadow_ma5,0.002856990551999479,2.297368425338872e-05,103.83333333333333,36.9292115630251,candle
ao_5_34,0.002758524998562478,0.00010482664958443175,104.16666666666667,50.830764962438515,momentum
mfi_14,0.003056169803176892,9.728444745622016e-06,104.41666666666667,26.597775596216064,volume
ret_std_120,0.009182104716577108,-0.0001914997349124789,104.83333333333333,81.7640915479813,volatility
cumret_ex1_60,0.0032496976495397377,8.176771814083494e-07,105.0,44.56904755545041,stats
cci_20,0.0020296007396462313,3.315620079545766e-05,105.16666666666667,35.487556504592796,momentum
mdi_28,0.0014419447141425154,7.407650738861577e-05,105.5,59.11598768522776,trend
gk_vol_20,0.008471625653574223,-0.0003236762944222778,106.16666666666667,82.27616098644046,volatility
pdi_14,0.001971599774151677,2.6655145282032205e-05,106.66666666666667,33.44647465229581,trend
parkinson_20,0.0136148557389785,-0.0015952132850732086,107.0,102.97766748183803,volatility
kurt_20,0.0030197062319885838,-4.406584111999519e-06,107.33333333333333,25.508168626278657,stats
willr_28,0.0023854126734618357,7.698517649454592e-06,107.5,41.25409070625603,momentum
psar_dist,0.001291978962139248,5.524679369295349e-05,107.5,54.14702207878103,trend
stochrsi_14,0.0047298437215769545,-0.0001783302610243546,107.83333333333333,61.98521329048297,momentum
upper_shadow_ma20,0.005464408443526591,-6.108048544718593e-05,108.16666666666667,54.97423639002789,candle
turnover_z_20,0.003171977962909076,-1.9833455929177094e-05,108.5,30.50737615725089,volume
ret_std_10,0.0037782710888740792,-3.0656370280731274e-05,108.66666666666667,45.39897208821657,volatility
sma_ratio_120,0.003225153410613252,3.2477441748538873e-06,109.66666666666667,43.44038059992875,trend
ulcer_14,0.0073740314637148,-0.00012504363090642338,110.33333333333333,74.18804935208006,volatility
ema_ratio_5,0.0012970725707526108,6.346375347010547e-05,110.5,55.35973265831402,trend
linreg_slope_60,0.003348327346362708,-1.4780993830836804e-05,111.83333333333333,34.22523435517523,trend
vol_sma_ratio_60,0.0016395411428371056,2.3833115163185425e-05,112.33333333333333,35.09225935540011,volume
autocorr_60,0.008571856550763098,-0.0003448550032886614,112.33333333333333,87.37429065043486,stats
gk_vol_5,0.002700088802740553,6.334562521390391e-06,112.66666666666667,38.72294754621175,volatility
pvt_roc_10,0.0029634403383015143,-4.4260082944299256e-05,113.5,42.91270208225066,volume
wma_ratio_10,0.0015290761560863228,6.324358953969778e-05,113.5,57.35067567169545,trend
cci_14,0.0016534120665481324,2.778293088379069e-05,114.66666666666667,39.85306345397637,momentum
wma_ratio_120,0.0016122757306296948,5.897862015651838e-05,115.0,49.703118614429016,trend
macd_diff_12_26_9,0.0020542792807376514,1.3355190992658805e-05,115.0,28.684490582891655,trend
parkinson_5,0.0020343204422543833,8.46095812758987e-06,115.5,37.993420483025744,volatility
cs_rank_ret_std_20,0.008103330647256695,-0.0004406042183429597,115.66666666666667,85.69169543582777,cross_section
wma_ratio_60,0.0016155494449039264,7.811600663837965e-05,115.83333333333333,54.740904876213605,trend
ret_z_60,0.001811158401279274,3.7975015989196357e-06,116.5,46.76216419286002,stats
aroon_dn_14,0.0010764956416298257,5.128132032419488e-05,116.58333333333333,57.0073825628459,trend
vol_z_20,0.0025049282971974646,-3.805504396776134e-06,116.91666666666667,18.34234626940258,volume
range_ratio_ma5,0.0014552277410179312,2.537252293750076e-05,117.08333333333333,40.86859022117923,candle
stoch_k_60_3,0.0030340892353371406,-5.435778722547487e-05,117.33333333333333,55.13498586801911,momentum
range_ratio_ma20,0.00753398324886758,-0.00035553404125105494,117.83333333333333,82.97810956310505,candle
sma_cross_5_20,0.0015371623416833406,2.3931497385751592e-05,117.83333333333333,47.69241728688814,trend
autocorr_20,0.006607957351907913,-0.00023992214265765462,118.66666666666667,75.72229966573035,stats
bb_pctb_60,0.0015259911038299552,1.1612755713954727e-05,118.66666666666667,33.51218683802456,volatility
gap,0.001224631367455359,2.510538606260838e-05,119.0,44.57353474877217,candle
willr_14,0.0012662243969875028,1.7797091799979604e-05,121.16666666666667,41.729685676586,momentum
turnover_z_60,0.0017868277013524557,1.118738960606238e-06,121.33333333333333,33.01312870157366,volume
macd_signal_5_35_5,0.0016307413286634962,1.7795613022114013e-05,121.33333333333333,44.057538136698774,trend
stoch_k_14_3,0.0020326105242634016,3.1402283255192266e-08,122.41666666666667,18.948394830873315,momentum
parkinson_10,0.005343167039374424,-0.00016037728863836797,122.5,67.5122211158839,volatility
mom_accel_5_20,0.0018856225940068246,1.676586169520168e-05,123.5,41.774394071009574,momentum
ret_std_20,0.005929817145360161,-0.00031547681901888946,123.5,74.16940069867088,volatility
macd_hist_12_26_9,0.0022041642015761063,-1.4827792800881715e-06,123.83333333333333,34.6203215852578,trend
obv_slope_20,0.0018145552121137476,-2.129144393314686e-05,123.83333333333333,44.25569643183425,volume
bb_pctb_20,0.0009235806433530144,4.016795659942149e-05,124.0,56.06424885789517,volatility
pdi_28,0.0023025502130954206,-1.7258033768705358e-05,124.33333333333333,38.312748095988454,trend
sma_cross_10_60,0.0014734375704018121,1.2777510762710756e-05,125.16666666666667,38.64410261173969,trend
cs_excess_roc_10,0.002521258265814262,-3.441342295515712e-05,125.5,29.56856438855292,cross_section
vol_z_60,0.001704935913206226,-1.4311960281343516e-06,125.66666666666667,34.08029733829602,volume
roc_5,0.001245278055543777,7.217914838054797e-06,125.83333333333333,33.03583912460324,momentum
