,gain_mean,perm_mean,rank_mean,rank_std,family
mkt_roc_5,0.059178774004579576,1.6455585496782324e-05,20.25,40.791849676130155,cross_section
hurst_120,0.02626860228157735,0.0013437361315500453,20.833333333333332,40.305913544623536,stats
cs_rank_ret_std_60,0.0104297643091991,0.0034179934606979935,26.833333333333332,37.44017450101784,cross_section
body_range_ma20,0.006173541515202301,0.00019838509792715868,33.083333333333336,36.9762311041386,candle
ao_5_34,0.030859303849407757,8.439768989101617e-05,37.333333333333336,50.48432099837203,momentum
cs_rank_roc_120,0.012529802074930206,0.0003255404027159292,41.583333333333336,47.571437508936675,cross_section
cs_rank_ret_std_20,0.010645963911527292,0.0037876418347010323,42.333333333333336,46.97091298523659,cross_section
adx_28,0.00870185765797016,0.00013384735024337926,44.666666666666664,45.217990519998416,trend
mkt_roc_60,0.19270273719863748,-3.3741871846663475e-05,51.75,83.25487973686587,cross_section
skew_60,0.029110467052842832,0.0,54.083333333333336,53.41012700477941,stats
ulcer_14,0.023473770275697397,0.0,54.916666666666664,52.507539141219205,volatility
ret_std_120,0.020599295603695264,0.002083266007709596,55.166666666666664,80.26809245688268,volatility
bb_bw_60,0.003813884805563211,9.533798688215405e-05,56.5,38.6975451417787,volatility
parkinson_120,0.01680635580645563,0.0,56.916666666666664,50.30150759834805,volatility
pv_corr_60,0.016431083604841017,0.0,57.083333333333336,50.15218506373044,volume
gk_vol_120,0.010921688436668209,0.0,59.75,47.22049343240708,volatility
stoch_d_60_3,0.00959627145854799,0.0,60.583333333333336,46.29083782636329,momentum
cs_idio_std_60,0.0030644391777723107,0.00019462980231210736,61.666666666666664,37.78712302711953,cross_section
eom_14,0.007702974915949253,0.0,62.25,44.47892759498592,volume
cs_beta_60,0.008381416874169658,0.0,62.583333333333336,44.3310463069243,cross_section
atr_ratio_14,0.007043028210228373,0.0,63.25,43.374819884352256,volatility
aroon_dn_25,0.006933015498557116,0.0,64.25,42.39310085379459,trend
ret_std_60,0.006141386688043616,0.0,64.41666666666667,42.16208802546034,volatility
ret_std_20,0.006461256166535786,0.0,65.25,41.29618626459349,volatility
dist_high_120,0.005519332559032805,0.0,66.58333333333333,39.719537593817314,volatility
linreg_slope_120,0.005771356135633009,0.0,66.91666666666667,39.71701986134744,trend
