,nan_ratio,mean,std,kept
sma_ratio_5,0.002359598431304006,0.0011575999,0.022815133,True
ema_ratio_5,0.0,0.0009558209,0.018676067,True
wma_ratio_5,0.002359598431304006,0.0007078405,0.016706979,True
sma_ratio_10,0.005309096470434013,0.0027486314,0.035573125,True
ema_ratio_10,0.0,0.0022597238,0.029959382,True
wma_ratio_10,0.005309096470434013,0.0017163039,0.026702028,True
sma_ratio_20,0.011208092548694027,0.0059927893,0.053323295,True
ema_ratio_20,0.0,0.0048916317,0.044920206,True
wma_ratio_20,0.011208092548694027,0.0037500171,0.04036223,True
sma_ratio_60,0.03480407686173408,0.01732959,0.0966242,True
ema_ratio_60,0.0,0.015232939,0.08113677,True
wma_ratio_60,0.03480407686173408,0.010878958,0.07314355,True
sma_ratio_120,0.07019805333129417,0.03628719,0.14447771,True
ema_ratio_120,0.0,0.03099137,0.11825587,True
wma_ratio_120,0.07019805333129417,0.022861136,0.107156835,True
sma_cross_5_20,0.011208092548694027,0.00451666,0.041566454,True
sma_cross_10_60,0.03480407686173408,0.014102401,0.080248274,True
sma_cross_20_120,0.07019805333129417,0.029012293,0.11642566,True
macd_diff_12_26_9,0.0,0.0021384864,0.023536097,True
macd_signal_12_26_9,0.0,0.0021452063,0.021953108,True
macd_hist_12_26_9,0.0,-6.719843e-06,0.0072824694,True
macd_diff_5_35_5,0.0,0.0045654937,0.049254354,True
macd_signal_5_35_5,0.0,0.0045726052,0.04744495,True
macd_hist_5_35_5,0.0,-7.112078e-06,0.010346729,True
adx_14,0.000704602309347724,26.452509,12.421841,True
pdi_14,0.0,24.379808,8.577995,True
mdi_14,0.0,21.29302,8.349272,True
adx_28,0.000704602309347724,20.583017,12.248944,True
pdi_28,0.0,24.243404,6.619071,True
mdi_28,0.0,21.20692,6.489131,True
aroon_up_14,0.00825859450956402,49.99587,36.46388,True
aroon_dn_14,0.00825859450956402,42.48694,36.04698,True
aroon_osc_14,0.00825859450956402,7.5089297,63.146652,True
aroon_up_25,0.014747490195650036,50.951923,35.685883,True
aroon_dn_25,0.014747490195650036,41.382767,35.146828,True
aroon_osc_25,0.014747490195650036,9.569159,61.778664,True
linreg_slope_5,0.002359598431304006,0.00031311213,0.01066142,True
