,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.09171652662116496,0.007499841052524411,2.5,1.6431676725154984,candle
upper_shadow,0.04642116853516648,0.004949824452653375,3.5,1.6431676725154984,candle
body_range,0.030325774515264425,0.0013310384038627031,5.0,1.5491933384829668,candle
gap,0.028239564753358416,0.0006986873108715757,6.166666666666667,0.752772652709081,candle
lower_shadow,0.024166970126921605,0.0011899951842843216,6.5,2.4289915602982237,candle
ret_lag_1,0.014459190163764818,0.001115809367400275,8.0,4.2895221179054435,momentum
up_ratio_120,0.012457852843093016,0.0005054752595750673,9.833333333333334,2.5625508125043424,momentum
ret_z_60,0.005997422996280907,0.0002511054961808294,16.0,3.687817782917155,stats
dow_3,0.021611221258845886,0.00019389641158207294,17.166666666666668,13.87683921743949,stats
wma_ratio_5,0.005244526880345969,0.00014909767199917164,18.666666666666668,4.226897995772629,trend
dow_0,0.014228057982814101,0.00012863590568592788,20.0,14.845874847916509,stats
up_ratio_60,0.004845268046470014,0.00018526385658747106,20.5,8.264381404557755,momentum
mg_bal_to_vol,0.003868353150111582,0.00022080874509468177,20.833333333333332,10.068101443006356,chip
sh_foreign_ratio,0.004163776214459789,0.00013413107965693565,21.5,6.534523701081817,chip
ret_z_20,0.004911092162659452,0.0001114976818864028,22.0,6.0332412515993425,stats
bb_bw_20,0.00298543899373817,0.00013814748644100678,29.0,13.475904422338413,volatility
roc_5,0.002654468697744114,8.725509442871389e-05,35.0,21.789905919943756,momentum
sma_ratio_5,0.002356331922054597,9.619412966933707e-05,41.333333333333336,22.68626603623141,trend
hurst_120,0.0033209877398972174,4.107626756223571e-05,41.833333333333336,24.473795510027998,stats
ema_ratio_5,0.0019537079843194335,0.00018016491779161548,41.833333333333336,36.86416507486188,trend
cci_14,0.005733762332352119,1.9917763876602874e-05,42.166666666666664,26.50597416935787,momentum
ret_std_60,0.001799301353160001,0.00012672680318656957,42.333333333333336,27.405595535705235,volatility
mkt_roc_60,0.14157670252902257,0.0002497112636552007,43.833333333333336,95.6753190047813,cross_section
mkt_roc_5,0.15420546094267853,-5.987386297930571e-05,44.666666666666664,96.40885159914865,cross_section
ret_lag_6,0.0023128124916028344,2.242829175975242e-05,57.166666666666664,21.77536834743942,momentum
cs_rank_roc_5,0.0036409018436923436,7.956774472017702e-05,57.5,78.79276616542917,cross_section
pv_corr_20,0.0018448833792642095,3.106951913494576e-05,58.5,19.72561786104557,volume
bb_bw_60,0.0018555528820707434,2.830799740201802e-05,59.666666666666664,20.205609782104244,volatility
ret_lag_3,0.004220920803788885,2.3593842871057664e-05,60.666666666666664,70.64181953111533,momentum
kurt_60,0.001554609020606248,5.522386722514285e-05,62.0,31.16408188925193,stats
close_pos_ma5,0.0022314279808123626,0.00012047948964488686,62.166666666666664,46.9953898448206,candle
wma_ratio_10,0.002292408651253415,4.024506619181177e-05,66.66666666666667,61.921455624578684,trend
mdd_60,0.003406825469925002,-1.0995568209949528e-05,70.0,82.5687592252663,volatility
ret_std_20,0.001287426654822988,4.044730947500636e-05,70.33333333333333,25.920390943553816,volatility
upper_shadow_ma5,0.002274825241638551,5.7508071234329496e-05,70.5,82.77137186249846,candle
vol_sma_ratio_5,0.004295816718750662,4.4837891592313615e-06,71.16666666666667,81.02695024907864,volume
ao_5_34,0.0044554034894310375,3.5459932856819603e-06,74.66666666666667,69.45406155630256,momentum
parkinson_60,0.0011616963151383957,4.525829155619141e-05,75.16666666666667,41.32513359526702,volatility
body_range_ma20,0.0012092475478011249,2.9941604471438334e-05,75.33333333333333,31.63331577098213,candle
turnover_z_60,0.0036152110920983256,5.894608665192437e-06,76.0,72.48724025647549,volume
dist_low_120,0.0019205351320485274,1.7606700746945297e-05,76.75,42.48735105887398,volatility
aroon_dn_14,0.0025808440093720835,1.062206645960659e-05,77.0,74.39623646395025,trend
roc_10,0.0012826405071802254,1.88878555335127e-05,78.83333333333333,21.70176644116019,momentum
ret_lag_9,0.0025587484702860206,1.0273908268058444e-05,78.83333333333333,59.091172493585425,momentum
linreg_slope_20,0.0008403957046128082,4.899238288292986e-05,80.16666666666667,52.365701242957364,trend
eom_14,0.0017561899406778058,2.4399279693344668e-05,80.75,45.50137360563964,volume
ret_lag_8,0.002296838696505234,6.697266957813833e-06,81.5,56.95173395077625,momentum
cs_rank_roc_120,0.0010426853528256866,4.0188401025437815e-05,83.16666666666667,47.44856864718542,cross_section
cs_excess_roc_120,0.0010979514250826995,9.181979774079234e-05,83.5,58.93640640554869,cross_section
pdi_28,0.0007886230653298352,6.756618036211452e-05,83.83333333333333,70.01547448005095,trend
ret_lag_5,0.00238944669976163,4.313120077166961e-06,84.41666666666667,49.28733779244591,momentum
macd_hist_12_26_9,0.0010802217263024797,3.482996439496677e-05,84.5,43.376260788592646,trend
mkt_roc_20,0.11703365271748602,-0.00029509871474362213,84.66666666666667,120.84811403851805,cross_section
roc_20,0.0011634736524878812,1.97246139633172e-05,84.83333333333333,31.720130306583968,momentum
mg_util,0.0012913969057215232,4.722313304533148e-05,88.0,72.38508133586645,chip
linreg_slope_5,0.0020194261559410395,7.0279119924249805e-06,89.83333333333333,69.25724992133796,trend
inst_foreign_sum20,0.0011315658313125056,1.782174210633129e-05,90.16666666666667,30.149074059855746,chip
atr_ratio_28,0.0008431646860165105,4.195226219936041e-05,90.5,48.558212487693574,volatility
inst_foreign_net_r,0.001244834968673253,2.2658067746360468e-05,92.83333333333333,65.71275878143199,chip
ulcer_14,0.0021749698921763837,-3.3578110469889566e-07,92.83333333333333,61.40168293024766,volatility
adx_14,0.0011017218078524366,3.312798865526576e-05,93.66666666666667,60.25833275711059,trend
parkinson_10,0.0010651749045877976,5.019397068254753e-05,95.91666666666667,64.89099834851261,volatility
sh_foreign_room,0.0010583556892246092,1.980839084375013e-05,96.08333333333333,37.57980397323364,chip
ret_lag_10,0.002848907647030063,-1.4101796021743278e-05,96.16666666666667,83.74106917556442,momentum
dow_2,0.012642738236733814,-4.623869155189692e-05,96.83333333333333,100.03482726864014,stats
sma_cross_5_20,0.0008540670895677504,3.091914173954565e-05,96.83333333333333,58.785769252997504,trend
dow_1,0.007640146289391275,-1.40642437718287e-05,97.0,103.83640979926068,stats
close_pos_ma20,0.001153001229551995,2.1832086643858162e-05,97.16666666666667,59.51946460332676,candle
cs_rank_inst_foreign_sum20,0.0009471457591361418,1.4165028621960907e-05,97.16666666666667,35.19327587290883,cross_section
dist_low_60,0.0008708786739455252,1.8330718229172167e-05,97.5,37.87215335837137,volatility
vol_sma_ratio_10,0.004584816403156843,-2.9734309316039226e-05,99.0,106.8363234110946,volume
stoch_d_60_3,0.001289753649167082,1.051564035218592e-05,99.08333333333333,38.11091269789621,momentum
cs_excess_roc_5,0.0034503052967227656,-2.0856064937352985e-05,99.66666666666667,104.54026337572843,cross_section
turnover_z_20,0.0019915187493548974,1.1906925952394806e-05,99.83333333333333,77.13732343468152,volume
ret_lag_2,0.00995303597064322,-9.33653338384256e-05,102.66666666666667,110.83441102232946,momentum
sma_ratio_10,0.0014679187369812541,1.1270390056895688e-05,103.66666666666667,63.66684118649729,trend
ret_lag_4,0.0031987129469722205,-6.760836349478044e-06,103.66666666666667,84.45511628472646,momentum
ret_std_10,0.0005582949792718234,3.0486617282480626e-05,105.5,59.889064110236355,volatility
wma_ratio_20,0.0008323667053457794,6.776707647946109e-05,106.16666666666667,79.62265171838142,trend
sh_foreign_z60,0.002536338089611533,-3.9004663173994005e-06,106.66666666666667,71.73957531702196,chip
ret_std_120,0.001256494180104388,7.284968088883126e-06,107.16666666666667,70.0839972223807,volatility
wma_ratio_60,0.0010628285313547434,1.354693205990465e-05,107.83333333333333,52.27395782477797,trend
inst_all_net_r,0.0008999807606497086,2.201757455094149e-05,108.0,47.18474329695988,chip
vwap_ratio_5,0.0015508313291211428,4.476127153103032e-06,108.16666666666667,69.8667779897332,volume
up_ratio_20,0.0015577532657263464,-4.465013034243229e-07,108.16666666666667,57.164382850396166,momentum
body_range_ma5,0.000996459243946114,1.1734151923619647e-05,108.16666666666667,45.914776125629395,candle
cci_20,0.0015834276449172527,1.3179492556068967e-06,109.33333333333333,73.27118578722926,momentum
macd_hist_5_35_5,0.0006845632649075713,1.979155126980498e-05,109.5,52.06438321924115,trend
dist_high_20,0.0011854301460859599,3.5038101529173543e-06,109.5,44.95219683174561,volatility
skew_60,0.002544841839383714,-1.7798587692192177e-05,109.83333333333333,85.7097816276921,stats
stoch_k_14_3,0.0016084930067857778,1.2889009905172858e-06,110.5,67.5951181669209,momentum
linreg_slope_60,0.0006667756289808264,7.617625452559384e-05,110.91666666666667,80.90884788863741,trend
mfi_14,0.001115713422126973,1.0992284492984516e-05,112.0,53.71033420115723,volume
aroon_dn_25,0.0019209682272942653,-5.582234568331697e-06,113.83333333333333,71.54136332686613,trend
cs_beta_60,0.0009052187195805241,9.259744926628758e-06,115.66666666666667,35.8757113750608,cross_section
vol_z_60,0.0009652438366201565,9.758027919927316e-06,115.75,45.2876914845524,volume
atr_ratio_14,0.0007957654105107517,3.178680078761184e-05,116.0,84.94233337977006,volatility
lower_shadow_ma5,0.0008978280368930617,1.04838977553016e-05,116.0,51.85364018080119,candle
ss_bal_chg1,0.0006456793216339553,1.3143961055166958e-05,116.83333333333333,44.40007507501161,chip
pv_corr_60,0.0031655963686636978,-7.459426075002225e-06,117.0,90.13101574929686,volume
trix_15,0.0009759524026149175,2.0242851851796453e-06,118.16666666666667,26.026268781111643,trend
mdd_20,0.0009532135209083378,4.848450133278071e-06,119.08333333333333,31.503042181139694,volatility
cs_rank_turnover_z_20,0.0010574173421364485,-5.21580543910716e-06,119.16666666666667,63.291126286918505,cross_section
inst_trust_sum60,0.0013459169138163812,-5.821440716517283e-07,119.25,45.788371886320654,chip
sh_foreign_chg5,0.0007512745148693262,8.868645821514933e-06,119.25,38.03912459560551,chip
cs_rank_ret_std_20,0.001142821855144612,6.290422851249235e-07,119.33333333333333,51.81376908377412,cross_section
cs_rank_inst_trust_sum20,0.0006045763551413472,1.2759513581780032e-05,119.66666666666667,46.73185922544348,cross_section
ret_std_5,0.0007510387312016168,1.1621158382342974e-05,120.16666666666667,46.456072441249994,volatility
gk_vol_10,0.0006615581576296575,1.6087771176207274e-05,121.08333333333333,51.707268992537855,volatility
donchian_pos_120,0.0012727672974481214,-4.503407262879121e-06,121.41666666666667,52.5456151040852,volatility
stoch_d_14_3,0.0010959631455309815,-1.4073673933159524e-06,121.83333333333333,57.613945071194934,momentum
sma_ratio_120,0.001806023587747328,-8.86603568750477e-06,121.83333333333333,74.60674679053274,trend
willr_14,0.0009876117773899597,1.5377056957261494e-06,122.66666666666667,68.9772909490266,momentum
cmo_14,0.0011982960766124481,2.797642619074065e-06,123.08333333333333,50.60871137133079,momentum
range_ratio,0.008429883050798554,-7.059486193593411e-05,123.5,119.01050373811549,candle
pvt_roc_20,0.0007776319981203187,1.2071616985674812e-05,123.66666666666667,65.4879123706556,volume
ret_lag_7,0.0017646608604993356,-2.6974892529846925e-05,124.33333333333333,84.3745617272568,momentum
cumret_ex1_20,0.0011481977251868597,-7.108657749530265e-06,124.83333333333333,51.495307229558954,stats
inst_trust_pos20,0.0007388829658389048,1.47015374481659e-05,125.16666666666667,73.40413249038957,chip
range_ratio_ma20,0.0007954454888483526,2.6193873089762497e-05,126.33333333333333,59.098787353605374,candle
dist_high_120,0.0006562204439960087,1.1985566762764656e-05,128.58333333333334,55.12568971601777,volatility
aroon_up_25,0.0007340337456316276,6.162021099622963e-06,128.83333333333334,51.4681131057538,trend
gk_vol_60,0.000546290473053499,1.0647578414106166e-05,129.0,49.747361739091254,volatility
parkinson_120,0.0007028178769083649,1.7556266222943744e-05,129.66666666666666,63.47808020621501,volatility
dist_high_60,0.0007028820846351011,7.197486502167709e-06,130.66666666666666,38.274882973912106,volatility
gap_ma5,0.002249999066687579,-1.365293717797083e-05,131.16666666666666,89.4145774841366,candle
lower_shadow_ma20,0.00045475215515768883,1.2397546939602044e-05,131.83333333333334,53.53659184769485,candle
mg_bal_chg20,0.00026363343297754405,2.588486690772533e-05,132.0,82.31403282551524,chip
inst_foreign_sum5,0.0010677954121251238,-6.47111147959271e-06,132.08333333333334,50.01841327617927,chip
uo_7_14_28,0.0004978100715718274,1.159059455562655e-05,132.33333333333334,48.49604794894803,momentum
cs_rank_ret_std_60,0.0006955022167848219,7.526363381514677e-06,132.66666666666666,62.50333324444918,cross_section
vortex_pos_14,0.0007311727375108887,3.4731621283176944e-06,133.41666666666666,37.86610181503592,trend
up_ratio_10,0.0017083106967625357,-1.0211517646586802e-05,133.83333333333334,76.9140212618393,momentum
