,nan_ratio,mean,std,kept
sma_ratio_5,0.0036558476808320993,0.0009143201,0.024166357,True
ema_ratio_5,0.0,0.00066771166,0.019703656,True
wma_ratio_5,0.0036558476808320993,0.00053539715,0.017604904,True
sma_ratio_10,0.005539061609913345,0.0021435057,0.037805837,True
ema_ratio_10,0.0,0.0016485989,0.03164759,True
wma_ratio_10,0.005539061609913345,0.0013019125,0.028292477,True
sma_ratio_20,0.012887617030687675,0.0048037334,0.05644493,True
ema_ratio_20,0.0,0.0037155375,0.04734848,True
wma_ratio_20,0.012887617030687675,0.0029129568,0.04274675,True
sma_ratio_60,0.03690697191263496,0.014338744,0.1014685,True
ema_ratio_60,0.0,0.012182925,0.08494768,True
wma_ratio_60,0.03690697191263496,0.008698382,0.077081844,True
sma_ratio_120,0.07383740022652181,0.030580709,0.15002063,True
ema_ratio_120,0.0,0.025290158,0.12253639,True
wma_ratio_120,0.07383740022652181,0.0189697,0.11225823,True
sma_cross_5_20,0.012887617030687675,0.003546152,0.043684453,True
sma_cross_10_60,0.03690697191263496,0.01164906,0.08340247,True
sma_cross_20_120,0.07383740022652181,0.024330072,0.11987822,True
macd_diff_12_26_9,0.0,0.0012851155,0.024138365,True
macd_signal_12_26_9,0.0,0.001353775,0.022472758,True
macd_hist_12_26_9,0.0,-6.86597e-05,0.007628638,True
macd_diff_5_35_5,0.0,0.002710952,0.0506369,True
macd_signal_5_35_5,0.0,0.0027919144,0.048646282,True
macd_hist_5_35_5,0.0,-8.096207e-05,0.010902745,True
adx_14,0.0021948489742850824,26.810696,12.768437,True
pdi_14,0.00043896979485701646,25.052633,9.263727,True
mdi_14,0.00043896979485701646,21.777056,9.071346,True
adx_28,0.0021948489742850824,21.199547,12.588612,True
pdi_28,0.00043896979485701646,25.019728,7.2593274,True
mdi_28,0.00043896979485701646,21.619118,7.209914,True
aroon_up_14,0.009211663863068232,47.33408,36.14524,True
aroon_dn_14,0.009211663863068232,43.560562,35.954346,True
aroon_osc_14,0.009211663863068232,3.7735193,62.04384,True
aroon_up_25,0.016580324770629904,48.05006,35.419563,True
aroon_dn_25,0.016580324770629904,42.6327,35.196117,True
aroon_osc_25,0.016580324770629904,5.4173603,60.900787,True
linreg_slope_5,0.0036558476808320993,0.00016314056,0.011271499,True
linreg_slope_10,0.005539061609913345,0.00015366837,0.007814726,True
linreg_slope_20,0.012887617030687675,0.00019436752,0.005438509,True
linreg_slope_60,0.03690697191263496,0.00020375127,0.0029365537,True
linreg_slope_120,0.07383740022652181,0.00021324075,0.00202168,True
trix_15,0.001809493810860984,0.04294577,0.3475542,True
vortex_pos_14,0.011383056436101413,0.9628998,0.16316217,True
vortex_neg_14,0.011383056436101413,0.94293326,0.17178345,True
psar_dist,0.001809493810860984,-0.004454508,0.075939745,True
roc_5,0.003672602253154886,0.0031136996,0.05066082,True
roc_10,0.007348555420774329,0.0067955214,0.07386291,True
roc_20,0.012904371603010462,0.013830087,0.10732602,True
roc_60,0.0369270773994223,0.04138125,0.20405972,True
roc_120,0.0738541547988446,0.08852136,0.33742088,True
rsi_6,0.002315481895009148,50.806602,18.421902,True
rsi_14,0.002315481895009148,50.937508,12.781032,True
rsi_28,0.002315481895009148,50.883873,9.979171,True
stoch_k_14_3,0.011490285698967248,48.7899,26.983326,True
stoch_d_14_3,0.013370148713583937,48.81164,26.180025,True
stoch_k_60_3,0.04003672602253155,49.5446,27.631113,True
stoch_d_60_3,0.040107095226287255,49.55833,27.406572,True
stochrsi_14,0.010799997319268428,0.490028,0.35760164,True
willr_14,0.011389758265030527,-51.142857,29.022837,True
willr_28,0.018450135041852923,-50.860104,28.660843,True
cci_14,0.011389758265030527,6.346447,110.86829,True
cci_20,0.014891463880492986,7.953275,114.976616,True
cci_60,0.03819372306702499,13.715474,121.50166,True
cmo_14,0.011406512837353314,2.2233284,34.77033,True
ppo_12_26,0.0,0.23884119,2.4397936,True
tsi_25_13,0.002191498059820525,1.9459996,22.74116,True
uo_7_14_28,0.019251003598882134,47.70529,12.324827,True
ao_5_34,0.020309892569682266,0.0027632806,0.06262012,True
ret_lag_1,0.001809493810860984,0.0006595154,0.021700153,True
ret_lag_2,0.0018262483831837709,0.0004524459,0.021704419,True
ret_lag_3,0.0018463538699711151,0.0007629283,0.021556213,True
ret_lag_4,0.0036558476808320993,0.0006283543,0.021692082,True
ret_lag_5,0.003672602253154886,0.00045985638,0.021711702,True
ret_lag_6,0.0036927077399422303,0.00075811375,0.021561103,True
ret_lag_7,0.005502201550803214,0.0006016696,0.021687483,True
ret_lag_8,0.005518956123126001,0.00052499614,0.02165216,True
ret_lag_9,0.005539061609913345,0.000743741,0.021564037,True
ret_lag_10,0.007348555420774329,0.00066545117,0.021632792,True
up_ratio_5,0.0036558476808320993,0.43959108,0.22125654,True
up_ratio_10,0.005539061609913345,0.43985713,0.160267,True
up_ratio_20,0.012887617030687675,0.44026256,0.119011454,True
up_ratio_60,0.03690697191263496,0.4397115,0.07882433,True
up_ratio_120,0.07383740022652181,0.439498,0.06451666,True
mom_accel_5_20,0.012904371603010462,-0.010603779,0.09234318,True
atr_ratio_14,0.0,0.025228195,0.014747498,True
atr_ratio_28,0.0,0.02523936,0.014558696,True
ret_std_5,0.003672602253154886,0.01631614,0.013990045,True
parkinson_5,0.0036558476808320993,0.015146373,0.010014355,True
gk_vol_5,0.0036558476808320993,0.01486199,0.009665751,True
ret_std_10,0.007348555420774329,0.01725135,0.012853269,True
parkinson_10,0.005539061609913345,0.015474851,0.009430952,True
gk_vol_10,0.005539061609913345,0.015160799,0.009125028,True
ret_std_20,0.012904371603010462,0.017918283,0.012011807,True
parkinson_20,0.012887617030687675,0.015758112,0.008931133,True
gk_vol_20,0.012887617030687675,0.015428657,0.00866719,True
ret_std_60,0.0369270773994223,0.018701112,0.010856046,True
parkinson_60,0.03690697191263496,0.016144555,0.008219262,True
gk_vol_60,0.03690697191263496,0.01579558,0.007996293,True
ret_std_120,0.0738541547988446,0.019078964,0.010180631,True
parkinson_120,0.07383740022652181,0.016345667,0.0077837612,True
gk_vol_120,0.07383740022652181,0.015993565,0.007583035,True
bb_pctb_20,0.014928323939603118,0.5214187,0.3259498,True
bb_bw_20,0.012887617030687675,0.12350675,0.11104588,True
bb_pctb_60,0.038207126724883224,0.53971845,0.34807327,True
bb_bw_60,0.03690697191263496,0.21657485,0.17998756,True
keltner_pos_20_10,0.00043896979485701646,-5.414976e+19,inf,False
donchian_pos_5,0.007221220671121149,0.4816361,0.30015656,True
donchian_pos_10,0.007911509050819969,0.48566183,0.29242027,True
donchian_pos_20,0.014891463880492986,0.49031004,0.28880587,True
donchian_pos_60,0.03819372306702499,0.49543995,0.28193083,True
donchian_pos_120,0.07469858524391307,0.5076336,0.2794572,True
dist_high_20,0.012887617030687675,-0.06001797,0.056913428,True
dist_low_20,0.012887617030687675,0.07246238,0.09302245,True
dist_high_60,0.03690697191263496,-0.10044532,0.084549464,True
dist_low_60,0.03690697191263496,0.14668557,0.19611172,True
dist_high_120,0.07383740022652181,-0.13394833,0.106488064,True
dist_low_120,0.07383740022652181,0.24135518,0.34451306,True
mdd_20,0.012887617030687675,-0.067769,0.058094013,True
mdd_60,0.03690697191263496,-0.13121222,0.09196419,True
vol_ratio_5_60,0.038207126724883224,0.8817883,0.5053949,True
ulcer_14,0.01659707934295269,4.2760344,3.9331594,True
vol_sma_ratio_5,0.00699000757306669,0.011475937,0.57189083,True
vol_sma_ratio_10,0.007894754478497181,0.027116917,0.7662663,True
vol_sma_ratio_20,0.014921622110674004,0.043446638,0.9784391,True
