,nan_ratio,mean,std,kept
sma_ratio_5,0.0035573264295333086,0.000901647,0.024174126,True
ema_ratio_5,0.0,0.000662054,0.019702291,True
wma_ratio_5,0.0035573264295333086,0.00051159144,0.017612565,True
sma_ratio_10,0.005389789723206745,0.0021918544,0.037761595,True
ema_ratio_10,0.0,0.0016549071,0.03163505,True
wma_ratio_10,0.005389789723206745,0.001315049,0.028276857,True
sma_ratio_20,0.012540309301544551,0.0048028566,0.05641848,True
ema_ratio_20,0.0,0.0036236437,0.047341213,True
wma_ratio_20,0.012540309301544551,0.0029399106,0.042709846,True
sma_ratio_60,0.035912367822987956,0.013343609,0.101216316,True
ema_ratio_60,0.0,0.011419501,0.084783405,True
wma_ratio_60,0.035912367822987956,0.008208801,0.077031404,True
sma_ratio_120,0.07184755992187576,0.028785964,0.14931406,True
ema_ratio_120,0.0,0.023649955,0.12229768,True
wma_ratio_120,0.07184755992187576,0.017764697,0.11181929,True
sma_cross_5_20,0.012540309301544551,0.0035582997,0.043650143,True
sma_cross_10_60,0.035912367822987956,0.010608163,0.08328952,True
sma_cross_20_120,0.07184755992187576,0.022572333,0.119497,True
macd_diff_12_26_9,0.0,0.0010973054,0.02417839,True
macd_signal_12_26_9,0.0,0.0010999093,0.022528123,True
macd_hist_12_26_9,0.0,-2.6036528e-06,0.007628976,True
macd_diff_5_35_5,0.0,0.002373235,0.05067057,True
macd_signal_5_35_5,0.0,0.0023828598,0.048704702,True
macd_hist_5_35_5,0.0,-9.624012e-06,0.010889716,True
adx_14,0.002135700102057119,26.80226,12.694905,True
pdi_14,0.00042714002041142386,25.00051,9.252668,True
mdi_14,0.00042714002041142386,21.82991,9.064767,True
adx_28,0.002135700102057119,21.109934,12.472947,True
pdi_28,0.00042714002041142386,24.955482,7.236759,True
mdi_28,0.00042714002041142386,21.703728,7.1981993,True
aroon_up_14,0.00896341920695423,47.40841,36.20207,True
aroon_dn_14,0.00896341920695423,43.46038,35.917843,True
aroon_osc_14,0.00896341920695423,3.9480271,62.08503,True
aroon_up_25,0.016133502450349047,47.94545,35.525642,True
aroon_dn_25,0.016133502450349047,42.691906,35.185337,True
aroon_osc_25,0.016133502450349047,5.2535434,61.079025,True
linreg_slope_5,0.0035573264295333086,0.0001794319,0.011272235,True
linreg_slope_10,0.005389789723206745,0.00017862592,0.0077971565,True
linreg_slope_20,0.012540309301544551,0.00018500222,0.0054420964,True
linreg_slope_60,0.035912367822987956,0.00015545374,0.002941425,True
linreg_slope_120,0.07184755992187576,0.0001869906,0.0020249686,True
trix_15,0.0017607298551310603,0.039126992,0.3477738,True
vortex_pos_14,0.011174113358396562,0.96291935,0.16343383,True
vortex_neg_14,0.011174113358396562,0.94240135,0.17163654,True
psar_dist,0.0017607298551310603,-0.004238119,0.07584012,True
roc_5,0.0035736294837474853,0.0031270487,0.0505775,True
roc_10,0.007150519578337806,0.006905244,0.073695816,True
roc_20,0.012556612355758728,0.013523004,0.10729188,True
roc_60,0.03593193148804497,0.03907313,0.20267595,True
roc_120,0.07186386297608995,0.084348574,0.33591318,True
rsi_6,0.00225308209239919,50.844757,18.419106,True
rsi_14,0.00225308209239919,50.897514,12.769038,True
rsi_28,0.00225308209239919,50.807682,9.939904,True
stoch_k_14_3,0.011278452905367291,48.93379,26.999062,True
stoch_d_14_3,0.013107655588197892,48.944904,26.196386,True
stoch_k_60_3,0.0390295117887385,49.273224,27.638641,True
stoch_d_60_3,0.03909798461643804,49.271126,27.414507,True
stochrsi_14,0.010557857909100691,0.49312362,0.3576414,True
willr_14,0.011180634580082232,-51.03963,29.03355,True
willr_28,0.018050741625936204,-50.8431,28.717447,True
cci_14,0.011180634580082232,6.7463775,110.79549,True
cci_20,0.014587972910845117,8.27682,114.856514,True
cci_60,0.03723617582517909,12.59873,121.2626,True
cmo_14,0.01119693763429641,2.254941,34.76125,True
ppo_12_26,0.0,0.22018263,2.4417887,True
tsi_25_13,0.002132439491214284,1.7807412,22.714373,True
uo_7_14_28,0.018839809449902344,47.754124,12.310721,True
ao_5_34,0.019762562318424735,0.002477886,0.062758096,True
ret_lag_1,0.0017607298551310603,0.0006088593,0.021700988,True
ret_lag_2,0.0017770329093452367,0.00041403453,0.021655468,True
ret_lag_3,0.0017965965744022486,0.00089425774,0.021598397,True
ret_lag_4,0.0035573264295333086,0.00062480714,0.021702513,True
ret_lag_5,0.0035736294837474853,0.00043890203,0.02165313,True
ret_lag_6,0.003593193148804497,0.00088673993,0.021600889,True
ret_lag_7,0.005353923003935558,0.0006201133,0.021708226,True
ret_lag_8,0.005370226058149734,0.0004255169,0.021655915,True
ret_lag_9,0.005389789723206745,0.0008659508,0.021600956,True
ret_lag_10,0.007150519578337806,0.0006075075,0.021711525,True
up_ratio_5,0.0035573264295333086,0.44044507,0.22122568,True
up_ratio_10,0.005389789723206745,0.44115922,0.16032633,True
up_ratio_20,0.012540309301544551,0.44099343,0.11908113,True
up_ratio_60,0.035912367822987956,0.43987826,0.078453854,True
up_ratio_120,0.07184755992187576,0.43992627,0.064220935,True
mom_accel_5_20,0.012556612355758728,-0.010286301,0.09223406,True
atr_ratio_14,0.0,0.025310278,0.014704708,True
atr_ratio_28,0.0,0.0253325,0.014516973,True
ret_std_5,0.0035736294837474853,0.016343225,0.013951593,True
parkinson_5,0.0035573264295333086,0.0151736215,0.009983269,True
gk_vol_5,0.0035573264295333086,0.014887777,0.009634198,True
ret_std_10,0.007150519578337806,0.017301375,0.012820399,True
parkinson_10,0.005389789723206745,0.015509572,0.009401382,True
gk_vol_10,0.005389789723206745,0.015191164,0.009093507,True
ret_std_20,0.012556612355758728,0.017974583,0.011975657,True
parkinson_20,0.012540309301544551,0.0158014,0.008904112,True
gk_vol_20,0.012540309301544551,0.015465638,0.008636717,True
ret_std_60,0.03593193148804497,0.01874484,0.010813343,True
parkinson_60,0.035912367822987956,0.016174998,0.008191589,True
gk_vol_60,0.035912367822987956,0.01582022,0.007965897,True
ret_std_120,0.07186386297608995,0.019133186,0.010153766,True
parkinson_120,0.07184755992187576,0.016384788,0.0077683683,True
gk_vol_120,0.07184755992187576,0.016025038,0.0075632976,True
bb_pctb_20,0.014623839630116306,0.5221283,0.32577214,True
bb_bw_20,0.012540309301544551,0.12389787,0.11061601,True
bb_pctb_60,0.03724921826855043,0.5361656,0.3479207,True
bb_bw_60,0.035912367822987956,0.21717766,0.17889953,True
keltner_pos_20_10,0.00042714002041142386,-6.0369013e+21,inf,False
donchian_pos_5,0.007183125686766159,0.48221847,0.30023608,True
donchian_pos_10,0.007802641746904865,0.48671138,0.292385,True
donchian_pos_20,0.014587972910845117,0.49103004,0.28916016,True
donchian_pos_60,0.03723617582517909,0.49264744,0.28208628,True
donchian_pos_120,0.07273444607112696,0.50380635,0.27961382,True
dist_high_20,0.012540309301544551,-0.060151227,0.056985207,True
dist_low_20,0.012540309301544551,0.07263457,0.092679664,True
