,nan_ratio,mean,std,kept
sma_ratio_5,0.0037414492389092756,0.00085858395,0.028434535,True
ema_ratio_5,0.0,0.00054673513,0.023006799,True
wma_ratio_5,0.0037414492389092756,0.00045553668,0.0206058,True
sma_ratio_10,0.0058075556613561745,0.0021663597,0.04435797,True
ema_ratio_10,0.0,0.0015067325,0.037002783,True
wma_ratio_10,0.0058075556613561745,0.0012469266,0.033108376,True
sma_ratio_20,0.013398250995998041,0.0050114384,0.06634554,True
ema_ratio_20,0.0,0.0035854077,0.055457447,True
wma_ratio_20,0.013398250995998041,0.002927087,0.05003283,True
sma_ratio_60,0.03842957945751232,0.015322073,0.12000602,True
ema_ratio_60,0.0,0.012240411,0.09955804,True
wma_ratio_60,0.03842957945751232,0.009035447,0.090690486,True
sma_ratio_120,0.0767872943438091,0.032975126,0.17561656,True
ema_ratio_120,0.0,0.025835112,0.14275098,True
wma_ratio_120,0.0767872943438091,0.020132836,0.13156642,True
sma_cross_5_20,0.013398250995998041,0.0036855016,0.050943036,True
sma_cross_10_60,0.03842957945751232,0.01235996,0.09787086,True
sma_cross_20_120,0.0767872943438091,0.026034746,0.13914326,True
macd_diff_12_26_9,0.0,0.00073504826,0.028223317,True
macd_signal_12_26_9,0.0,0.0008331051,0.02625895,True
macd_hist_12_26_9,0.0,-9.8057004e-05,0.008806143,True
macd_diff_5_35_5,0.0,0.0015215271,0.05918215,True
macd_signal_5_35_5,0.0,0.0016402501,0.056862935,True
macd_hist_5_35_5,0.0,-0.00011872307,0.012579012,True
adx_14,0.0025467007424508515,26.910149,12.740573,True
pdi_14,0.00022008524934760443,25.528738,9.389633,True
mdi_14,0.00022008524934760443,22.28507,9.041448,True
adx_28,0.0025467007424508515,21.197916,12.729138,True
pdi_28,0.00022008524934760443,25.457294,7.33767,True
mdi_28,0.00022008524934760443,22.072699,7.103278,True
aroon_up_14,0.00960739486437808,47.09552,36.25171,True
aroon_dn_14,0.00960739486437808,43.678833,36.066635,True
aroon_osc_14,0.00960739486437808,3.4166844,62.23077,True
aroon_up_25,0.017251988627431606,47.710457,35.528717,True
aroon_dn_25,0.017251988627431606,43.023674,35.40928,True
aroon_osc_25,0.017251988627431606,4.6867824,61.26929,True
linreg_slope_5,0.0037414492389092756,5.3374475e-05,0.013073369,True
linreg_slope_10,0.0058075556613561745,6.581033e-05,0.009041927,True
linreg_slope_20,0.013398250995998041,0.00011421395,0.0063029984,True
linreg_slope_60,0.03842957945751232,0.00013790082,0.0034207765,True
linreg_slope_120,0.0767872943438091,0.00015880527,0.0023400465,True
trix_15,0.0018055973517905506,0.044060722,0.40929404,True
vortex_pos_14,0.014889440848720585,12396647.0,5805628400.0,True
vortex_neg_14,0.014889440848720585,69631336.0,27425794000.0,True
psar_dist,0.0018055973517905506,-0.006665633,0.08799067,True
roc_5,0.003808822274423848,0.0035115494,0.06611675,True
roc_10,0.007608661477445753,0.007635393,0.09778753,True
roc_20,0.013465624031512614,0.015987696,0.14038958,True
roc_60,0.03849246095732592,0.04853166,0.27170023,True
roc_120,0.07685017584362269,0.10223666,0.41968444,True
rsi_6,0.002636531456470282,50.59251,18.548141,True
rsi_14,0.002636531456470282,50.734943,12.937197,True
rsi_28,0.002636531456470282,50.723194,10.117396,True
stoch_k_14_3,0.015585628882371172,47.846718,26.973352,True
stoch_d_14_3,0.0175529215193967,47.86313,26.175417,True
stoch_k_60_3,0.04466832254616176,48.55574,27.705187,True
stoch_d_60_3,0.04483900090279867,48.57048,27.482433,True
stochrsi_14,0.012531384605710539,0.48702183,0.3582971,True
willr_14,0.01537452670442551,-52.11481,28.932957,True
willr_28,0.02264183146859743,-51.767204,28.722439,True
cci_14,0.01537452670442551,5.3099627,111.44094,True
cci_20,0.018967755265202727,6.446873,115.39255,True
cci_60,0.042790860623155666,10.829284,121.22814,True
cmo_14,0.015437408204239111,1.7105435,35.131058,True
ppo_12_26,0.0,0.2233418,2.8484952,True
tsi_25_13,0.0025152599925440506,1.5719625,23.098608,True
uo_7_14_28,0.02315386653850818,45.86439,11.896809,True
ao_5_34,0.021231489258492373,0.0016596026,0.07293155,True
ret_lag_1,0.0018055973517905506,0.00056248595,0.027915869,True
ret_lag_2,0.0018729703873051236,0.00064340094,0.0247466,True
ret_lag_3,0.0019358518871187248,0.00095326826,0.037420984,True
ret_lag_4,0.0037414492389092756,0.0005181912,0.027909143,True
ret_lag_5,0.003808822274423848,0.00064973644,0.024757229,True
ret_lag_6,0.0038717037742374495,0.0009405393,0.0374466,True
ret_lag_7,0.005677301126028001,0.0004881576,0.02791151,True
ret_lag_8,0.005744674161542573,0.00073512865,0.024677582,True
ret_lag_9,0.0058075556613561745,0.00091911206,0.037469454,True
ret_lag_10,0.007608661477445753,0.00057350553,0.027851144,True
up_ratio_5,0.0037414492389092756,0.44839686,0.22223032,True
up_ratio_10,0.0058075556613561745,0.4483221,0.1616208,True
up_ratio_20,0.013398250995998041,0.44918486,0.12033,True
up_ratio_60,0.03842957945751232,0.44887727,0.080257535,True
up_ratio_120,0.0767872943438091,0.4488546,0.066265985,True
mom_accel_5_20,0.013465624031512614,-0.012322199,0.12174397,True
atr_ratio_14,0.0,0.030246014,0.0171278,True
atr_ratio_28,0.0,0.030426217,0.018111909,True
ret_std_5,0.003808822274423848,0.019586688,0.021018459,True
parkinson_5,0.0037414492389092756,0.018027809,0.010902144,True
gk_vol_5,0.0037414492389092756,0.017702179,0.010585641,True
ret_std_10,0.007608661477445753,0.020747075,0.021853535,True
parkinson_10,0.0058075556613561745,0.01840409,0.010149938,True
gk_vol_10,0.0058075556613561745,0.018039735,0.009887083,True
ret_std_20,0.013465624031512614,0.021552254,0.020954877,True
parkinson_20,0.013398250995998041,0.01872077,0.009500715,True
gk_vol_20,0.013398250995998041,0.018340299,0.009299743,True
ret_std_60,0.03849246095732592,0.02253855,0.02074448,True
parkinson_60,0.03842957945751232,0.019138856,0.008613454,True
gk_vol_60,0.03842957945751232,0.018735625,0.008467896,True
ret_std_120,0.07685017584362269,0.023006842,0.02010927,True
parkinson_120,0.0767872943438091,0.019357612,0.00809434,True
gk_vol_120,0.0767872943438091,0.018950868,0.007977071,True
bb_pctb_20,0.018976738336604668,0.51664186,0.3275932,True
bb_bw_20,0.013398250995998041,0.14903368,0.123339556,True
bb_pctb_60,0.04281331830166052,0.53069544,0.34909114,True
bb_bw_60,0.03842957945751232,0.26169658,0.19804691,True
keltner_pos_20_10,0.00036830592747966455,inf,inf,False
donchian_pos_5,0.010959347110370507,0.46940473,0.2973963,True
donchian_pos_10,0.01185765425056481,0.47568846,0.29074717,True
donchian_pos_20,0.018967755265202727,0.4809093,0.2889326,True
donchian_pos_60,0.042790860623155666,0.4854309,0.2824409,True
donchian_pos_120,0.08041645519019408,0.49610576,0.2782637,True
dist_high_20,0.013398250995998041,-0.07247004,0.062822655,True
dist_low_20,0.013398250995998041,0.08754601,0.124382295,True
dist_high_60,0.03842957945751232,-0.12052787,0.09249364,True
dist_low_60,0.03842957945751232,0.179453,0.25686803,True
dist_high_120,0.0767872943438091,-0.15987302,0.116374165,True
dist_low_120,0.0767872943438091,0.29458645,0.42315727,True
mdd_20,0.013398250995998041,-0.081591435,0.063649476,True
mdd_60,0.03842957945751232,-0.15724774,0.09841084,True
vol_ratio_5_60,0.042849250587268295,0.8815414,0.49689695,True
ulcer_14,0.01731936166294618,5.1632824,4.3437653,True
vol_sma_ratio_5,0.01099977093167925,0.010666842,0.5864234,True
vol_sma_ratio_10,0.012028332607201729,0.028576002,0.796734,True
vol_sma_ratio_20,0.019228264335859075,0.045546934,1.0206091,True
vol_sma_ratio_60,0.043069335836615895,0.08141384,1.4999187,True
vol_sma_ratio_120,0.08074882883206597,0.11352417,1.7785182,True
vol_z_20,0.019228264335859075,-0.0059058657,1.0703146,True
vol_z_60,0.043069335836615895,0.019647144,1.130161,True
