feature,family,g95,g90,g80,g70,g60,g50
sma_ratio_5,trend,79,75,63,58,52,43
ema_ratio_5,trend,78,75,63,58,52,43
wma_ratio_5,trend,79,75,63,58,52,43
sma_ratio_10,trend,111,100,73,61,54,43
ema_ratio_10,trend,111,100,73,61,54,43
wma_ratio_10,trend,78,75,63,58,52,43
sma_ratio_20,trend,108,98,73,61,54,43
ema_ratio_20,trend,108,98,73,61,54,43
wma_ratio_20,trend,111,100,73,61,54,43
sma_ratio_60,trend,139,122,88,73,59,44
ema_ratio_60,trend,139,122,88,73,59,44
wma_ratio_60,trend,140,122,88,73,59,44
sma_ratio_120,trend,143,125,89,73,59,44
ema_ratio_120,trend,143,125,89,73,59,44
wma_ratio_120,trend,139,122,88,73,59,44
sma_cross_5_20,trend,91,87,70,61,54,43
sma_cross_10_60,trend,134,120,88,73,59,44
sma_cross_20_120,trend,144,126,89,73,59,44
macd_diff_12_26_9,trend,135,120,88,73,59,44
macd_signal_12_26_9,trend,134,120,88,73,59,44
macd_hist_12_26_9,trend,97,91,71,61,54,43
macd_diff_5_35_5,trend,135,120,88,73,59,44
macd_signal_5_35_5,trend,135,120,88,73,59,44
macd_hist_5_35_5,trend,83,79,64,58,52,43
adx_14,trend,151,133,96,79,65,49
pdi_14,trend,130,118,86,72,59,44
mdi_14,trend,132,119,87,73,59,44
adx_28,trend,152,134,97,79,65,49
pdi_28,trend,131,118,86,72,59,44
mdi_28,trend,133,119,87,73,59,44
aroon_up_14,trend,89,85,69,61,54,43
aroon_dn_14,trend,115,103,76,64,55,43
aroon_osc_14,trend,90,86,69,61,54,43
aroon_up_25,trend,121,109,81,68,58,44
aroon_dn_25,trend,123,111,82,69,58,44
aroon_osc_25,trend,122,110,81,68,58,44
linreg_slope_5,trend,81,77,63,58,52,43
linreg_slope_10,trend,98,92,71,61,54,43
linreg_slope_20,trend,92,87,70,61,54,43
linreg_slope_60,trend,142,124,89,73,59,44
linreg_slope_120,trend,66,64,54,52,47,40
trix_15,trend,134,120,88,73,59,44
vortex_pos_14,trend,93,88,70,61,54,43
vortex_neg_14,trend,95,89,70,61,54,43
psar_dist,trend,85,81,65,58,52,43
roc_5,momentum,82,78,63,58,52,43
roc_10,momentum,99,93,72,61,54,43
roc_20,momentum,124,112,83,70,59,44
roc_60,momentum,141,123,89,73,59,44
roc_120,momentum,65,63,54,52,47,40
rsi_6,momentum,112,100,73,61,54,43
rsi_14,momentum,107,98,73,61,54,43
rsi_28,momentum,138,122,88,73,59,44
stoch_k_14_3,momentum,102,95,73,61,54,43
stoch_d_14_3,momentum,102,95,73,61,54,43
stoch_k_60_3,momentum,137,121,88,73,59,44
stoch_d_60_3,momentum,137,121,88,73,59,44
stochrsi_14,momentum,84,80,64,58,52,43
willr_14,momentum,109,99,73,61,54,43
willr_28,momentum,103,96,73,61,54,43
cci_14,momentum,106,97,73,61,54,43
cci_20,momentum,105,97,73,61,54,43
