group,size,representative,family,rep_mean_corr,rep_ic_t,best_by_t,best_ic_t,n_sig,others
149,11,parkinson_10,volatility,0.9497891747744622,0.5558628731865167,parkinson_20,1.533874896479408,0,atr_ratio_14、atr_ratio_28、parkinson_5、gk_vol_5、gk_vol_10、ret_std_20、parkinson_20、gk_vol_20、range_ratio_ma5、range_ratio_ma20
120,9,ppo_12_26,momentum,0.9599481040110855,0.5411610070049812,sma_cross_10_60,1.9668019184406376,0,sma_cross_10_60、macd_diff_12_26_9、macd_signal_12_26_9、macd_diff_5_35_5、macd_signal_5_35_5、trix_15、tsi_25_13、ao_5_34
122,7,ema_ratio_60,trend,0.9473418303744662,2.127397470842401,cci_60,3.1030075379774007,5,sma_ratio_60、wma_ratio_60、wma_ratio_120、rsi_28、cci_60、bb_pctb_60
148,7,gk_vol_60,volatility,0.9592168173769483,-0.6817665922009936,ret_std_120,1.479597102393902,0,ret_std_60、parkinson_60、ret_std_120、parkinson_120、gk_vol_120、cs_idio_std_60
75,5,ema_ratio_5,trend,0.9577424999891684,2.928227702257628,wma_ratio_5,3.726237174129477,4,sma_ratio_5、wma_ratio_5、wma_ratio_10、vwap_ratio_5
98,5,ema_ratio_20,trend,0.9568261964276756,1.515900429838234,vwap_ratio_20,2.781044291087819,2,sma_ratio_20、rsi_14、keltner_pos_20_10、vwap_ratio_20
35,4,ev_vol_x_avg20,event,0.9763558498795035,1.8291688353566196,turnover_z_20,2.2050255079001744,1,vol_sma_ratio_20、vol_z_20、turnover_z_20
100,4,ema_ratio_10,trend,0.9651722368937564,1.6222939470602968,wma_ratio_20,2.1273805999404125,1,sma_ratio_10、wma_ratio_20、rsi_6
33,4,turnover_z_60,volume,0.9554346477110363,0.0472977441026994,vol_sma_ratio_120,1.5184435884888363,0,vol_sma_ratio_60、vol_sma_ratio_120、vol_z_60
48,3,ret_z_20,stats,0.976432297726707,3.684212790153095,ret_lag_1,4.800851695368875,3,ret_lag_1、ret_z_60
121,3,stoch_k_60_3,momentum,0.9805492499670658,2.4882643993407885,stoch_d_60_3,3.2911076469479914,2,stoch_d_60_3、donchian_pos_60
97,3,bb_pctb_20,volatility,0.9608576166346752,0.4220675249175432,cci_14,2.524059478968198,1,cci_14、cci_20
72,3,ad_roc_20,volume,0.9548302150653774,-0.3775221228336472,close_pos_ma20,0.3112143870022786,0,cmf_20、close_pos_ma20
115,3,cs_rank_excess_roc_20,cross_section,0.9862728000151018,-0.9373807847234148,cs_excess_roc_20,-0.4231071706160211,0,cs_rank_roc_20、cs_excess_roc_20
125,2,ema_ratio_120,trend,0.9762752958053018,2.8908040298829345,ema_ratio_120,2.8908040298829345,2,sma_ratio_120
63,2,cumret_ex1_120,stats,0.9946365243075566,2.801445420689809,cumret_ex1_120,2.801445420689809,2,roc_120
99,2,donchian_pos_10,volatility,0.939366901869789,2.6725665363319253,donchian_pos_10,2.6725665363319253,1,willr_14
123,2,cumret_ex1_60,stats,0.9896288192920428,2.4126012012543208,cumret_ex1_60,2.4126012012543208,1,roc_60
112,2,cumret_ex1_20,stats,0.9690748126970337,1.8028995620704824,cumret_ex1_20,1.8028995620704824,0,roc_20
74,2,cs_excess_roc_5,cross_section,0.972430476297552,1.5728681645972082,cs_excess_roc_5,1.5728681645972082,0,cs_rank_roc_5
34,2,cs_rank_turnover_z_20,cross_section,0.9796097586550618,1.3177692261261549,cs_rank_turnover_z_20,1.3177692261261549,0,cs_rank_vol_z_20
62,2,cs_excess_roc_120,cross_section,0.9632469155471095,1.1374007245774986,cs_rank_roc_120,1.1601414700371997,0,cs_rank_roc_120
32,2,ev_amt_pctile250,event,0.962026647090855,0.7648818237112499,ev_vol_pctile250,1.5971877307775773,0,ev_vol_pctile250
96,2,donchian_pos_20,volatility,0.9376575033145063,0.7252453880559239,willr_28,1.962665274459908,0,willr_28
95,2,stoch_d_14_3,momentum,0.9570736708968735,0.6855398690859261,stoch_k_14_3,2.777435107151746,1,stoch_k_14_3
139,2,ev_limit_up_cnt20,event,0.9981167242888149,0.6348743626180269,ev_limit_up_cnt20,0.6348743626180269,0,ev_days_since_limit_up
87,2,linreg_slope_20,trend,0.9246566443069024,0.51637225272818,sma_cross_5_20,0.9578128152209472,0,sma_cross_5_20
93,2,pvt_roc_10,volume,0.92123869586402,0.4040141661930244,roc_10,2.7177132822018306,1,roc_10
117,2,cs_excess_roc_60,cross_section,0.9676996265980926,0.3370714450594802,cs_rank_roc_60,0.4799737196906001,0,cs_rank_roc_60
140,2,ulcer_14,volatility,0.934760846198075,0.254501954494692,mdd_20,0.6826504557759229,0,mdd_20
138,2,ev_limit_down_cnt20,event,0.999505903737137,0.0492196987129778,ev_days_since_limit_down,0.3105515151787439,0,ev_days_since_limit_down
118,2,pdi_14,trend,0.9253566972402703,-0.1842246611339366,pdi_14,-0.1842246611339366,0,pdi_28
88,2,cmo_14,momentum,0.9316666064227985,-0.2503851482840341,cmo_14,-0.2503851482840341,0,vortex_pos_14
119,2,mdi_14,trend,0.9300940354487031,-0.7294501993830962,mdi_28,1.2479100838085877,0,mdi_28
14,2,ev_limit_up,event,0.9576680608053885,-0.9948438263152052,ev_limit_up_lock,0.4299152759907103,0,ev_limit_up_lock
147,2,cs_rank_ret_std_20,cross_section,0.9115687170226936,-0.9983419647182008,cs_rank_ret_std_60,0.7160043226620181,0,cs_rank_ret_std_60
7,2,ev_limit_down,event,0.9241206519627789,,ev_limit_down,,0,ev_limit_down_lock
47,1,close_pos,candle,,3.718205662583914,close_pos,3.718205662583914,1,
46,1,body_range,candle,,3.6586170308964734,body_range,3.6586170308964734,1,
141,1,dist_high_20,volatility,,2.9888206272255653,dist_high_20,2.9888206272255653,1,
65,1,up_ratio_60,momentum,,2.9851962142190747,up_ratio_60,2.9851962142190747,1,
155,1,hurst_120,stats,,2.876163302707744,hurst_120,2.876163302707744,1,
76,1,donchian_pos_5,volatility,,2.841961154185852,donchian_pos_5,2.841961154185852,1,
144,1,mdd_60,volatility,,2.789599530531387,mdd_60,2.789599530531387,1,
49,1,ev_streak,event,,2.754865381147283,ev_streak,2.754865381147283,1,
66,1,up_ratio_120,momentum,,2.65514607105865,up_ratio_120,2.65514607105865,1,
134,1,adx_28,trend,,2.6284411418444718,adx_28,2.6284411418444718,1,
78,1,roc_5,momentum,,2.551140968852325,roc_5,2.551140968852325,1,
126,1,sma_cross_20_120,trend,,2.3845588643943545,sma_cross_20_120,2.3845588643943545,1,
28,1,ev_spike2_cnt20,event,,2.349883167273558,ev_spike2_cnt20,2.349883167273558,1,
16,1,ev_spike_up,event,,2.3472363943772567,ev_spike_up,2.3472363943772567,1,
41,1,ret_lag_2,momentum,,2.325867001132823,ret_lag_2,2.325867001132823,1,
124,1,linreg_slope_60,trend,,2.2280800254649136,linreg_slope_60,2.2280800254649136,1,
52,1,ev_new_high_20,event,,2.225172801558728,ev_new_high_20,2.225172801558728,1,
19,1,ev_spike_long_red,event,,2.127225238955956,ev_spike_long_red,2.127225238955956,1,
13,1,upper_shadow,candle,,2.126580955464006,upper_shadow,2.126580955464006,1,
92,1,linreg_slope_10,trend,,2.1180627084213643,linreg_slope_10,2.1180627084213643,1,
57,1,skew_20,stats,,2.0630303616289987,skew_20,2.0630303616289987,1,
130,1,ret_lag_5,momentum,,2.0378157329170743,ret_lag_5,2.0378157329170743,1,
137,1,gap,candle,,1.973213594928405,gap,1.973213594928405,0,
156,1,ret_lag_6,momentum,,1.9557729639982055,ret_lag_6,1.9557729639982055,0,
129,1,ret_lag_4,momentum,,1.9380871048641912,ret_lag_4,1.9380871048641912,0,
22,1,ev_spike2,event,,1.926351960045316,ev_spike2,1.926351960045316,0,
10,1,lower_shadow,candle,,1.9019930899290955,lower_shadow,1.9019930899290955,0,
17,1,ev_spike_ret,event,,1.8523972976665943,ev_spike_ret,1.8523972976665943,0,
133,1,adx_14,trend,,1.8054724057177027,adx_14,1.8054724057177027,0,
80,1,stochrsi_14,momentum,,1.7933094987173126,stochrsi_14,1.7933094987173126,0,
29,1,ev_days_since_spike3,event,,1.768052113114989,ev_days_since_spike3,1.768052113114989,0,
83,1,obv_slope_10,volume,,1.7514857993603108,obv_slope_10,1.7514857993603108,0,
157,1,ret_lag_7,momentum,,1.7484703513237063,ret_lag_7,1.7484703513237063,0,
77,1,linreg_slope_5,trend,,1.7016301888125185,linreg_slope_5,1.7016301888125185,0,
151,1,bb_bw_20,volatility,,1.6479403952892229,bb_bw_20,1.6479403952892229,0,
64,1,linreg_slope_120,trend,,1.6302435776401685,linreg_slope_120,1.6302435776401685,0,
39,1,ev_range_x_atr,event,,1.628886822535378,ev_range_x_atr,1.628886822535378,0,
58,1,updown_mag_ratio_20,stats,,1.502112817393552,updown_mag_ratio_20,1.502112817393552,0,
71,1,ad_roc_10,volume,,1.4911819826999984,ad_roc_10,1.4911819826999984,0,
127,1,donchian_pos_120,volatility,,1.4885627184296608,donchian_pos_120,1.4885627184296608,0,
38,1,vol_sma_ratio_5,volume,,1.4377159417946077,vol_sma_ratio_5,1.4377159417946077,0,
