group,size,representative,rep_is_new,family,n_old,n_new,rep_mean_corr,members
14,2,cs_rank_mg_bal_chg20,True,chip,0,2,0.9539117980052287,mg_bal_chg20、cs_rank_mg_bal_chg20
57,2,cs_rank_inst_trust_sum20,True,chip,0,2,0.9453794390969972,inst_trust_sum20、cs_rank_inst_trust_sum20
55,2,inst_trust_net_r,True,chip,0,2,0.9095372760141687,inst_trust_net_r、inst_trust_streak
62,2,mom_250_21,True,longmom,0,2,0.9587263818958367,mom_250_21、mom_voladj_250_21
68,2,mad_21_200,True,longmom,0,2,0.9396508193317827,mad_21_200、sma_ratio_250
18,2,cs_rank_ss_bal_chg5,True,chip,0,2,0.9541251317069157,ss_bal_chg5、cs_rank_ss_bal_chg5
170,2,ema_ratio_10,False,trend,2,0,0.919907814364608,ema_ratio_20、ema_ratio_10
166,2,cmo_14,False,momentum,2,0,0.9219394984961493,cmo_14、vortex_neg_14
169,2,bb_pctb_20,False,volatility,2,0,0.9416848957759976,bb_pctb_20、donchian_pos_20
149,2,ema_ratio_60,False,trend,2,0,0.9273714368495893,ema_ratio_60、ema_ratio_120
121,2,cs_rank_inst_foreign_sum20,True,chip,0,2,0.9342711906886918,inst_foreign_sum20、cs_rank_inst_foreign_sum20
126,2,cs_rank_inst_all_sum5,True,chip,0,2,0.9300321387079762,inst_all_sum5、cs_rank_inst_all_sum5
124,2,cs_rank_sh_foreign_chg20,True,chip,0,2,0.9454302785985438,sh_foreign_chg20、cs_rank_sh_foreign_chg20
101,2,gap_ma20,False,candle,1,1,0.9995322971283243,gap_ma20、on_ret_20
100,2,gap_ma5,False,candle,1,1,0.9997411406175001,gap_ma5、on_ret_5
91,2,parkinson_10,False,volatility,2,0,0.9181249681990413,parkinson_10、ret_std_10
82,2,on_id_diff_250,True,overnight,0,2,0.9335067109967148,on_ret_250、on_id_diff_250
182,2,dist_high_120,False,volatility,1,1,0.9011689597526678,dist_high_120、dist_high_250
16,1,mg_bal_chg5,True,chip,0,1,,mg_bal_chg5
15,1,mg_bal_roc20,True,chip,0,1,,mg_bal_roc20
13,1,hurst_120,False,stats,1,0,,hurst_120
17,1,mg_bal_chg1,True,chip,0,1,,mg_bal_chg1
19,1,ss_bal_chg1,True,chip,0,1,,ss_bal_chg1
20,1,ss_bal_chg20,True,chip,0,1,,ss_bal_chg20
21,1,ev_vol_dryup,False,event,1,0,,ev_vol_dryup
26,1,vol_sma_ratio_10,False,volume,1,0,,vol_sma_ratio_10
27,1,ev_vol_vs_max20,False,event,1,0,,ev_vol_vs_max20
28,1,cs_rank_turnover_z_20,False,cross_section,1,0,,cs_rank_turnover_z_20
29,1,vol_sma_ratio_5,False,volume,1,0,,vol_sma_ratio_5
22,1,ev_vol_dryup_cnt5,False,event,1,0,,ev_vol_dryup_cnt5
23,1,turnover_z_60,False,volume,1,0,,turnover_z_60
24,1,ev_amt_pctile250,False,event,1,0,,ev_amt_pctile250
25,1,ev_vol_x_avg20,False,event,1,0,,ev_vol_x_avg20
34,1,vol_ratio_5_60,False,volatility,1,0,,vol_ratio_5_60
35,1,ev_spike2,False,event,1,0,,ev_spike2
36,1,ev_spike_down,False,event,1,0,,ev_spike_down
37,1,ev_spike_long_black,False,event,1,0,,ev_spike_long_black
11,1,autocorr_20,False,stats,1,0,,autocorr_20
39,1,ev_gap_down_spike,False,event,1,0,,ev_gap_down_spike
40,1,ev_limit_up,False,event,1,0,,ev_limit_up
41,1,ev_bigmove5,False,event,1,0,,ev_bigmove5
42,1,ev_spike_up,False,event,1,0,,ev_spike_up
43,1,ev_spike_ret,False,event,1,0,,ev_spike_ret
44,1,ev_breakout_vol_60,False,event,1,0,,ev_breakout_vol_60
45,1,ev_spike_long_red,False,event,1,0,,ev_spike_long_red
30,1,ev_range_x_atr,False,event,1,0,,ev_range_x_atr
31,1,ev_spike2_cnt20,False,event,1,0,,ev_spike2_cnt20
32,1,ev_spike2_cnt5,False,event,1,0,,ev_spike2_cnt5
33,1,ev_days_since_spike3,False,event,1,0,,ev_days_since_spike3
49,1,lower_shadow_ma5,False,candle,1,0,,lower_shadow_ma5
48,1,ev_touch_limit_up,False,event,1,0,,ev_touch_limit_up
47,1,ev_gap_up_spike,False,event,1,0,,ev_gap_up_spike
46,1,ev_spike3,False,event,1,0,,ev_spike3
53,1,upper_shadow_ma5,False,candle,1,0,,upper_shadow_ma5
52,1,upper_shadow_ma20,False,candle,1,0,,upper_shadow_ma20
54,1,upper_shadow,False,candle,1,0,,upper_shadow
50,1,lower_shadow_ma20,False,candle,1,0,,lower_shadow_ma20
56,1,inst_trust_sum5,True,chip,0,1,,inst_trust_sum5
58,1,inst_trust_pos20,True,chip,0,1,,inst_trust_pos20
60,1,adx_28,False,trend,1,0,,adx_28
59,1,inst_trust_sum60,True,chip,0,1,,inst_trust_sum60
61,1,adx_14,False,trend,1,0,,adx_14
63,1,resid_mom_250_21,True,longmom,0,1,,resid_mom_250_21
64,1,mom_250_126,True,longmom,0,1,,mom_250_126
51,1,lower_shadow,False,candle,1,0,,lower_shadow
65,1,persist_12,True,longmom,0,1,,persist_12
66,1,up_ratio_60,False,momentum,1,0,,up_ratio_60
67,1,up_ratio_120,False,momentum,1,0,,up_ratio_120
69,1,cumret_ex1_120,False,stats,1,0,,cumret_ex1_120
38,1,ev_breakdown_vol_60,False,event,1,0,,ev_breakdown_vol_60
1,1,dow_1,False,stats,1,0,,dow_1
4,1,dow_0,False,stats,1,0,,dow_0
2,1,dow_2,False,stats,1,0,,dow_2
9,1,sh_foreign_ratio,True,chip,0,1,,sh_foreign_ratio
10,1,sh_foreign_room,True,chip,0,1,,sh_foreign_room
12,1,autocorr_60,False,stats,1,0,,autocorr_60
3,1,dow_3,False,stats,1,0,,dow_3
6,1,kurt_60,False,stats,1,0,,kurt_60
7,1,fip_250,True,longmom,0,1,,fip_250
8,1,fip_126,True,longmom,0,1,,fip_126
5,1,kurt_20,False,stats,1,0,,kurt_20
81,1,on_ret_120,True,overnight,0,1,,on_ret_120
80,1,on_ret_60,True,overnight,0,1,,on_ret_60
79,1,cs_excess_roc_60,False,cross_section,1,0,,cs_excess_roc_60
78,1,obv_slope_60,False,volume,1,0,,obv_slope_60
77,1,linreg_slope_60,False,trend,1,0,,linreg_slope_60
76,1,cumret_ex1_60,False,stats,1,0,,cumret_ex1_60
75,1,dist_low_120,False,volatility,1,0,,dist_low_120
74,1,dist_low_60,False,volatility,1,0,,dist_low_60
73,1,cs_excess_roc_120,False,cross_section,1,0,,cs_excess_roc_120
72,1,mom_126_21,True,longmom,0,1,,mom_126_21
71,1,linreg_slope_120,False,trend,1,0,,linreg_slope_120
70,1,sma_cross_20_120,False,trend,1,0,,sma_cross_20_120
89,1,ss_util,True,chip,0,1,,ss_util
90,1,ss_mg_ratio,True,chip,0,1,,ss_mg_ratio
92,1,gk_vol_60,False,volatility,1,0,,gk_vol_60
86,1,id_ret_120,True,overnight,0,1,,id_ret_120
97,1,range_ratio,False,candle,1,0,,range_ratio
96,1,ret_std_5,False,volatility,1,0,,ret_std_5
99,1,cs_beta_60,False,cross_section,1,0,,cs_beta_60
98,1,ev_bigmove5_cnt20,False,event,1,0,,ev_bigmove5_cnt20
102,1,gap,False,candle,1,0,,gap
103,1,ev_limit_up_cnt20,False,event,1,0,,ev_limit_up_cnt20
104,1,ev_limit_down_cnt20,False,event,1,0,,ev_limit_down_cnt20
105,1,mkt_roc_20,False,cross_section,1,0,,mkt_roc_20
106,1,mkt_roc_60,False,cross_section,1,0,,mkt_roc_60
107,1,mkt_roc_5,False,cross_section,1,0,,mkt_roc_5
108,1,ev_new_low_20,False,event,1,0,,ev_new_low_20
93,1,cs_rank_ret_std_20,False,cross_section,1,0,,cs_rank_ret_std_20
94,1,bb_bw_20,False,volatility,1,0,,bb_bw_20
87,1,id_ret_250,True,overnight,0,1,,id_ret_250
84,1,id_ret_60,True,overnight,0,1,,id_ret_60
83,1,mg_util,True,chip,0,1,,mg_util
113,1,skew_20,False,stats,1,0,,skew_20
112,1,ev_down_streak_ge3,False,event,1,0,,ev_down_streak_ge3
111,1,ret_lag_2,False,momentum,1,0,,ret_lag_2
114,1,updown_mag_ratio_20,False,stats,1,0,,updown_mag_ratio_20
117,1,skew_60,False,stats,1,0,,skew_60
118,1,inst_foreign_sum60,True,chip,0,1,,inst_foreign_sum60
116,1,pv_corr_60,False,volume,1,0,,pv_corr_60
115,1,pv_corr_20,False,volume,1,0,,pv_corr_20
