,nan_ratio,mean,std,kept
sma_ratio_5,0.0023446658851113715,0.0011569103,0.01955563,True
ema_ratio_5,0.0,0.0010120561,0.01605113,True
wma_ratio_5,0.0023446658851113715,0.0007239605,0.014398088,True
sma_ratio_10,0.005275498241500586,0.0027168572,0.030368531,True
ema_ratio_10,0.0,0.0023571518,0.02575234,True
wma_ratio_10,0.005275498241500586,0.0017251131,0.02283178,True
sma_ratio_20,0.011137162954279016,0.005905938,0.04597341,True
ema_ratio_20,0.0,0.0050581503,0.039046012,True
wma_ratio_20,0.011137162954279016,0.0037544577,0.03462775,True
sma_ratio_60,0.03458382180539273,0.017242638,0.08800365,True
ema_ratio_60,0.0,0.015693704,0.0736568,True
wma_ratio_60,0.03458382180539273,0.010899854,0.065101996,True
sma_ratio_120,0.0697538100820633,0.036177173,0.1398188,True
ema_ratio_120,0.0,0.032019645,0.1123937,True
wma_ratio_120,0.0697538100820633,0.022781713,0.09995746,True
sma_cross_5_20,0.011137162954279016,0.0045043738,0.035738286,True
sma_cross_10_60,0.03458382180539273,0.0141093135,0.07256615,True
sma_cross_20_120,0.0697538100820633,0.029050728,0.11086037,True
macd_diff_12_26_9,0.0,0.0025774343,0.020433318,True
macd_signal_12_26_9,0.0,0.0025583815,0.019135693,True
macd_hist_12_26_9,0.0,1.9052823e-05,0.0061734817,True
macd_diff_5_35_5,0.0,0.005506195,0.0427493,True
macd_signal_5_35_5,0.0,0.0054866276,0.04125183,True
macd_hist_5_35_5,0.0,1.9566962e-05,0.008769634,True
adx_14,0.0008089097303634232,25.809155,12.251074,True
pdi_14,0.0,23.746222,8.33328,True
mdi_14,0.0,21.045584,8.288861,True
adx_28,0.0008089097303634232,20.078688,12.1149,True
pdi_28,0.0,23.545986,6.4920216,True
mdi_28,0.0,21.00712,6.5596056,True
aroon_up_14,0.008206330597889801,51.752197,36.542,True
aroon_dn_14,0.008206330597889801,41.343967,35.943832,True
aroon_osc_14,0.008206330597889801,10.408224,63.3317,True
aroon_up_25,0.014654161781946073,53.033432,35.78906,True
aroon_dn_25,0.014654161781946073,39.70118,34.860996,True
aroon_osc_25,0.014654161781946073,13.332254,61.68203,True
linreg_slope_5,0.0023446658851113715,0.00038566304,0.009109614,True
linreg_slope_10,0.005275498241500586,0.00039478694,0.006291064,True
linreg_slope_20,0.011137162954279016,0.0003995414,0.004476878,True
linreg_slope_60,0.03458382180539273,0.00035115212,0.0024985033,True
linreg_slope_120,0.0697538100820633,0.0003521728,0.0017409798,True
trix_15,0.0005861664712778429,0.054362364,0.29858002,True
vortex_pos_14,0.008206330597889801,0.97381836,0.16707231,True
vortex_neg_14,0.008206330597889801,0.91256326,0.16450526,True
psar_dist,0.0005861664712778429,0.0024871083,0.059193674,True
roc_5,0.0029308323563892145,0.0035504315,0.040474497,True
roc_10,0.005861664712778429,0.007271115,0.058788497,True
roc_20,0.011723329425556858,0.014980067,0.088004686,True
roc_60,0.035169988276670575,0.04478707,0.19620515,True
roc_120,0.07033997655334115,0.10006021,0.37336284,True
rsi_6,0.0009730363423212193,52.654552,18.06079,True
rsi_14,0.0009730363423212193,52.49892,12.32339,True
rsi_28,0.0009730363423212193,52.29373,9.484429,True
stoch_k_14_3,0.008792497069167644,54.63079,28.18536,True
stoch_d_14_3,0.00996483001172333,54.646496,27.347288,True
stoch_k_60_3,0.03575615474794842,57.222546,28.875906,True
stoch_d_60_3,0.0369284876905041,57.21378,28.65508,True
stochrsi_14,0.008593200468933178,0.508445,0.35856715,True
willr_14,0.0076201641266119575,-45.39825,30.474222,True
willr_28,0.015826494724501757,-44.05171,29.907438,True
cci_14,0.0076201641266119575,14.886783,109.452805,True
cci_20,0.011137162954279016,18.01574,112.31013,True
cci_60,0.03458382180539273,26.801888,116.48741,True
cmo_14,0.008206330597889801,5.7370462,33.2985,True
ppo_12_26,0.0,0.3383514,2.0843844,True
tsi_25_13,0.0006330597889800703,4.922305,21.846035,True
uo_7_14_28,0.015920281359906214,51.661285,12.043618,True
ao_5_34,0.019343493552168817,0.0055982177,0.051979654,True
ret_lag_1,0.0005861664712778429,0.0007020996,0.018510394,True
ret_lag_2,0.0011723329425556857,0.0007055313,0.018514007,True
ret_lag_3,0.0017584994138335288,0.00071168056,0.018515825,True
ret_lag_4,0.0023446658851113715,0.0007102665,0.018520003,True
ret_lag_5,0.0029308323563892145,0.00071058306,0.018523272,True
ret_lag_6,0.0035169988276670576,0.00071685156,0.018524196,True
ret_lag_7,0.004103165298944901,0.0007076359,0.01852102,True
ret_lag_8,0.004689331770222743,0.00070444506,0.018521013,True
ret_lag_9,0.005275498241500586,0.00071271765,0.01852026,True
ret_lag_10,0.005861664712778429,0.000716006,0.018522892,True
up_ratio_5,0.0023446658851113715,0.46456638,0.2175486,True
up_ratio_10,0.005275498241500586,0.46476954,0.15456136,True
up_ratio_20,0.011137162954279016,0.46508238,0.11162722,True
up_ratio_60,0.03458382180539273,0.46408015,0.069347486,True
up_ratio_120,0.0697538100820633,0.4641485,0.05346382,True
mom_accel_5_20,0.011723329425556858,-0.011377526,0.07582485,True
atr_ratio_14,0.0,0.021289049,0.011673246,True
atr_ratio_28,0.0,0.02126694,0.0110990815,True
ret_std_5,0.0029308323563892145,0.0143156415,0.011882522,True
parkinson_5,0.0023446658851113715,0.012399797,0.0077358545,True
gk_vol_5,0.0023446658851113715,0.012289588,0.0075263204,True
ret_std_10,0.005861664712778429,0.0149471415,0.010935393,True
parkinson_10,0.005275498241500586,0.012583384,0.0074178968,True
gk_vol_10,0.005275498241500586,0.012452128,0.007238554,True
ret_std_20,0.011723329425556858,0.015355123,0.010279447,True
parkinson_20,0.011137162954279016,0.012726095,0.0071415864,True
gk_vol_20,0.011137162954279016,0.012581402,0.0069858343,True
ret_std_60,0.035169988276670575,0.015790356,0.009574653,True
parkinson_60,0.03458382180539273,0.012902669,0.0067700157,True
gk_vol_60,0.03458382180539273,0.012748498,0.006631228,True
ret_std_120,0.07033997655334115,0.016004387,0.009243497,True
parkinson_120,0.0697538100820633,0.012979393,0.0065972265,True
gk_vol_120,0.0697538100820633,0.012820314,0.0064616282,True
bb_pctb_20,0.011137162954279016,0.55167264,0.3220199,True
bb_bw_20,0.011137162954279016,0.104821935,0.08675563,True
bb_pctb_60,0.03458382180539273,0.581175,0.34209138,True
bb_bw_60,0.03458382180539273,0.1846337,0.15254411,True
keltner_pos_20_10,0.0,0.13043232,0.7133108,True
donchian_pos_5,0.00264947245017585,0.52940845,0.3132992,True
donchian_pos_10,0.005275498241500586,0.5393078,0.3067241,True
