[FEAT] 讀快取 C:\Users\alex\Desktop\專題進度\xgb_ta_pipeline\experiments\features_tw50_2016-01-01_2024-12-31.parquet
[TUNE] tw50-h1: 242 欄, train 85300 val 11900
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5409 acc 0.5238 iters 63 (6s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5407 acc 0.5213 iters 56 (13s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5400 acc 0.5230 iters 47 (20s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5395 acc 0.5247 iters 48 (27s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5407 acc 0.5204 iters 53 (34s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5408 acc 0.5218 iters 56 (41s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5391 acc 0.5229 iters 55 (47s)
  {'max_depth': 3, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5399 acc 0.5229 iters 36 (52s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5421 acc 0.5235 iters 23 (57s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5428 acc 0.5231 iters 23 (62s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5381 acc 0.5218 iters 17 (68s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5394 acc 0.5235 iters 22 (74s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5416 acc 0.5230 iters 20 (80s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5415 acc 0.5197 iters 22 (86s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5390 acc 0.5217 iters 19 (91s)
  {'max_depth': 3, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5389 acc 0.5229 iters 22 (97s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5420 acc 0.5237 iters 58 (105s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5415 acc 0.5250 iters 56 (113s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5385 acc 0.5229 iters 44 (119s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5364 acc 0.5232 iters 36 (125s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5415 acc 0.5233 iters 56 (131s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5409 acc 0.5245 iters 56 (137s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5362 acc 0.5194 iters 45 (144s)
  {'max_depth': 5, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5363 acc 0.5218 iters 51 (151s)
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5438 acc 0.5222 iters 14 (155s)
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5405 acc 0.5240 iters 9 (159s)
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5385 acc 0.5240 iters 12 (165s)
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5350 acc 0.5215 iters 12 (171s)
