,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.008808805,0.039576817,True
ema_ratio_5,0.0,0.007373765,0.032605417,True
wma_ratio_5,0.0,0.005887561,0.029244851,True
sma_ratio_10,0.0,0.01594436,0.05960899,True
ema_ratio_10,0.0,0.013341525,0.050724488,True
wma_ratio_10,0.0,0.011354903,0.04593813,True
sma_ratio_20,0.0,0.024566,0.0837295,True
ema_ratio_20,0.0,0.021121955,0.072434045,True
wma_ratio_20,0.0,0.018477442,0.06614282,True
sma_ratio_60,0.023684662998624484,0.04572933,0.14057119,True
ema_ratio_60,0.0,0.041861735,0.12044259,True
wma_ratio_60,0.023684662998624484,0.033972,0.1100355,True
sma_ratio_120,0.05828748280605227,0.079143524,0.20586413,True
ema_ratio_120,0.0,0.069266446,0.16910346,True
wma_ratio_120,0.05828748280605227,0.05572433,0.15520518,True
sma_cross_5_20,0.0,0.014609604,0.05682943,True
sma_cross_10_60,0.023684662998624484,0.027371587,0.100579806,True
sma_cross_20_120,0.05828748280605227,0.049434327,0.1467313,True
macd_diff_12_26_9,0.0,0.0060014543,0.030211195,True
macd_signal_12_26_9,0.0,0.0044967,0.026067443,True
macd_hist_12_26_9,0.0,0.0015047531,0.009921876,True
macd_diff_5_35_5,0.0,0.014529402,0.06684222,True
macd_signal_5_35_5,0.0,0.011854342,0.059866242,True
macd_hist_5_35_5,0.0,0.0026750595,0.015686613,True
adx_14,0.0,27.125776,11.127477,True
pdi_14,0.0,27.673122,10.423862,True
mdi_14,0.0,20.849648,10.178461,True
adx_28,0.0,20.456133,9.95291,True
pdi_28,0.0,26.293009,7.4640794,True
mdi_28,0.0,20.91258,7.2758613,True
aroon_up_14,0.0,64.11777,38.450512,True
aroon_dn_14,0.0,43.837658,37.97827,True
aroon_osc_14,0.0,20.280107,68.61296,True
aroon_up_25,0.004169532324621733,61.99741,38.31586,True
aroon_dn_25,0.004169532324621733,42.454872,36.89994,True
aroon_osc_25,0.004169532324621733,19.54254,66.99079,True
linreg_slope_5,0.0,0.0032765511,0.017281506,True
linreg_slope_10,0.0,0.002064486,0.01068522,True
linreg_slope_20,0.0,0.0011021857,0.006478112,True
linreg_slope_60,0.023684662998624484,0.00055303227,0.0033075463,True
linreg_slope_120,0.05828748280605227,0.0005415221,0.002256664,True
trix_15,0.0,0.10266109,0.41133475,True
vortex_pos_14,0.0,0.9907294,0.19142689,True
vortex_neg_14,0.0,0.8698318,0.194041,True
psar_dist,0.0,0.018836955,0.09938285,True
roc_5,0.0,0.020915404,0.07715588,True
roc_10,0.0,0.030556712,0.10355217,True
roc_20,0.0013540233837689133,0.04317778,0.14316645,True
