,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.0015064222,0.02647186,True
ema_ratio_5,0.0,0.0013448095,0.021665888,True
wma_ratio_5,0.0,0.00089192955,0.019378927,True
sma_ratio_10,0.0,0.0038240466,0.041489214,True
ema_ratio_10,0.0,0.0035173283,0.034918714,True
wma_ratio_10,0.0,0.0022948426,0.031044878,True
sma_ratio_20,0.005891337551821951,0.009348261,0.06277287,True
ema_ratio_20,0.0,0.0083403,0.052882813,True
wma_ratio_20,0.005891337551821951,0.00558168,0.04723254,True
sma_ratio_60,0.029456687759109753,0.0312128,0.117260054,True
ema_ratio_60,0.0,0.027174179,0.09784543,True
wma_ratio_60,0.029456687759109753,0.019526234,0.08771759,True
sma_ratio_120,0.06489199214488327,0.063477024,0.17871049,True
ema_ratio_120,0.0,0.053643353,0.14439774,True
wma_ratio_120,0.06489199214488327,0.040639523,0.13106029,True
sma_cross_5_20,0.005891337551821951,0.0074638505,0.0490714,True
sma_cross_10_60,0.029456687759109753,0.026510749,0.09718156,True
sma_cross_20_120,0.06489199214488327,0.051678803,0.14289236,True
macd_diff_12_26_9,0.0,0.0046329256,0.027664432,True
macd_signal_12_26_9,0.0,0.004765425,0.025879784,True
macd_hist_12_26_9,0.0,-0.0001324991,0.008481385,True
macd_diff_5_35_5,0.0,0.009595092,0.05781977,True
macd_signal_5_35_5,0.0,0.009853284,0.05582482,True
macd_hist_5_35_5,0.0,-0.00025819216,0.012021778,True
adx_14,0.0,26.996035,11.660459,True
pdi_14,0.0,25.026127,8.423724,True
mdi_14,0.0,21.201622,8.322025,True
adx_28,0.0,21.083265,11.031979,True
pdi_28,0.0,24.89986,6.4784966,True
mdi_28,0.0,21.066872,6.4228945,True
aroon_up_14,0.0029456687759109755,51.574768,36.348682,True
aroon_dn_14,0.0029456687759109755,41.531773,36.101242,True
aroon_osc_14,0.0029456687759109755,10.042988,63.352554,True
aroon_up_25,0.00942614008291512,53.807545,35.273613,True
aroon_dn_25,0.00942614008291512,39.55042,35.06345,True
aroon_osc_25,0.00942614008291512,14.257126,61.590034,True
linreg_slope_5,0.0,0.00043505066,0.0123861255,True
linreg_slope_10,0.0,0.000519489,0.008663689,True
linreg_slope_20,0.005891337551821951,0.00066839455,0.0061199097,True
linreg_slope_60,0.029456687759109753,0.00065611635,0.00334545,True
linreg_slope_120,0.06489199214488327,0.0005851225,0.0023014185,True
trix_15,0.0,0.10166764,0.4032111,True
vortex_pos_14,0.0029456687759109755,0.97524506,0.16734983,True
vortex_neg_14,0.0029456687759109755,0.91787714,0.17251027,True
psar_dist,0.0,-0.00063491793,0.08231,True
roc_5,0.0,0.005248766,0.05535741,True
roc_10,0.000589133755182195,0.011569197,0.08100539,True
roc_20,0.006480471307004146,0.02660384,0.121325366,True
roc_60,0.03004582151429195,0.07967675,0.24920283,True
roc_120,0.06548658084224307,0.16674924,0.43947086,True
rsi_6,0.0,52.587128,18.006,True
rsi_14,0.0,52.819244,12.268889,True
rsi_28,0.0,52.75811,9.321459,True
stoch_k_14_3,0.0035348025310931704,52.617203,27.867758,True
stoch_d_14_3,0.00471307004145756,52.76772,27.07204,True
stoch_k_60_3,0.030634955269474143,56.853184,28.349632,True
stoch_d_60_3,0.031813222779838536,56.94675,28.144989,True
stochrsi_14,0.0032947850752782022,0.4904243,0.35952964,True
willr_14,0.00235653502072878,-47.56492,29.981735,True
willr_28,0.010604407593279512,-45.525047,29.467863,True
cci_14,0.00235653502072878,13.2539835,109.32291,True
cci_20,0.005891337551821951,17.06779,111.99803,True
cci_60,0.029456687759109753,32.00823,117.837006,True
cmo_14,0.0029456687759109755,5.762751,33.844845,True
ppo_12_26,0.0,0.6116277,2.8130093,True
tsi_25_13,0.0,6.005544,21.58699,True
uo_7_14_28,0.010691686668121318,48.560326,11.488377,True
ao_5_34,0.014139210124372682,0.009985123,0.071080625,True
ret_lag_1,0.0,0.0009066892,0.024219053,True
ret_lag_2,0.0,0.0010020905,0.024355832,True
ret_lag_3,0.0,0.0010741998,0.0244242,True
ret_lag_4,0.0,0.0011036532,0.024479063,True
ret_lag_5,0.0,0.0011273195,0.02451238,True
ret_lag_6,0.0,0.0011890365,0.024552573,True
ret_lag_7,0.0,0.0011882444,0.024577036,True
ret_lag_8,0.0,0.0012074586,0.024577482,True
ret_lag_9,0.0,0.0012499866,0.024582313,True
ret_lag_10,0.000589133755182195,0.0012735557,0.024599122,True
up_ratio_5,0.0,0.473813,0.21557121,True
up_ratio_10,0.0,0.47527272,0.15280443,True
up_ratio_20,0.005891337551821951,0.4778973,0.109317295,True
up_ratio_60,0.029456687759109753,0.47690645,0.065712996,True
up_ratio_120,0.06489199214488327,0.47644976,0.048967082,True
mom_accel_5_20,0.006480471307004146,-0.0213895,0.10536155,True
atr_ratio_14,0.0,0.029852746,0.015170533,True
atr_ratio_28,0.0,0.029490815,0.015507237,True
ret_std_5,0.0,0.019865222,0.014087103,True
parkinson_5,0.0,0.01766426,0.01010428,True
gk_vol_5,0.0,0.0174368,0.009836482,True
ret_std_10,0.000589133755182195,0.020841483,0.012738365,True
parkinson_10,0.0,0.01799485,0.009638909,True
gk_vol_10,0.0,0.01773125,0.009420307,True
ret_std_20,0.006480471307004146,0.021464184,0.011797666,True
parkinson_20,0.005891337551821951,0.018218419,0.009221647,True
gk_vol_20,0.005891337551821951,0.017932728,0.009041745,True
ret_std_60,0.03004582151429195,0.02169861,0.010585654,True
parkinson_60,0.029456687759109753,0.018226538,0.008662816,True
gk_vol_60,0.029456687759109753,0.0179374,0.008506628,True
ret_std_120,0.06548658084224307,0.021773014,0.01012171,True
parkinson_120,0.06489199214488327,0.018218925,0.008362714,True
gk_vol_120,0.06489199214488327,0.017927181,0.00821156,True
bb_pctb_20,0.005891337551821951,0.5489856,0.3222204,True
bb_bw_20,0.005891337551821951,0.15009463,0.11246654,True
bb_pctb_60,0.029456687759109753,0.59585863,0.3449034,True
bb_bw_60,0.029456687759109753,0.2636323,0.19090134,True
keltner_pos_20_10,0.0,0.1349229,0.7228058,True
donchian_pos_5,0.0002945668775910975,0.50279784,0.3069054,True
donchian_pos_10,1.0909884355225835e-05,0.51603687,0.30120116,True
donchian_pos_20,0.005891337551821951,0.5342182,0.2978788,True
donchian_pos_60,0.029456687759109753,0.5674014,0.28873584,True
donchian_pos_120,0.06489199214488327,0.59485984,0.2801134,True
dist_high_20,0.005891337551821951,-0.06460556,0.060574114,True
dist_low_20,0.005891337551821951,0.093218364,0.102368064,True
dist_high_60,0.029456687759109753,-0.099513166,0.08876777,True
dist_low_60,0.029456687759109753,0.19927835,0.23947525,True
