,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.0071600163,0.034209218,True
ema_ratio_5,0.0,0.005973104,0.028205317,True
wma_ratio_5,0.0,0.004819076,0.025322305,True
sma_ratio_10,0.0,0.012665835,0.05119817,True
ema_ratio_10,0.0,0.010539425,0.043615356,True
wma_ratio_10,0.0,0.0091271745,0.03962407,True
sma_ratio_20,0.0,0.018834276,0.07105211,True
ema_ratio_20,0.0,0.01588947,0.061546646,True
wma_ratio_20,0.0,0.01447133,0.056594864,True
sma_ratio_60,0.02591268962754462,0.02939176,0.114870116,True
ema_ratio_60,0.0,0.027808651,0.09942735,True
wma_ratio_60,0.02591268962754462,0.023107609,0.091331296,True
sma_ratio_120,0.06007990975890024,0.04809044,0.1642897,True
ema_ratio_120,0.0,0.04370653,0.13710907,True
wma_ratio_120,0.06007990975890024,0.034866795,0.1258082,True
sma_cross_5_20,0.0,0.010840312,0.047607828,True
sma_cross_10_60,0.02591268962754462,0.01539975,0.08123238,True
sma_cross_20_120,0.06007990975890024,0.026683124,0.116861455,True
macd_diff_12_26_9,0.0,0.003774873,0.025359415,True
macd_signal_12_26_9,0.0,0.0023550815,0.021672085,True
macd_hist_12_26_9,0.0,0.0014197916,0.008480089,True
macd_diff_5_35_5,0.0,0.00961057,0.05645996,True
macd_signal_5_35_5,0.0,0.0071976506,0.050145652,True
macd_hist_5_35_5,0.0,0.0024129185,0.013495481,True
adx_14,0.0,26.190336,10.972735,True
pdi_14,0.0,27.186296,10.407746,True
mdi_14,0.0,20.740654,10.066698,True
adx_28,0.0,19.611912,10.0469055,True
pdi_28,0.0,25.743395,7.366958,True
mdi_28,0.0,20.969677,7.2121305,True
aroon_up_14,0.0,63.157326,38.66232,True
aroon_dn_14,0.0,44.02258,37.86833,True
aroon_osc_14,0.0,19.134743,68.36788,True
aroon_up_25,0.00409036760597531,59.77017,38.922916,True
aroon_dn_25,0.00409036760597531,43.109337,36.79479,True
aroon_osc_25,0.00409036760597531,16.660831,66.93887,True
linreg_slope_5,0.0,0.0026915006,0.01486338,True
linreg_slope_10,0.0,0.001633111,0.009149849,True
linreg_slope_20,0.0,0.00080025854,0.005454873,True
linreg_slope_60,0.02591268962754462,0.00022738958,0.002769851,True
linreg_slope_120,0.06007990975890024,0.00027161563,0.0018983814,True
trix_15,0.0,0.05850778,0.33449635,True
vortex_pos_14,0.0,0.98905814,0.18779568,True
vortex_neg_14,0.0,0.87808007,0.19118148,True
psar_dist,0.0,0.015801566,0.085424826,True
roc_5,0.0,0.01654768,0.065939106,True
roc_10,0.0,0.023471333,0.08759538,True
roc_20,0.0011280137470086552,0.030967135,0.11785774,True
roc_60,0.026344919194155412,0.057274062,0.21962757,True
roc_120,0.06068081427833476,0.11097178,0.37243494,True
rsi_6,0.0,57.027573,23.11554,True
rsi_14,0.0,54.749775,15.192864,True
rsi_28,0.0,53.274567,10.674591,True
stoch_k_14_3,0.0,57.418358,29.049793,True
stoch_d_14_3,0.0,56.304928,27.582327,True
stoch_k_60_3,0.026619015992493965,56.77368,30.023064,True
stoch_d_60_3,0.027799740662260035,55.985653,29.317284,True
stochrsi_14,0.0,0.58990246,0.39525884,True
willr_14,0.0,-41.400723,33.123753,True
willr_28,0.005629526550491793,-41.41385,32.538536,True
cci_14,0.0,43.89687,144.4849,True
cci_20,0.0,45.95037,150.53996,True
cci_60,0.02591268962754462,41.91783,148.31538,True
cmo_14,0.0,11.513882,38.696255,True
ppo_12_26,0.0,0.53322875,2.5736477,True
tsi_25_13,0.0,6.1770506,22.550365,True
