,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.008606853,0.034965053,True
ema_ratio_5,0.0,0.0072091394,0.028537204,True
wma_ratio_5,0.0,0.005915662,0.026125655,True
sma_ratio_10,0.0,0.01467902,0.05042981,True
ema_ratio_10,0.0,0.012472924,0.043116864,True
wma_ratio_10,0.0,0.010767091,0.039646387,True
sma_ratio_20,0.0,0.0218845,0.06840488,True
ema_ratio_20,0.0,0.018907472,0.060012225,True
wma_ratio_20,0.0,0.016866097,0.055213228,True
sma_ratio_60,0.04086021505376344,0.03693742,0.111381814,True
ema_ratio_60,0.0,0.035250608,0.096426204,True
wma_ratio_60,0.04086021505376344,0.028169906,0.08889388,True
sma_ratio_120,0.10238429172510519,0.06467371,0.15831672,True
ema_ratio_120,0.0,0.05632808,0.13211194,True
wma_ratio_120,0.10238429172510519,0.046182748,0.122342,True
sma_cross_5_20,0.0,0.01250002,0.04496459,True
sma_cross_10_60,0.04086021505376344,0.0210083,0.07974654,True
sma_cross_20_120,0.10238429172510519,0.039806724,0.11668764,True
macd_diff_12_26_9,0.0,0.0053640627,0.024778072,True
macd_signal_12_26_9,0.0,0.0038537455,0.021741241,True
macd_hist_12_26_9,0.0,0.001510317,0.007966044,True
macd_diff_5_35_5,0.0,0.013191021,0.054635383,True
macd_signal_5_35_5,0.0,0.010528907,0.049211122,True
macd_hist_5_35_5,0.0,0.0026621143,0.013084982,True
adx_14,0.0,26.605797,10.738738,True
pdi_14,0.0,27.71395,10.097219,True
mdi_14,0.0,20.534882,9.334705,True
adx_28,0.0,20.632229,10.611616,True
pdi_28,0.0,26.093636,7.15782,True
mdi_28,0.0,20.620737,6.5951624,True
aroon_up_14,0.0,64.808655,38.098667,True
aroon_dn_14,0.0,43.09691,37.817204,True
aroon_osc_14,0.0,21.711748,68.017525,True
aroon_up_25,0.008415147265077139,61.543045,38.726635,True
aroon_dn_25,0.008415147265077139,42.600285,36.66185,True
aroon_osc_25,0.008415147265077139,18.942762,67.26065,True
linreg_slope_5,0.0,0.0031910199,0.014749378,True
linreg_slope_10,0.0,0.0019278781,0.008596399,True
linreg_slope_20,0.0,0.0010540353,0.00515966,True
linreg_slope_60,0.04086021505376344,0.00045616474,0.0028997238,True
linreg_slope_120,0.10238429172510519,0.0004925695,0.0020587088,True
trix_15,0.0,0.07958207,0.32699162,True
vortex_pos_14,0.0,0.9904319,0.18184875,True
vortex_neg_14,0.0,0.86934644,0.18778744,True
psar_dist,0.0,0.018319689,0.085174486,True
roc_5,0.0,0.018939083,0.06507826,True
roc_10,0.0,0.026342694,0.083441176,True
roc_20,0.0023375409069658717,0.035422575,0.10992236,True
roc_60,0.041608228143992516,0.07355027,0.19930643,True
roc_120,0.10331930808789154,0.14199018,0.3166852,True
rsi_6,0.0,57.670666,22.467821,True
rsi_14,0.0,55.314503,14.520501,True
rsi_28,0.0,53.82206,10.124023,True
stoch_k_14_3,0.0,57.85885,28.843218,True
stoch_d_14_3,0.0,56.685467,27.31894,True
stoch_k_60_3,0.04216923796166433,58.48133,29.837912,True
stoch_d_60_3,0.0445067788686302,57.697475,29.152952,True
stochrsi_14,0.0,0.59522784,0.39222598,True
willr_14,0.0,-40.653072,33.053383,True
willr_28,0.011968209443665265,-40.61593,32.565525,True
cci_14,0.0,47.630577,143.33786,True
cci_20,0.0,50.518753,148.30453,True
cci_60,0.04086021505376344,50.399845,140.0672,True
cmo_14,0.0,12.39942,37.30636,True
ppo_12_26,0.0,0.68743855,2.5099797,True
tsi_25_13,0.0,7.109423,21.361197,True
uo_7_14_28,0.011968209443665265,50.169243,11.930859,True
ao_5_34,0.016269284712482467,0.011940416,0.06286011,True
ret_lag_1,0.0,0.005666384,0.03257524,True
ret_lag_2,0.0,0.004680817,0.028740961,True
ret_lag_3,0.0,0.0032982768,0.024420712,True
ret_lag_4,0.0,0.0024829218,0.023347525,True
ret_lag_5,0.0,0.0023747578,0.022322547,True
ret_lag_6,0.0,0.0016483411,0.021215178,True
ret_lag_7,0.0,0.0015928912,0.021222819,True
ret_lag_8,0.0,0.0012989073,0.020027824,True
ret_lag_9,0.0,0.001573562,0.020579169,True
ret_lag_10,0.0,0.0009469202,0.02065437,True
up_ratio_5,0.0,0.5193268,0.2358062,True
up_ratio_10,0.0,0.49928942,0.16388272,True
up_ratio_20,0.0,0.4843338,0.11360288,True
up_ratio_60,0.04086021505376344,0.47377658,0.06583013,True
up_ratio_120,0.10238429172510519,0.47120747,0.049224567,True
mom_accel_5_20,0.0023375409069658717,-0.016615987,0.07976729,True
atr_ratio_14,0.0,0.027261028,0.012555763,True
atr_ratio_28,0.0,0.026790362,0.012108792,True
ret_std_5,0.0,0.021835426,0.014156129,True
parkinson_5,0.0,0.018154243,0.009653127,True
gk_vol_5,0.0,0.01766461,0.009426507,True
ret_std_10,0.0,0.020656774,0.011515259,True
parkinson_10,0.0,0.017050192,0.008437969,True
gk_vol_10,0.0,0.01669332,0.008304744,True
ret_std_20,0.0023375409069658717,0.019695647,0.009854468,True
parkinson_20,0.0,0.016423773,0.0076884697,True
gk_vol_20,0.0,0.016155535,0.0076454533,True
ret_std_60,0.041608228143992516,0.02009098,0.008819845,True
parkinson_60,0.04086021505376344,0.016648805,0.00728437,True
gk_vol_60,0.04086021505376344,0.01640942,0.007317352,True
ret_std_120,0.10331930808789154,0.020347822,0.008457826,True
parkinson_120,0.10238429172510519,0.016817626,0.007133793,True
gk_vol_120,0.10238429172510519,0.016574148,0.007190537,True
bb_pctb_20,0.0,0.64293814,0.41532865,True
bb_bw_20,0.0,0.13580233,0.09197184,True
bb_pctb_60,0.04086021505376344,0.6487231,0.4097775,True
bb_bw_60,0.04086021505376344,0.22587632,0.14918128,True
keltner_pos_20_10,0.0,0.31022456,0.9097645,True
donchian_pos_5,0.0,0.57122856,0.3327363,True
donchian_pos_10,0.0,0.5879343,0.33139944,True
donchian_pos_20,0.0,0.5968258,0.3287279,True
donchian_pos_60,0.04086021505376344,0.5943495,0.3147974,True
donchian_pos_120,0.10238429172510519,0.6073617,0.29960302,True
dist_high_20,0.0,-0.051006828,0.056011006,True
dist_low_20,0.0,0.09491997,0.089662604,True
dist_high_60,0.04086021505376344,-0.0837936,0.08510366,True
dist_low_60,0.04086021505376344,0.17775269,0.17854375,True
dist_high_120,0.10238429172510519,-0.108905196,0.10435718,True
dist_low_120,0.10238429172510519,0.2882631,0.30380425,True
mdd_20,0.0,-0.068083055,0.05281782,True
mdd_60,0.04086021505376344,-0.13144614,0.082831174,True
vol_ratio_5_60,0.041608228143992516,1.0740591,0.4834971,True
ulcer_14,0.010004675081813932,3.9893804,3.4200943,True
vol_sma_ratio_5,0.0,0.4852248,0.5083461,True
vol_sma_ratio_10,0.0,0.6925497,0.66579884,True
vol_sma_ratio_20,0.0,0.8497024,0.8301182,True
vol_sma_ratio_60,0.04086021505376344,0.90025675,1.2199631,True
vol_sma_ratio_120,0.10238429172510519,0.94787127,1.4187144,True
vol_z_20,0.0,1.413254,0.89262396,True
vol_z_60,0.04086021505376344,1.3043096,1.2163937,True
obv_slope_10,0.0,0.13292316,0.401606,True
obv_slope_20,0.0,0.09617997,0.27942017,True
obv_slope_60,0.04086021505376344,0.07384726,0.17157337,True
cmf_20,0.0,-0.016264,0.20623064,True
mfi_14,0.00028050490883590464,58.417233,19.208483,True
ad_roc_10,0.0,-0.0031583854,0.26674327,True
ad_roc_20,0.0023375409069658717,-0.016352326,0.20631419,True
force_13,0.0,0.006161482,0.019467307,True
eom_14,0.06143057503506311,-0.0032209186,0.13613832,True
vwap_ratio_5,0.0,0.0054817926,0.030245172,True
vwap_ratio_20,0.0,0.015022601,0.057598382,True
pvt_roc_10,0.0,0.0054125134,0.014662026,True
pvt_roc_20,0.0034595605423094903,0.00441067,0.010979623,True
pv_corr_20,0.06526414212248714,0.17516977,0.39818937,True
pv_corr_60,0.19261337073398785,0.16491127,0.28572354,True
turnover_z_20,0.06068256194483403,1.33229,0.5780947,True
turnover_z_60,0.19083683964469378,1.2565591,0.75471854,True
pv_diverge_20,0.0,0.1833567,0.38697678,True
body_range,9.350163627863488e-05,0.036319572,0.5930959,True
upper_shadow,9.350163627863488e-05,0.2603696,0.2369114,True
lower_shadow,9.350163627863488e-05,0.2214392,0.21846776,True
close_pos,9.350163627863488e-05,0.4986946,0.33535674,True
gap,0.0,0.0034215597,0.017224874,True
range_ratio,0.0,0.03494789,0.021957751,True
body_range_ma5,0.017952314165497897,-0.005356163,0.25843284,True
body_range_ma20,0.06330060776063581,-0.040195752,0.13432455,True
upper_shadow_ma5,0.017952314165497897,0.2631903,0.11692426,True
upper_shadow_ma20,0.06330060776063581,0.2655325,0.073883936,True
lower_shadow_ma5,0.017952314165497897,0.25011498,0.11831746,True
lower_shadow_ma20,0.06330060776063581,0.2583123,0.07909949,True
close_pos_ma5,0.017952314165497897,0.49078426,0.15764059,True
close_pos_ma20,0.06330060776063581,0.47629204,0.09312208,True
gap_ma5,0.0,0.0026688662,0.0072832247,True
gap_ma20,0.0023375409069658717,0.0020447958,0.0035772056,True
range_ratio_ma5,0.0,0.027945878,0.014842526,True
range_ratio_ma20,0.0,0.024768515,0.011629384,True
skew_20,0.0023375409069658717,0.2556976,0.8898173,True
kurt_20,0.0023375409069658717,1.254062,2.2125309,True
autocorr_20,0.0034595605423094903,-0.07543698,0.21788278,True
ret_z_20,0.0023375409069658717,0.2651877,1.4722909,True
skew_60,0.041608228143992516,0.2957663,0.81761855,True
kurt_60,0.041608228143992516,2.26481,3.014742,True
autocorr_60,0.04216923796166433,-0.050603446,0.13814074,True
ret_z_60,0.041608228143992516,0.25502354,1.5030894,True
cumret_ex1_20,0.0023375409069658717,0.029370505,0.101327464,True
cumret_ex1_60,0.041608228143992516,0.06727289,0.19214268,True
cumret_ex1_120,0.10331930808789154,0.13520479,0.31087247,True
updown_mag_ratio_20,0.0023375409069658717,1.2535355,0.56964934,True
hurst_120,0.10331930808789154,0.51741743,0.044007145,True
dow_0,0.0,0.17035998,0.3759663,True
dow_1,0.0,0.19728845,0.3979705,True
dow_2,0.0,0.21916783,0.41370195,True
dow_3,0.0,0.20626462,0.4046416,True
ev_vol_x_avg20,0.0,1.8497024,0.8301182,True
ev_vol_vs_max20,0.0023375409069658717,0.82866263,0.6303686,True
ev_spike2,0.0,0.26012155,0.43872124,True
ev_spike3,0.0,0.07283778,0.25988218,True
ev_spike2_cnt5,0.0,0.77260405,1.015541,True
ev_spike2_cnt20,0.0,1.6219729,1.6345758,True
ev_days_since_spike3,0.0,38.04404,23.985577,True
ev_spike_up,0.0,0.17522207,0.38017473,True
ev_spike_down,0.0,0.080411404,0.27194178,True
ev_spike_long_red,0.0,0.060215052,0.23789597,True
ev_spike_long_black,0.0,0.024964936,0.15602553,True
ev_spike_ret,0.0,0.0040331143,0.022819865,True
ev_vol_pctile250,0.2370266479663394,0.8254238,0.16161954,True
ev_amt_pctile250,0.2370266479663394,0.83159167,0.16845621,True
ev_vol_dryup,0.0,0.0,0.0,False
ev_vol_dryup_cnt5,0.0,0.34483403,0.7001464,True
ev_limit_up,0.0,0.017110799,0.12969038,True
ev_limit_down,0.0,0.0059841047,0.0771288,True
ev_limit_up_lock,0.0,0.014399252,0.11913539,True
ev_limit_down_lock,0.0,0.004114072,0.06401195,True
ev_limit_up_cnt20,0.0,0.118560076,0.4115939,True
ev_limit_down_cnt20,0.0,0.044974286,0.23949158,True
ev_days_since_limit_up,0.0,18.607292,4.6287723,True
ev_days_since_limit_down,0.0,19.488733,2.8269787,True
ev_touch_limit_up,0.0,0.011033193,0.104462825,True
ev_new_high_20,0.0,0.30163628,0.45898968,True
ev_new_low_20,0.0,0.13632539,0.3431498,True
ev_new_high_60,0.0,0.18588126,0.389029,True
ev_new_low_60,0.0,0.06750818,0.25091177,True
ev_new_high_250,0.0,0.091631606,0.2885187,True
ev_new_low_250,0.0,0.018045817,0.13312332,True
ev_breakout_vol_60,0.0,0.08302946,0.27593964,True
ev_breakdown_vol_60,0.0,0.021224871,0.14413993,True
ev_streak,0.0,0.4676017,2.3755448,True
ev_up_streak_ge3,0.0,0.17064048,0.37621212,True
ev_down_streak_ge3,0.0,0.092099115,0.28917933,True
ev_bigmove5,0.0,0.12071061,0.3258059,True
ev_bigmove5_cnt20,0.0,0.86647964,1.4799746,True
ev_gap_up_spike,0.0,0.045815803,0.2090952,True
ev_gap_down_spike,0.0,0.019167835,0.13712107,True
ev_range_x_atr,0.0,1.4350559,0.6177893,True
cs_rank_roc_5,0.0,0.587955,0.3219859,True
cs_rank_roc_20,0.0023375409069658717,0.5457178,0.30005124,True
cs_rank_roc_60,0.041608228143992516,0.5233063,0.2932343,True
cs_rank_roc_120,0.10331930808789154,0.5179464,0.29256362,True
cs_rank_ret_std_20,0.0023375409069658717,0.51603115,0.2921131,True
