,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.007888835,0.030680872,True
ema_ratio_5,0.0,0.0066288547,0.02511826,True
wma_ratio_5,0.0,0.005416374,0.022832612,True
sma_ratio_10,0.0,0.0134735275,0.044954974,True
ema_ratio_10,0.0,0.011371562,0.038342416,True
wma_ratio_10,0.0,0.009899516,0.03509081,True
sma_ratio_20,0.0,0.019603655,0.06175715,True
ema_ratio_20,0.0,0.016748726,0.053837273,True
wma_ratio_20,0.0,0.015315914,0.049426693,True
sma_ratio_60,0.0459906103286385,0.028948532,0.0997243,True
ema_ratio_60,0.0,0.0285434,0.08674681,True
wma_ratio_60,0.0459906103286385,0.022922724,0.07932139,True
sma_ratio_120,0.10657276995305165,0.04829603,0.14180736,True
ema_ratio_120,0.0,0.043339867,0.118572295,True
wma_ratio_120,0.10657276995305165,0.03544803,0.10921637,True
sma_cross_5_20,0.0,0.011069506,0.04068791,True
sma_cross_10_60,0.0459906103286385,0.014841145,0.070806,True
sma_cross_20_120,0.10657276995305165,0.027058786,0.10343358,True
macd_diff_12_26_9,0.0,0.004329989,0.021907913,True
macd_signal_12_26_9,0.0,0.00274472,0.019170754,True
macd_hist_12_26_9,0.0,0.0015852692,0.0071159448,True
macd_diff_5_35_5,0.0,0.0109983245,0.04839804,True
macd_signal_5_35_5,0.0,0.008289162,0.043454073,True
macd_hist_5_35_5,0.0,0.0027091631,0.011591268,True
adx_14,0.0,26.73711,11.275259,True
pdi_14,0.0,27.344385,10.444876,True
mdi_14,0.0,19.763096,9.246939,True
adx_28,0.0,20.848183,11.266229,True
pdi_28,0.0,25.63011,7.4602013,True
mdi_28,0.0,19.977829,6.5947156,True
aroon_up_14,0.0,63.891083,38.50065,True
aroon_dn_14,0.0,42.490677,37.319695,True
aroon_osc_14,0.0,21.400402,67.438736,True
aroon_up_25,0.007286384976525822,60.115547,38.998928,True
aroon_dn_25,0.007286384976525822,41.87545,36.22583,True
aroon_osc_25,0.007286384976525822,18.240097,66.43104,True
linreg_slope_5,0.0,0.0030490516,0.013020248,True
linreg_slope_10,0.0,0.0018339992,0.0076386677,True
linreg_slope_20,0.0,0.00092146435,0.00459308,True
linreg_slope_60,0.0459906103286385,0.00028344948,0.0025417283,True
linreg_slope_120,0.10657276995305165,0.00032380215,0.0017854485,True
trix_15,0.0,0.057859115,0.29340318,True
vortex_pos_14,0.0,0.9976836,0.18187028,True
vortex_neg_14,0.0,0.8752617,0.18946545,True
psar_dist,0.0,0.017341178,0.074938275,True
roc_5,0.0,0.017251736,0.058316104,True
roc_10,0.0,0.023878098,0.07549454,True
roc_20,0.0020093896713615023,0.030807272,0.101647064,True
roc_60,0.04676056338028169,0.055803545,0.18854219,True
roc_120,0.1076244131455399,0.1058005,0.2992645,True
rsi_6,0.0,58.155712,22.569164,True
rsi_14,0.0,55.487408,14.728489,True
rsi_28,0.0,53.753586,10.532132,True
stoch_k_14_3,0.0,58.175774,28.649424,True
stoch_d_14_3,0.0,56.71793,27.295828,True
stoch_k_60_3,0.047248826291079814,57.597973,29.622766,True
stoch_d_60_3,0.04935211267605634,56.626556,29.005796,True
stochrsi_14,0.0,0.60699767,0.39042285,True
willr_14,0.0,-40.084053,32.615875,True
willr_28,0.010028169014084508,-40.399612,32.09382,True
cci_14,0.0,50.40634,142.99327,True
cci_20,0.0,52.760765,148.7534,True
cci_60,0.0459906103286385,49.908802,142.39734,True
cmo_14,0.0,12.967791,37.848488,True
ppo_12_26,0.0,0.5523758,2.245855,True
tsi_25_13,0.0,6.914404,21.996433,True
uo_7_14_28,0.010028169014084508,50.76952,12.519648,True
ao_5_34,0.016694835680751172,0.010130095,0.055653475,True
ret_lag_1,0.0,0.0049771895,0.028798303,True
ret_lag_2,0.0,0.0044101225,0.025582476,True
ret_lag_3,0.0,0.0031182603,0.022282915,True
ret_lag_4,0.0,0.0022545566,0.02100606,True
ret_lag_5,0.0,0.002113262,0.019317292,True
ret_lag_6,0.0,0.0015839443,0.01848803,True
ret_lag_7,0.0,0.0013469177,0.01812475,True
ret_lag_8,0.0,0.0012355736,0.017531209,True
ret_lag_9,0.0,0.0012350957,0.018547865,True
ret_lag_10,0.0,0.0008726124,0.017706553,True
up_ratio_5,0.0,0.50768447,0.23989251,True
up_ratio_10,0.0,0.48532206,0.167723,True
up_ratio_20,0.0,0.46842718,0.11842391,True
up_ratio_60,0.0459906103286385,0.4560264,0.07084098,True
up_ratio_120,0.10657276995305165,0.45442423,0.053940915,True
mom_accel_5_20,0.0020093896713615023,-0.013649185,0.07369816,True
atr_ratio_14,0.0,0.022544865,0.012270173,True
atr_ratio_28,0.0,0.022254184,0.01170453,True
ret_std_5,0.0,0.017791923,0.014757515,True
parkinson_5,0.0,0.015214754,0.009389283,True
gk_vol_5,0.0,0.014752687,0.008914558,True
