,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.0040875594,0.025454203,True
ema_ratio_5,0.0,0.0034604769,0.020906825,True
wma_ratio_5,0.0,0.0028248017,0.019159365,True
sma_ratio_10,0.0,0.0070797536,0.0365461,True
ema_ratio_10,0.0,0.0061360453,0.031346302,True
wma_ratio_10,0.0,0.005151347,0.028861409,True
sma_ratio_20,0.0,0.011096874,0.049015082,True
ema_ratio_20,0.0,0.00986854,0.04319911,True
wma_ratio_20,0.0,0.008328849,0.03990043,True
sma_ratio_60,0.03964540753508988,0.021225374,0.07741487,True
ema_ratio_60,0.0,0.021250743,0.06778643,True
wma_ratio_60,0.03964540753508988,0.015184799,0.06242063,True
sma_ratio_120,0.10178117048346055,0.03954218,0.107700326,True
ema_ratio_120,0.0,0.036730558,0.09177844,True
wma_ratio_120,0.10178117048346055,0.027429193,0.084398486,True
sma_cross_5_20,0.0,0.006626366,0.032010593,True
sma_cross_10_60,0.03964540753508988,0.013906253,0.055590473,True
sma_cross_20_120,0.10178117048346055,0.027722917,0.081709564,True
macd_diff_12_26_9,0.0,0.0035524215,0.018063659,True
macd_signal_12_26_9,0.0,0.0030048047,0.015872752,True
macd_hist_12_26_9,0.0,0.000547617,0.005856293,True
macd_diff_5_35_5,0.0,0.0082801785,0.039796405,True
macd_signal_5_35_5,0.0,0.007252441,0.035843067,True
macd_hist_5_35_5,0.0,0.0010277373,0.009568001,True
adx_14,0.0,25.72063,10.755878,True
pdi_14,0.0,25.559847,9.702707,True
mdi_14,0.0,20.116543,9.078455,True
adx_28,0.0,19.960155,10.728339,True
pdi_28,0.0,24.276394,6.8018365,True
mdi_28,0.0,19.92387,6.46735,True
aroon_up_14,0.0,62.723232,37.926426,True
aroon_dn_14,0.0,43.683823,38.039932,True
aroon_osc_14,0.0,19.039412,67.50884,True
aroon_up_25,0.007633587786259542,61.51927,37.746178,True
aroon_dn_25,0.007633587786259542,41.56857,36.62636,True
aroon_osc_25,0.007633587786259542,19.950703,65.55978,True
linreg_slope_5,0.0,0.0014642266,0.01073713,True
linreg_slope_10,0.0,0.0009416893,0.00624353,True
linreg_slope_20,0.0,0.00060952915,0.0037685195,True
linreg_slope_60,0.03964540753508988,0.00040091755,0.0021034654,True
linreg_slope_120,0.10178117048346055,0.0004020391,0.0014993197,True
trix_15,0.0,0.055636976,0.23129277,True
vortex_pos_14,0.0,0.98762125,0.1832221,True
vortex_neg_14,0.0,0.88051003,0.17976417,True
psar_dist,0.0,0.009120616,0.06377865,True
roc_5,0.0,0.009018191,0.046578445,True
roc_10,0.0,0.013336793,0.059737824,True
roc_20,0.002790774029385209,0.019384012,0.076140866,True
roc_60,0.040384141836985965,0.044438936,0.13566762,True
roc_120,0.1028482311417549,0.08734219,0.21152811,True
rsi_6,0.0,56.008842,22.351704,True
rsi_14,0.0,54.62145,14.199363,True
rsi_28,0.0,53.70766,9.74496,True
stoch_k_14_3,0.0,58.12771,29.639053,True
stoch_d_14_3,0.0,57.54834,28.048084,True
stoch_k_60_3,0.040548305015185096,60.44356,29.996061,True
stoch_d_60_3,0.04317491586637117,60.087135,29.34408,True
stochrsi_14,0.0,0.5621925,0.39675134,True
willr_14,0.0,-41.29498,34.199287,True
willr_28,0.009685627513748666,-40.41552,33.120182,True
cci_14,0.0,35.900063,142.61401,True
cci_20,0.0,39.81716,147.37585,True
cci_60,0.03964540753508988,47.149246,137.26047,True
cmo_14,0.0,10.3201,36.8222,True
ppo_12_26,0.0,0.43204293,1.7916064,True
tsi_25_13,0.0,7.238926,20.59647,True
uo_7_14_28,0.009685627513748666,53.036724,13.354758,True
ao_5_34,0.01321513584502996,0.007484518,0.04540913,True
ret_lag_1,0.0,0.0029357725,0.026489524,True
ret_lag_2,0.0,0.0019551397,0.024092061,True
ret_lag_3,0.0,0.001898326,0.021542998,True
ret_lag_4,0.0,0.0010053066,0.020887438,True
ret_lag_5,0.0,0.0012585487,0.01671799,True
ret_lag_6,0.0,0.0009342171,0.01561938,True
ret_lag_7,0.0,0.00073307316,0.015141876,True
ret_lag_8,0.0,0.0007242102,0.014670903,True
ret_lag_9,0.0,0.0011854093,0.019081414,True
ret_lag_10,0.0,0.0006482358,0.015685467,True
up_ratio_5,0.0,0.4885168,0.23796314,True
up_ratio_10,0.0,0.47479275,0.16349915,True
up_ratio_20,0.0,0.46588275,0.11376192,True
up_ratio_60,0.03964540753508988,0.45891592,0.06974452,True
up_ratio_120,0.10178117048346055,0.4569215,0.05414829,True
mom_accel_5_20,0.002790774029385209,-0.010528315,0.054342005,True
atr_ratio_14,0.0,0.019299835,0.010250505,True
atr_ratio_28,0.0,0.019177204,0.0097998865,True
ret_std_5,0.0,0.0152818365,0.016352827,True
parkinson_5,0.0,0.012508272,0.0074217194,True
gk_vol_5,0.0,0.012138113,0.0070388396,True
ret_std_10,0.0,0.014604369,0.012805496,True
parkinson_10,0.0,0.011851992,0.0065316753,True
gk_vol_10,0.0,0.011575896,0.0062398375,True
ret_std_20,0.002790774029385209,0.01393604,0.010002977,True
parkinson_20,0.0,0.011460552,0.0059775715,True
gk_vol_20,0.0,0.011256134,0.005748664,True
ret_std_60,0.040384141836985965,0.014351145,0.009249162,True
parkinson_60,0.03964540753508988,0.0116290385,0.005667358,True
gk_vol_60,0.03964540753508988,0.011435539,0.0054647312,True
ret_std_120,0.1028482311417549,0.014677641,0.009386737,True
parkinson_120,0.10178117048346055,0.011722858,0.005523694,True
gk_vol_120,0.10178117048346055,0.011532304,0.005340123,True
bb_pctb_20,0.0,0.61197454,0.41232237,True
bb_bw_20,0.0,0.09303063,0.06973876,True
bb_pctb_60,0.03964540753508988,0.6402945,0.4010618,True
bb_bw_60,0.03964540753508988,0.15485926,0.11384665,True
keltner_pos_20_10,0.0,0.2626496,0.8927497,True
donchian_pos_5,0.0,0.56702954,0.34755152,True
donchian_pos_10,0.0,0.57983804,0.34557757,True
donchian_pos_20,0.0,0.59413195,0.3363797,True
donchian_pos_60,0.03964540753508988,0.6075999,0.31659287,True
donchian_pos_120,0.10178117048346055,0.6288374,0.3012047,True
dist_high_20,0.0,-0.036760382,0.045141086,True
dist_low_20,0.0,0.06094529,0.06403044,True
dist_high_60,0.03964540753508988,-0.05960802,0.0677836,True
dist_low_60,0.03964540753508988,0.11430889,0.12616397,True
dist_high_120,0.10178117048346055,-0.078086756,0.084087014,True
dist_low_120,0.10178117048346055,0.18389896,0.2129027,True
mdd_20,0.0,-0.049324248,0.043864824,True
mdd_60,0.03964540753508988,-0.09214203,0.06926152,True
vol_ratio_5_60,0.040384141836985965,1.0394378,0.49271426,True
ulcer_14,0.008290240499056061,2.8232596,2.7265463,True
vol_sma_ratio_5,0.0,0.43994698,0.44449833,True
vol_sma_ratio_10,0.0,0.6119527,0.568529,True
vol_sma_ratio_20,0.0,0.73652077,0.6735937,True
vol_sma_ratio_60,0.03964540753508988,0.74461716,0.93949914,True
vol_sma_ratio_120,0.10178117048346055,0.75587755,1.14143,True
vol_z_20,0.0,1.4201503,0.866088,True
vol_z_60,0.03964540753508988,1.2762036,1.1887505,True
obv_slope_10,0.0,0.09621541,0.38683566,True
obv_slope_20,0.0,0.07538867,0.26468593,True
obv_slope_60,0.03964540753508988,0.05967278,0.1630584,True
cmf_20,0.0,0.060078174,0.23392737,True
mfi_14,0.0008208158909956497,56.046516,18.947994,True
ad_roc_10,0.0,0.06616484,0.3007886,True
ad_roc_20,0.002790774029385209,0.060262054,0.23398246,True
force_13,0.0,0.0025865121,0.0148950275,True
eom_14,0.060083723220881555,-0.0020931168,0.11159135,True
vwap_ratio_5,0.0,0.0031276448,0.02220145,True
vwap_ratio_20,0.0,0.0088979,0.04282328,True
pvt_roc_10,0.0,0.002566956,0.014572821,True
pvt_roc_20,0.003447426742181729,0.002015832,0.009561359,True
pv_corr_20,0.06484445538865632,0.08934094,0.38681382,True
pv_corr_60,0.18944430764179596,0.07520567,0.27237117,True
turnover_z_20,0.060247886399080686,1.3401507,0.5762115,True
turnover_z_60,0.18796683903800376,1.2389754,0.7498905,True
