,nan_ratio,mean,std,kept
sma_ratio_5,0.002760136473414519,0.0015107277,0.022689996,True
ema_ratio_5,0.0,0.0012985391,0.018601745,True
wma_ratio_5,0.002760136473414519,0.00094609516,0.01660266,True
sma_ratio_10,0.006210307065182667,0.0035369892,0.03554325,True
ema_ratio_10,0.0,0.0029990657,0.029900858,True
wma_ratio_10,0.006210307065182667,0.0022488283,0.026632309,True
sma_ratio_20,0.013110648248718965,0.007588396,0.053374764,True
ema_ratio_20,0.0,0.006384872,0.044956673,True
wma_ratio_20,0.013110648248718965,0.0048370953,0.040333785,True
sma_ratio_60,0.04071201298286415,0.02210011,0.09800229,True
ema_ratio_60,0.0,0.019598035,0.08171665,True
wma_ratio_60,0.04071201298286415,0.014002813,0.073723726,True
sma_ratio_120,0.08211406008408194,0.0459832,0.14715658,True
ema_ratio_120,0.0,0.038756978,0.11936552,True
wma_ratio_120,0.08211406008408194,0.029470343,0.1087051,True
sma_cross_5_20,0.013110648248718965,0.0057453397,0.04158901,True
sma_cross_10_60,0.04071201298286415,0.018037928,0.08114529,True
sma_cross_20_120,0.08211406008408194,0.036876637,0.11779348,True
macd_diff_12_26_9,0.0,0.00316795,0.023414962,True
macd_signal_12_26_9,0.0,0.003155005,0.021810355,True
macd_hist_12_26_9,0.0,1.2945268e-05,0.007246459,True
macd_diff_5_35_5,0.0,0.006787052,0.049011115,True
macd_signal_5_35_5,0.0,0.006760659,0.047173534,True
macd_hist_5_35_5,0.0,2.6392921e-05,0.010314501,True
adx_14,0.0008242074191446133,26.850595,12.825762,True
pdi_14,0.0,24.63108,8.71561,True
mdi_14,0.0,20.835747,8.273373,True
adx_28,0.0008242074191446133,21.159344,12.858101,True
pdi_28,0.0,24.465477,6.7909617,True
mdi_28,0.0,20.752245,6.446539,True
aroon_up_14,0.009660477656950816,50.62983,36.416172,True
aroon_dn_14,0.009660477656950816,41.408264,35.77702,True
aroon_osc_14,0.009660477656950816,9.221563,62.72056,True
aroon_up_25,0.017250852958840743,51.767757,35.622658,True
aroon_dn_25,0.017250852958840743,40.174953,34.78584,True
aroon_osc_25,0.017250852958840743,11.592807,61.2361,True
linreg_slope_5,0.002760136473414519,0.00048882526,0.010589508,True
linreg_slope_10,0.006210307065182667,0.00049057207,0.007430967,True
linreg_slope_20,0.013110648248718965,0.00049400656,0.005212937,True
linreg_slope_60,0.04071201298286415,0.0004563429,0.0028333026,True
linreg_slope_120,0.08211406008408194,0.00045858978,0.0018965258,True
trix_15,0.0006900341183536297,0.067905895,0.33697912,True
vortex_pos_14,0.009660477656950816,0.97744316,0.16322267,True
vortex_neg_14,0.009660477656950816,0.9273351,0.17146304,True
psar_dist,0.0006900341183536297,0.00041401078,0.07090625,True
roc_5,0.0034501705917681486,0.0046449136,0.047343962,True
roc_10,0.006900341183536297,0.009476427,0.06874516,True
roc_20,0.013800682367072594,0.01924271,0.101848885,True
roc_60,0.04140204710121778,0.056570485,0.20392926,True
roc_120,0.08280409420243556,0.12038217,0.3537321,True
rsi_6,0.001098943225526151,52.379932,18.208456,True
rsi_14,0.001098943225526151,52.305027,12.551107,True
rsi_28,0.001098943225526151,52.102085,9.853595,True
stoch_k_14_3,0.010350511775304445,52.0318,27.418737,True
stoch_d_14_3,0.011730580012011705,52.030727,26.619507,True
stoch_k_60_3,0.04209208121957141,55.032013,27.954657,True
stoch_d_60_3,0.04347214945627867,55.020397,27.741058,True
stochrsi_14,0.010069386764123337,0.5002662,0.3589148,True
willr_14,0.008970443538597186,-47.971573,29.558228,True
willr_28,0.018630921195548003,-46.651283,29.125353,True
cci_14,0.008970443538597186,13.7951145,110.2833,True
cci_20,0.013110648248718965,16.671461,113.560936,True
cci_60,0.04071201298286415,26.559877,117.26909,True
cmo_14,0.009660477656950816,5.3270826,33.896694,True
ppo_12_26,0.0,0.4219652,2.3663297,True
tsi_25_13,0.0007698991783482628,4.5454707,22.42383,True
uo_7_14_28,0.018720370062741992,48.36204,11.535113,True
ao_5_34,0.022771125905669782,0.006964588,0.060385562,True
ret_lag_1,0.0006900341183536297,0.00091037934,0.020693997,True
ret_lag_2,0.0013800682367072594,0.00090817665,0.02069712,True
ret_lag_3,0.002070102355060889,0.0009063838,0.020701148,True
ret_lag_4,0.002760136473414519,0.0009039095,0.020705627,True
ret_lag_5,0.0034501705917681486,0.0009042364,0.020710181,True
ret_lag_6,0.004140204710121778,0.0009008477,0.020714277,True
ret_lag_7,0.004830238828475408,0.0008996553,0.020718833,True
ret_lag_8,0.005520272946829038,0.000894934,0.020721426,True
ret_lag_9,0.006210307065182667,0.0008982384,0.020724028,True
ret_lag_10,0.006900341183536297,0.00089954975,0.020724874,True
up_ratio_5,0.002760136473414519,0.46249276,0.21853818,True
up_ratio_10,0.006210307065182667,0.46253845,0.15607034,True
up_ratio_20,0.013110648248718965,0.46260813,0.11343882,True
up_ratio_60,0.04071201298286415,0.46165022,0.0705818,True
up_ratio_120,0.08211406008408194,0.46176887,0.054526985,True
mom_accel_5_20,0.013800682367072594,-0.014494999,0.08837061,True
atr_ratio_14,0.0,0.024793366,0.014557046,True
atr_ratio_28,0.0,0.024731392,0.014772888,True
ret_std_5,0.0034501705917681486,0.016205909,0.012727589,True
parkinson_5,0.002760136473414519,0.0147481635,0.009288711,True
gk_vol_5,0.002760136473414519,0.014574509,0.009050688,True
ret_std_10,0.006900341183536297,0.017015414,0.011656976,True
parkinson_10,0.006210307065182667,0.015006873,0.008843918,True
gk_vol_10,0.006210307065182667,0.014807238,0.0086441785,True
