,nan_ratio,mean,std,kept
sma_ratio_5,0.002097060540707996,0.002004836,0.025651565,True
ema_ratio_5,0.0,0.0017457075,0.020872213,True
wma_ratio_5,0.002097060540707996,0.0012577461,0.018805249,True
sma_ratio_10,0.004718386216592992,0.00462404,0.039494827,True
ema_ratio_10,0.0,0.004026916,0.033242416,True
wma_ratio_10,0.004718386216592992,0.0029442064,0.029773941,True
sma_ratio_20,0.009961037568362982,0.009835023,0.058676276,True
ema_ratio_20,0.0,0.008557031,0.049790964,True
wma_ratio_20,0.009961037568362982,0.0062812353,0.04457896,True
sma_ratio_60,0.030931642975442944,0.029508326,0.10920063,True
ema_ratio_60,0.0,0.02631491,0.09163439,True
wma_ratio_60,0.030931642975442944,0.018799974,0.08180907,True
sma_ratio_120,0.062387551086062885,0.06169727,0.16707632,True
ema_ratio_120,0.0,0.05204699,0.13544576,True
wma_ratio_120,0.062387551086062885,0.03924794,0.12245043,True
sma_cross_5_20,0.009961037568362982,0.0074719046,0.045583583,True
sma_cross_10_60,0.030931642975442944,0.024087006,0.09030678,True
sma_cross_20_120,0.062387551086062885,0.049607843,0.1345346,True
macd_diff_12_26_9,0.0,0.0043827556,0.025857871,True
macd_signal_12_26_9,0.0,0.004344931,0.024122816,True
macd_hist_12_26_9,0.0,3.7824768e-05,0.007892745,True
macd_diff_5_35_5,0.0,0.009387157,0.054182455,True
macd_signal_5_35_5,0.0,0.009342723,0.052158035,True
macd_hist_5_35_5,0.0,4.443566e-05,0.011359307,True
adx_14,0.0006434163022626807,26.392113,12.113751,True
pdi_14,0.0,25.108252,8.323807,True
mdi_14,0.0,21.295824,8.168811,True
adx_28,0.0006434163022626807,20.618807,11.823144,True
pdi_28,0.0,24.937635,6.4384384,True
mdi_28,0.0,21.217379,6.3365173,True
aroon_up_14,0.007339711892477987,52.362156,36.43342,True
aroon_dn_14,0.007339711892477987,41.727898,35.93683,True
aroon_osc_14,0.007339711892477987,10.634251,63.312347,True
aroon_up_25,0.013106628379424976,53.671772,35.57555,True
aroon_dn_25,0.013106628379424976,40.54866,35.073242,True
aroon_osc_25,0.013106628379424976,13.123112,61.93843,True
linreg_slope_5,0.002097060540707996,0.00066554354,0.011924019,True
linreg_slope_10,0.004718386216592992,0.00067188794,0.008165087,True
linreg_slope_20,0.009961037568362982,0.0006695489,0.005695336,True
linreg_slope_60,0.030931642975442944,0.00061694096,0.003137053,True
linreg_slope_120,0.062387551086062885,0.00061493093,0.0021825503,True
trix_15,0.000524265135176999,0.09063714,0.37313476,True
vortex_pos_14,0.007339711892477987,0.9728638,0.16285317,True
vortex_neg_14,0.007339711892477987,0.9143064,0.1677588,True
psar_dist,0.000524265135176999,0.0019285639,0.07879005,True
roc_5,0.0026213256758849954,0.006092509,0.05291783,True
roc_10,0.005242651351769991,0.0122846775,0.07567107,True
roc_20,0.010485302703539982,0.024731418,0.11089915,True
roc_60,0.03145590811061994,0.07523292,0.22828324,True
roc_120,0.06291181622123988,0.16167058,0.40258548,True
rsi_6,0.000738737235931226,52.822834,18.024664,True
rsi_14,0.000738737235931226,52.71924,12.26789,True
rsi_28,0.000738737235931226,52.542747,9.391039,True
stoch_k_14_3,0.007863977027654985,52.982677,27.583733,True
stoch_d_14_3,0.008912507298008984,52.976257,26.763262,True
stoch_k_60_3,0.031980173245796946,56.541622,28.388992,True
stoch_d_60_3,0.03302870351615094,56.529972,28.171404,True
stochrsi_14,0.007554183993232213,0.5024263,0.35926518,True
willr_14,0.006815446757300988,-47.01765,29.753191,True
willr_28,0.014155158649778975,-45.448097,29.460354,True
cci_14,0.006815446757300988,16.010448,109.36659,True
cci_20,0.009961037568362982,18.98977,112.32205,True
cci_60,0.030931642975442944,29.382364,115.97693,True
cmo_14,0.007339711892477987,6.088749,33.450996,True
ppo_12_26,0.0,0.569024,2.6230745,True
tsi_25_13,0.000524265135176999,5.3541827,21.64564,True
uo_7_14_28,0.014262394700156089,48.439274,10.862819,True
ao_5_34,0.01730074946084097,0.009436122,0.066358656,True
ret_lag_1,0.000524265135176999,0.0012057801,0.023386328,True
ret_lag_2,0.001048530270353998,0.0012063542,0.023386806,True
ret_lag_3,0.0015727954055309971,0.0012016363,0.023388408,True
ret_lag_4,0.002097060540707996,0.0011964432,0.023391888,True
