,nan_ratio,mean,std,kept
sma_ratio_5,0.0023501762632197414,0.0011675805,0.01956963,True
ema_ratio_5,0.0,0.0010217627,0.016063092,True
wma_ratio_5,0.0023501762632197414,0.00073276734,0.0144083295,True
sma_ratio_10,0.005287896592244419,0.0027353188,0.030389627,True
ema_ratio_10,0.0,0.0023745075,0.02576915,True
wma_ratio_10,0.005287896592244419,0.0017379591,0.022849107,True
sma_ratio_20,0.011163337250293772,0.0059454506,0.04599402,True
ema_ratio_20,0.0,0.005081106,0.039069917,True
wma_ratio_20,0.011163337250293772,0.0037798176,0.034647364,True
sma_ratio_60,0.03466509988249119,0.017214797,0.08807676,True
ema_ratio_60,0.0,0.015714165,0.073718466,True
wma_ratio_60,0.03466509988249119,0.01090755,0.06515309,True
sma_ratio_120,0.0699177438307873,0.036244087,0.13995393,True
ema_ratio_120,0.0,0.03209705,0.11248641,True
wma_ratio_120,0.0699177438307873,0.022801952,0.1000531,True
sma_cross_5_20,0.011163337250293772,0.0045326245,0.035745807,True
sma_cross_10_60,0.03466509988249119,0.014061381,0.072620064,True
sma_cross_20_120,0.0699177438307873,0.029070893,0.11095825,True
macd_diff_12_26_9,0.0,0.002577392,0.020448117,True
macd_signal_12_26_9,0.0,0.0025507682,0.019150976,True
macd_hist_12_26_9,0.0,2.6623522e-05,0.0061728237,True
macd_diff_5_35_5,0.0,0.0055106683,0.042779263,True
macd_signal_5_35_5,0.0,0.0054856413,0.041282557,True
macd_hist_5_35_5,0.0,2.5025576e-05,0.008775358,True
adx_14,0.0007990599294947121,25.810165,12.255808,True
pdi_14,0.0,23.754038,8.333286,True
mdi_14,0.0,21.045044,8.29202,True
adx_28,0.0007990599294947121,20.07574,12.123326,True
pdi_28,0.0,23.54998,6.49188,True
mdi_28,0.0,21.00589,6.5626783,True
aroon_up_14,0.008225616921269096,51.797478,36.527225,True
aroon_dn_14,0.008225616921269096,41.33878,35.96559,True
aroon_osc_14,0.008225616921269096,10.458701,63.33931,True
aroon_up_25,0.014688601645123384,53.120716,35.79504,True
aroon_dn_25,0.014688601645123384,39.722122,34.866936,True
aroon_osc_25,0.014688601645123384,13.398593,61.656403,True
linreg_slope_5,0.0023501762632197414,0.00038806524,0.009115502,True
linreg_slope_10,0.005287896592244419,0.0003981808,0.006293385,True
linreg_slope_20,0.011163337250293772,0.00040381768,0.004477749,True
linreg_slope_60,0.03466509988249119,0.00034715782,0.0024987154,True
linreg_slope_120,0.0699177438307873,0.00035388357,0.0017415519,True
trix_15,0.0005875440658049354,0.054253135,0.29882097,True
vortex_pos_14,0.008225616921269096,0.97402245,0.16708708,True
vortex_neg_14,0.008225616921269096,0.912417,0.16457921,True
psar_dist,0.0005875440658049354,0.002419751,0.059378617,True
roc_5,0.002937720329024677,0.0035631892,0.040499493,True
roc_10,0.005875440658049354,0.0073126457,0.058807995,True
