exp,year,rule,n,acc,f1m,P,R,ens3_acc,ens3_f1m,ens5_acc,ens5_f1m
base,2025,thr0.5,134068,53.73±0.02,53.32±0.08,54.51±0.05,44.50±0.71,53.84,53.43,53.88,53.44
base,2025,daily-med,134068,53.97±0.00,53.97±0.00,53.92±0.00,53.98±0.00,54.13,54.13,54.13,54.13
base,2026,thr0.5,81992,53.68±0.08,51.36±0.34,56.46±0.14,31.92±1.28,53.65,51.28,53.70,51.27
base,2026,daily-med,81992,54.81±0.07,54.81±0.07,54.78±0.07,54.81±0.07,54.93,54.93,54.84,54.84
hl2,2025,thr0.5,134068,53.17±0.05,52.86±0.02,53.71±0.09,45.19±0.39,53.22,52.91,,
hl2,2025,daily-med,134068,53.20±0.07,53.20±0.07,53.15±0.07,53.21±0.07,53.27,53.27,,
hl2,2026,thr0.5,81992,53.79±0.12,52.43±0.10,55.67±0.21,36.90±0.16,53.79,52.38,,
hl2,2026,daily-med,81992,54.40±0.08,54.40±0.08,54.37±0.08,54.40±0.08,54.54,54.54,,
hl3,2025,thr0.5,134068,53.32±0.17,53.02±0.18,53.87±0.19,45.42±0.27,53.45,53.14,,
hl3,2025,daily-med,134068,53.35±0.11,53.35±0.11,53.29±0.11,53.35±0.11,53.46,53.46,,
hl3,2026,thr0.5,81992,53.85±0.00,52.36±0.04,55.91±0.03,36.16±0.20,53.94,52.40,,
hl3,2026,daily-med,81992,54.55±0.07,54.55±0.07,54.52±0.07,54.55±0.07,54.50,54.50,,
