,nan_ratio,mean,std,kept
sma_ratio_5,0.0028605625773068704,0.0010676861,0.02822962,True
ema_ratio_5,0.0,0.0007814636,0.022758225,True
wma_ratio_5,0.0028605625773068704,0.0005878244,0.020415682,True
sma_ratio_10,0.0044875492180128755,0.0027019565,0.044187415,True
ema_ratio_10,0.0,0.00203307,0.036688294,True
wma_ratio_10,0.0044875492180128755,0.0015880121,0.032854713,True
sma_ratio_20,0.010322029999233182,0.00598537,0.06638897,True
ema_ratio_20,0.0,0.004592761,0.055243794,True
wma_ratio_20,0.010322029999233182,0.0036167302,0.049803216,True
sma_ratio_60,0.02966250029172404,0.018210996,0.12084103,True
ema_ratio_60,0.0,0.014983471,0.100040086,True
wma_ratio_60,0.02966250029172404,0.011059687,0.090990655,True
sma_ratio_120,0.05913829719844903,0.038633615,0.17750962,True
ema_ratio_120,0.0,0.030483313,0.14437059,True
wma_ratio_120,0.05913829719844903,0.023855861,0.13233164,True
sma_cross_5_20,0.010322029999233182,0.004466176,0.05074972,True
sma_cross_10_60,0.02966250029172404,0.014634858,0.097860456,True
sma_cross_20_120,0.05913829719844903,0.030543847,0.13941987,True
macd_diff_12_26_9,0.0,0.0014218296,0.027673906,True
macd_signal_12_26_9,0.0,0.0014686935,0.025792813,True
macd_hist_12_26_9,0.0,-4.6863825e-05,0.008650386,True
macd_diff_5_35_5,0.0,0.0030492642,0.057961807,True
macd_signal_5_35_5,0.0,0.0031007214,0.055747088,True
macd_hist_5_35_5,0.0,-5.1456616e-05,0.012390255,True
adx_14,0.0019270456523116212,26.546165,12.363232,True
pdi_14,0.0005567761659793092,25.66637,9.222009,True
mdi_14,0.0005567761659793092,21.986485,8.729941,True
adx_28,0.0019270456523116212,20.739117,12.032642,True
pdi_28,0.0005567761659793092,25.655506,7.1567335,True
mdi_28,0.0005567761659793092,21.836979,6.7937107,True
aroon_up_14,0.007411457586658709,47.631985,36.224216,True
aroon_dn_14,0.007411457586658709,43.672108,35.98741,True
aroon_osc_14,0.007411457586658709,3.9598832,62.14303,True
aroon_up_25,0.0133026161811823,48.226418,35.548073,True
aroon_dn_25,0.0133026161811823,42.87764,35.27429,True
aroon_osc_25,0.0133026161811823,5.3487773,61.182766,True
linreg_slope_5,0.0028605625773068704,0.00017796311,0.012968863,True
linreg_slope_10,0.0044875492180128755,0.00020767165,0.008872701,True
linreg_slope_20,0.010322029999233182,0.00021467256,0.006179716,True
linreg_slope_60,0.02966250029172404,0.00023167275,0.0033470483,True
linreg_slope_120,0.05913829719844903,0.00025376776,0.0022800243,True
trix_15,0.0013602675192787915,0.05256333,0.40966967,True
vortex_pos_14,0.01197568855208191,0.96215177,0.16278464,True
vortex_neg_14,0.01197568855208191,0.9442022,0.1745772,True
psar_dist,0.0013602675192787915,-0.006145788,0.087217174,True
roc_5,0.0029339103356993542,0.004230454,0.07067076,True
roc_10,0.005847816737291667,0.008762109,0.10141147,True
roc_20,0.010392043768607827,0.017925382,0.14962235,True
roc_60,0.029725846083063,0.054637887,0.28449768,True
roc_120,0.05920164298978799,0.115205936,0.4362134,True
rsi_6,0.001997059421686265,50.803627,18.379707,True
rsi_14,0.001997059421686265,50.990025,12.699251,True
rsi_28,0.001997059421686265,51.018826,9.814595,True
stoch_k_14_3,0.012142388002973918,47.930195,26.97983,True
stoch_d_14_3,0.013652685028055517,47.938023,26.169226,True
stoch_k_60_3,0.03449345037857445,49.01789,27.608349,True
stoch_d_60_3,0.03465681584044862,49.027065,27.377758,True
stochrsi_14,0.010028638965663247,0.48695338,0.35791653,True
willr_14,0.011945682650921347,-52.13146,28.98887,True
willr_28,0.017580124091071243,-51.67807,28.711206,True
cci_14,0.011945682650921347,6.455526,110.845795,True
cci_20,0.014716227524746533,7.9261246,114.61884,True
cci_60,0.03305983510090318,13.914544,120.2161,True
cmo_14,0.012009028442260311,2.1446476,34.75484,True
ppo_12_26,0.0,0.2884876,2.8289418,True
tsi_25_13,0.0018870377840975391,2.095844,22.516573,True
uo_7_14_28,0.018393617411424246,45.808628,11.780147,True
ao_5_34,0.016409893945809342,0.0031322008,0.07149126,True
ret_lag_1,0.0013602675192787915,0.00059370336,0.027114226,True
ret_lag_2,0.0014369492666891155,0.0009191989,0.03307499,True
ret_lag_3,0.0015002950580280789,0.0010308647,0.034702707,True
ret_lag_4,0.0028605625773068704,0.0006036662,0.02712112,True
ret_lag_5,0.0029339103356993542,0.0009346741,0.033082865,True
ret_lag_6,0.0029939221380204774,0.0010307706,0.034713313,True
ret_lag_7,0.0043541896572992685,0.000604534,0.027121522,True
