,nan_ratio,mean,std,kept
sma_ratio_5,0.0019377685626117244,0.0014758455,0.029105717,True
ema_ratio_5,0.0,0.0011659327,0.023762949,True
wma_ratio_5,0.0019377685626117244,0.0008807947,0.021274677,True
sma_ratio_10,0.00435997926587638,0.0034849998,0.045323633,True
ema_ratio_10,0.0,0.0027784898,0.03815115,True
wma_ratio_10,0.00435997926587638,0.0021345692,0.033992033,True
sma_ratio_20,0.009204400672405692,0.0075324355,0.06803191,True
ema_ratio_20,0.0,0.0060401466,0.057385497,True
wma_ratio_20,0.009204400672405692,0.0046391212,0.051403753,True
sma_ratio_60,0.028582086298522935,0.022959042,0.12475961,True
ema_ratio_60,0.0,0.019258492,0.10495176,True
wma_ratio_60,0.028582086298522935,0.014106342,0.094030336,True
sma_ratio_120,0.05763892589488574,0.049251787,0.18785526,True
ema_ratio_120,0.0,0.039387003,0.15392569,True
wma_ratio_120,0.05763892589488574,0.030464623,0.13892435,True
sma_cross_5_20,0.009204400672405692,0.005574802,0.052860312,True
sma_cross_10_60,0.028582086298522935,0.018453088,0.1032871,True
sma_cross_20_120,0.05763892589488574,0.039033722,0.1514163,True
macd_diff_12_26_9,0.0,0.002091337,0.029854095,True
macd_signal_12_26_9,0.0,0.0021120543,0.027911928,True
macd_hist_12_26_9,0.0,-2.071713e-05,0.009120003,True
macd_diff_5_35_5,0.0,0.00448978,0.06255229,True
macd_signal_5_35_5,0.0,0.004499702,0.060303714,True
macd_hist_5_35_5,0.0,-9.922579e-06,0.0130275255,True
adx_14,0.0010754615522495072,26.17559,12.251939,True
pdi_14,0.0005280419333116949,25.110685,8.952112,True
mdi_14,0.0005280419333116949,21.894339,8.328781,True
adx_28,0.0010754615522495072,20.167788,11.939115,True
pdi_28,0.0005280419333116949,25.013723,6.986483,True
mdi_28,0.0005280419333116949,21.776121,6.3803973,True
aroon_up_14,0.006782189969141036,49.744385,36.514668,True
aroon_dn_14,0.006782189969141036,43.513973,36.172855,True
aroon_osc_14,0.006782189969141036,6.230417,63.376976,True
aroon_up_25,0.012111053516323278,50.391,35.76868,True
aroon_dn_25,0.012111053516323278,42.76326,35.395557,True
aroon_osc_25,0.012111053516323278,7.627742,62.197227,True
linreg_slope_5,0.0019377685626117244,0.0003075292,0.013527975,True
linreg_slope_10,0.00435997926587638,0.00031314752,0.009369012,True
linreg_slope_20,0.009204400672405692,0.00031628492,0.006585637,True
linreg_slope_60,0.028582086298522935,0.00031574102,0.0036402352,True
linreg_slope_120,0.05763892589488574,0.0003319076,0.0025635385,True
trix_15,0.0004844421406529311,0.066562325,0.42994878,True
vortex_pos_14,0.00971306492009127,0.96344364,0.16355708,True
vortex_neg_14,0.00971306492009127,0.933252,0.17400494,True
psar_dist,0.0004844421406529311,-0.0033324945,0.08997842,True
roc_5,0.0024222107032646554,0.005124496,0.06080417,True
roc_10,0.004844421406529311,0.010448721,0.08799232,True
roc_20,0.009688842813058622,0.021301525,0.13000022,True
roc_60,0.029066528439175867,0.06587866,0.25637808,True
roc_120,0.05812336803553868,0.14389789,0.43446195,True
rsi_6,0.0012837716727302675,51.55533,18.215675,True
rsi_14,0.0012837716727302675,51.5493,12.507982,True
rsi_28,0.0012837716727302675,51.50818,9.678154,True
stoch_k_14_3,0.01027501780324867,49.701942,27.606829,True
stoch_d_14_3,0.011302035141432883,49.704884,26.803467,True
stoch_k_60_3,0.03141607282134258,51.608467,28.318272,True
stoch_d_60_3,0.032404334788274564,51.61301,28.098194,True
stochrsi_14,0.009664620706025976,0.49695897,0.3598407,True
willr_14,0.009248000465064455,-50.30243,29.71639,True
willr_28,0.015555437136365619,-49.481384,29.381393,True
cci_14,0.009257689307877513,9.134197,110.19027,True
cci_20,0.01196087645272087,10.713028,113.33877,True
cci_60,0.030427810854410604,17.23138,118.29053,True
cmo_14,0.00971306492009127,3.3489697,33.89379,True
ppo_12_26,0.0,0.3775746,3.0195627,True
tsi_25_13,0.001027017338184214,3.1259463,22.201483,True
uo_7_14_28,0.01632085571859725,45.73094,11.029227,True
ao_5_34,0.015986590641546727,0.004504629,0.07664377,True
ret_lag_1,0.0004844421406529311,0.0010016649,0.026438793,True
ret_lag_2,0.0009688842813058622,0.0010017002,0.026441952,True
ret_lag_3,0.0014533264219587934,0.0009938647,0.026442455,True
ret_lag_4,0.0019377685626117244,0.0009992372,0.026444823,True
ret_lag_5,0.0024222107032646554,0.001002831,0.02644877,True
ret_lag_6,0.002906652843917587,0.0009980767,0.026449597,True
ret_lag_7,0.003391094984570518,0.0009906901,0.026447253,True
ret_lag_8,0.003875537125223449,0.0009982261,0.026447738,True
ret_lag_9,0.00435997926587638,0.0010035388,0.026447896,True
ret_lag_10,0.004844421406529311,0.0010040787,0.026452446,True
up_ratio_5,0.0019377685626117244,0.46972528,0.21809536,True
up_ratio_10,0.00435997926587638,0.4698734,0.15540206,True
up_ratio_20,0.009204400672405692,0.4700283,0.1125883,True
up_ratio_60,0.028582086298522935,0.47007674,0.07125852,True
up_ratio_120,0.05763892589488574,0.47075045,0.056201935,True
mom_accel_5_20,0.009688842813058622,-0.016125537,0.112739824,True
atr_ratio_14,0.0,0.033400908,0.015863685,True
atr_ratio_28,0.0,0.0334048,0.01668213,True
ret_std_5,0.0024222107032646554,0.021939225,0.014431129,True
parkinson_5,0.0019377685626117244,0.019673213,0.01009529,True
gk_vol_5,0.0019377685626117244,0.019349193,0.009752345,True
ret_std_10,0.004844421406529311,0.022989383,0.01275729,True
parkinson_10,0.00435997926587638,0.019980792,0.009416129,True
gk_vol_10,0.00435997926587638,0.019622155,0.009142317,True
ret_std_20,0.009688842813058622,0.02363917,0.011560561,True
