,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos_ma20,0.023564266380130646,0.0012664183207237415,5.0,3.8987177379235853,candle
stoch_d_60_3,0.010154761716910805,0.002529564767127969,12.666666666666666,12.160043859570024,momentum
cs_rank_roc_5,0.016488449784928763,0.001192660699274311,13.333333333333334,17.648418248292582,cross_section
adx_14,0.012352607894622192,0.0008339912688826661,14.833333333333334,6.585337247754792,trend
mkt_roc_60,0.02010228824216161,0.0003489827833735736,17.0,18.022208521710095,cross_section
cs_excess_roc_5,0.011699016066000224,0.0007006835566594946,17.5,7.176350047203662,cross_section
ad_roc_10,0.012132815610262762,0.0006692106577487941,18.166666666666668,9.04249228181405,volume
mdd_20,0.015406882297795618,0.0005955820122398714,18.5,19.542261895696722,volatility
close_pos,0.02448486214466765,0.0010634564792448224,20.0,40.7332787779231,candle
cs_rank_roc_60,0.008765627203604786,0.0007047095050362051,25.166666666666668,17.600189392920367,cross_section
cs_excess_roc_60,0.009380040764828896,0.0003673234786219441,27.0,9.591663046625438,cross_section
parkinson_10,0.007035033502284849,0.0013622078813636158,27.0,25.25866188063018,volatility
rsi_28,0.0062514580898862665,0.001908277375182929,27.666666666666668,27.926092935938364,momentum
stoch_k_60_3,0.005844193976467408,0.0010865957916178874,31.0,28.52367437761131,momentum
parkinson_120,0.013015614114544645,0.00022316358833539428,35.0,31.578473680657844,volatility
cs_rank_ret_std_20,0.008333212798168899,0.000271507410656809,37.166666666666664,19.218914294690705,cross_section
gk_vol_10,0.005392597938423854,0.0004195729772774233,41.833333333333336,21.95829380135594,volatility
ad_roc_20,0.006179024190345206,0.0004488350861400696,42.0,27.70559510279467,volume
autocorr_60,0.016232053586741946,0.000663597434913806,42.166666666666664,80.83171819692235,stats
cmf_20,0.006764971304764414,0.0002462732283294978,42.333333333333336,14.706007842601837,volume
bb_bw_60,0.008455189345565104,0.00029146940469134314,43.5,29.70353514314416,volatility
macd_signal_12_26_9,0.004779875125624763,0.0005575582433191685,47.333333333333336,37.85058343892028,trend
linreg_slope_60,0.006493028064685601,0.00026507285637237626,48.0,17.776388834631177,trend
ret_std_10,0.006629865575089396,0.00022231654082411405,48.333333333333336,15.396969398770223,volatility
pvt_roc_20,0.012525604692424896,0.00015682129220279733,51.333333333333336,92.49792790471939,volume
gk_vol_60,0.00536095473142725,0.00025755387554499744,51.833333333333336,27.110268657220395,volatility
mkt_roc_5,0.005673350736938621,0.00027239560386690026,52.0,22.768399153212332,cross_section
atr_ratio_28,0.005536724662947973,0.00017407874780340908,56.5,18.92881401461803,volatility
donchian_pos_60,0.0035466184545074942,0.0005064754626042327,57.166666666666664,44.68743298363273,volatility
dist_high_120,0.004155024012124278,0.0002286031288455269,59.333333333333336,26.104916522882554,volatility
cumret_ex1_60,0.003950828971723464,0.0003970741926580473,60.0,36.91612113968638,stats
range_ratio_ma20,0.004803576792449272,0.00017280243987660704,62.166666666666664,24.669144019739857,candle
ev_days_since_spike3,0.017601935805709474,-0.0003359166502084282,62.666666666666664,94.75793722251804,event
cs_rank_roc_120,0.009272317766856476,0.0001463315127943929,65.66666666666667,71.18333138218993,cross_section
ulcer_14,0.008356517317748169,8.59422871437834e-05,66.33333333333333,67.49123399869548,volatility
cs_excess_roc_120,0.00590558765324703,7.680556821574068e-05,67.0,26.914680009244027,cross_section
ev_limit_up_lock,0.003014460619587121,0.00034081021894573197,69.16666666666667,45.21246140907025,event
skew_20,0.008303432656804817,3.041062774407818e-05,69.66666666666667,71.33208721653016,stats
ret_lag_1,0.003958672462651487,0.0001942156110579364,69.83333333333333,30.28145747262946,momentum
adx_28,0.010855659287940946,-3.875608323390525e-06,74.16666666666667,71.32297432571545,trend
atr_ratio_14,0.003377708624098704,0.00023579017466029354,74.16666666666667,41.696122921282104,volatility
mkt_roc_20,0.01879989469367502,0.0003270497521129635,74.33333333333333,108.19550206300937,cross_section
ev_bigmove5_cnt20,0.0040229630285942035,0.0001237290726645579,74.83333333333333,32.87805752575213,event
cs_rank_ret_std_60,0.010921567991030922,9.835562797197748e-05,75.0,84.86459803710851,cross_section
lower_shadow,0.004813982334490166,0.00019300299983792,75.83333333333333,50.44369798762445,candle
donchian_pos_120,0.005430168161635504,0.00011197881059808887,77.16666666666667,46.653688671600946,volatility
cci_60,0.0031006956343330866,0.00012936326398065793,80.33333333333333,36.93598065121145,momentum
upper_shadow_ma20,0.006866709091659013,-1.688595741613754e-05,80.5,65.75940997302212,candle
gk_vol_20,0.003241790059828197,0.00021006620026430152,81.5,38.960236138914766,volatility
hurst_120,0.006951768716420698,1.234806159442245e-05,81.5,65.17284710675145,stats
ev_spike2_cnt20,0.006095984198443862,2.825720429532206e-05,83.16666666666667,69.21969854504327,event
wma_ratio_60,0.004561797692629055,0.00034890286576626397,83.16666666666667,64.8549663993951,trend
body_range_ma20,0.005731943827030745,0.00011604036582953577,83.5,61.93464297144208,candle
parkinson_60,0.005898761547425414,5.605587142784894e-05,86.0,63.210758577950955,volatility
dist_high_20,0.004033065784746926,0.00014599443456946796,87.16666666666667,48.86068630982036,volatility
parkinson_20,0.0061292780529956644,-4.6726084220824785e-05,87.5,76.90708679959214,volatility
lower_shadow_ma20,0.0127273344836653,-0.00014121757718936015,88.33333333333333,111.65064561688243,candle
autocorr_20,0.007733423340059745,-6.352342013179098e-05,89.5,69.48596980686101,stats
obv_slope_10,0.0057079402273240145,2.9667631375031158e-05,89.75,58.304159371351886,volume
sma_cross_20_120,0.00591039323427917,-1.6115266826704436e-05,90.0,63.65217985269633,trend
up_ratio_120,0.014329367226312959,-0.00021387257303681935,90.66666666666667,108.30450898585278,momentum
roc_120,0.00477244256064066,-5.614014098450249e-06,92.66666666666667,67.94900048320554,momentum
stoch_d_14_3,0.003493259034208816,0.00014149095870741313,93.0,62.292856733336606,momentum
aroon_osc_25,0.00356732289699317,0.00015824675328780636,93.5,48.43449184207469,trend
eom_14,0.008383460349013749,-4.905200309922463e-05,93.66666666666667,88.60398787112614,volume
vortex_pos_14,0.003026870539243573,5.108792392728558e-05,95.66666666666667,21.722492183602384,trend
mdd_60,0.00908449051185071,-5.252446270050578e-05,96.5,86.75886121889798,volatility
gap_ma20,0.009281124688655492,-0.00024051243486322704,98.0,107.5193005929633,candle
sma_ratio_5,0.006537828176692695,1.0496109515608363e-06,99.33333333333333,83.60542247167146,trend
wma_ratio_5,0.009353377186019593,-0.0010491104774673508,99.5,109.67178306200734,trend
stochrsi_14,0.0025643454650103024,5.632015341646331e-05,100.83333333333333,30.967186934990828,momentum
sma_ratio_60,0.0037898267832182403,5.5267377411090855e-05,101.0,51.29912279951773,trend
upper_shadow_ma5,0.0032373491614993005,6.408284338295843e-05,101.16666666666667,51.84367528124011,candle
macd_hist_5_35_5,0.003266926424442302,8.992115534587095e-05,102.66666666666667,61.979566525320806,trend
cs_idio_std_60,0.00477602595039968,-5.066855430483723e-06,103.25,56.71838326327717,cross_section
lower_shadow_ma5,0.003693256248050477,1.977565149461717e-05,103.5,39.50063290632189,candle
linreg_slope_20,0.002888689892268905,0.00011514702940710701,103.83333333333333,58.74492885915061,trend
cci_20,0.0027299094403785223,6.492791273563873e-05,104.0,34.54272716506327,momentum
sma_cross_10_60,0.003558595935253289,1.4881687125526769e-05,105.83333333333333,46.240314301123284,trend
mdi_28,0.0026709589471023434,2.512498797277749e-05,107.5,15.280706789936126,trend
kurt_20,0.003689799595533881,4.2602414809405564e-05,108.33333333333333,48.42175819470692,stats
obv_slope_60,0.014093948136926856,-0.0001499998100967792,108.33333333333333,105.4545715778442,volume
dist_high_60,0.00260581827713647,0.0002194300117993104,109.16666666666667,59.28040710611447,volatility
gk_vol_120,0.00773933150658794,-4.735474302297593e-05,109.5,79.20542910684848,volatility
cs_excess_roc_20,0.00757594072997941,-0.00045931062280666094,110.0,99.69954864491613,cross_section
macd_hist_12_26_9,0.004283500192496928,-4.571920149539406e-06,110.66666666666667,56.74739347905476,trend
gap_ma5,0.0058181138055255115,-7.504065511553124e-05,110.66666666666667,89.22480970372908,candle
linreg_slope_120,0.006816064896935357,-8.822982974547126e-05,111.0,80.5158369514967,trend
up_ratio_60,0.005788633698921801,-9.892059006733067e-05,112.33333333333333,85.11795736897511,momentum
ret_std_20,0.0037219796037175922,5.0224259883830444e-05,112.5,57.69835352936858,volatility
wma_ratio_120,0.0032616529513471945,-8.764271227384372e-05,113.33333333333333,62.35275989614787,trend
ev_limit_down_cnt20,0.0020788012088264083,5.972060804479737e-05,114.16666666666667,39.79154013941489,event
pdi_28,0.002641177113806544,5.337427963371234e-05,114.5,66.94101881507332,trend
vol_sma_ratio_120,0.0042431805729057585,-4.0142376778147984e-05,114.5,61.743825602241394,volume
donchian_pos_10,0.0019333831295013613,0.00020979835759028635,115.0,53.911037830856124,volatility
vwap_ratio_5,0.0024289501888490593,3.86180077632186e-05,115.66666666666667,38.58842658967409,volume
ema_ratio_120,0.004299886479386487,-7.808504119637899e-05,116.5,71.2593853467738,trend
ev_days_since_limit_up,0.0015312994978911518,8.322311033628595e-05,116.66666666666667,54.150407816254415,event
cs_beta_60,0.015126329697928506,-0.00025645441499683793,117.83333333333333,117.14848128194693,cross_section
cumret_ex1_120,0.005385188990881143,-9.049679949767342e-05,118.5,71.6400725851112,stats
ret_std_120,0.014404722242411737,-0.0005413832361029152,118.66666666666667,116.28872114984613,volatility
upper_shadow,0.002852816811430401,2.2581471648710735e-05,118.66666666666667,61.435060565337345,candle
obv_slope_20,0.0041053722043831046,-4.1502954261208996e-05,119.0,67.26068688320095,volume
kurt_60,0.0077767152308004005,-0.00022338039451764836,119.16666666666667,91.35954611679432,stats
vortex_neg_14,0.001970077172750446,6.182180810655593e-05,119.5,48.0364444979018,trend
ao_5_34,0.005670015859880215,-0.00015552085074110877,121.5,86.31743740403789,momentum
pv_corr_20,0.029366512987452725,-0.003201713781656901,121.66666666666667,131.81906791760693,volume
ret_std_60,0.003687311885653237,-2.4556069560310867e-05,121.66666666666667,46.64618598199286,volatility
ev_range_x_atr,0.0013720194353284056,7.030138274866093e-05,122.0,55.08538826222431,event
dist_low_60,0.0034485366318031427,9.527326124605632e-05,122.66666666666667,78.19377639343598,volatility
updown_mag_ratio_20,0.003106080890578442,-1.026585185524996e-05,123.66666666666667,28.154336551704898,stats
cs_rank_roc_20,0.003336390604651574,-6.819701763320178e-05,124.16666666666667,75.14097861131879,cross_section
roc_10,0.0023544209375732307,6.144160602405971e-06,124.83333333333333,41.90186948892217,momentum
ev_amt_pctile250,0.0019901978358432657,3.268551013069221e-05,125.33333333333333,44.125578372035726,event
dist_low_20,0.0025786347383324492,-6.897878591073504e-05,125.5,52.8270763908055,volatility
dist_low_120,0.007634390425889495,-0.00015307901176896276,126.16666666666667,93.15238411692245,volatility
cumret_ex1_20,0.001888145312956827,4.9285030181891694e-05,126.66666666666667,48.524907693540925,stats
