,nan_ratio,mean,std,kept
sma_ratio_5,0.0018644265299420544,0.0018495123,0.02579404,True
ema_ratio_5,0.0,0.0015978168,0.020984648,True
wma_ratio_5,0.0018644265299420544,0.0011529097,0.018933592,True
sma_ratio_10,0.004194959692369622,0.0042851586,0.039637532,True
ema_ratio_10,0.0,0.0037148264,0.033339214,True
wma_ratio_10,0.004194959692369622,0.0027127976,0.029915001,True
sma_ratio_20,0.00885602601722476,0.009160049,0.058700066,True
ema_ratio_20,0.0,0.007965793,0.049783517,True
wma_ratio_20,0.00885602601722476,0.00581839,0.044674546,True
sma_ratio_60,0.027500291316645303,0.027947,0.10817025,True
ema_ratio_60,0.0,0.025000324,0.09098035,True
wma_ratio_60,0.027500291316645303,0.017670443,0.08139873,True
sma_ratio_120,0.05546668926577612,0.058683716,0.16396783,True
ema_ratio_120,0.0,0.050580215,0.13376702,True
wma_ratio_120,0.05546668926577612,0.037154492,0.12083893,True
sma_cross_5_20,0.00885602601722476,0.0069592604,0.045608312,True
sma_cross_10_60,0.027500291316645303,0.022891702,0.08946562,True
sma_cross_20_120,0.05546668926577612,0.0474092,0.13202144,True
macd_diff_12_26_9,0.0,0.0040450627,0.02577034,True
macd_signal_12_26_9,0.0,0.004047243,0.024024295,True
macd_hist_12_26_9,0.0,-2.1805504e-06,0.007910145,True
macd_diff_5_35_5,0.0,0.008661038,0.054025963,True
macd_signal_5_35_5,0.0,0.008661778,0.05197967,True
macd_hist_5_35_5,0.0,-7.3891096e-07,0.011411641,True
adx_14,0.0005720399580504031,26.02012,11.8496475,True
pdi_14,0.0,25.072279,8.274572,True
mdi_14,0.0,21.421743,8.093628,True
adx_28,0.0005720399580504031,20.246748,11.448519,True
pdi_28,0.0,24.964243,6.369005,True
mdi_28,0.0,21.3358,6.247964,True
aroon_up_14,0.00652549285479719,51.978966,36.37356,True
aroon_dn_14,0.00652549285479719,42.264053,35.980133,True
aroon_osc_14,0.00652549285479719,9.714905,63.210495,True
aroon_up_25,0.011652665812137841,53.15727,35.5583,True
aroon_dn_25,0.011652665812137841,41.100506,35.091526,True
aroon_osc_25,0.011652665812137841,12.056764,61.808205,True
linreg_slope_5,0.0018644265299420544,0.00058623287,0.011985374,True
linreg_slope_10,0.004194959692369622,0.00059890613,0.008190337,True
linreg_slope_20,0.00885602601722476,0.00060542126,0.0056970026,True
linreg_slope_60,0.027500291316645303,0.00058524637,0.0031196112,True
linreg_slope_120,0.05546668926577612,0.0005884587,0.0021586635,True
trix_15,0.0004661066324855136,0.08587302,0.37074226,True
vortex_pos_14,0.00652549285479719,0.97038877,0.1614926,True
vortex_neg_14,0.00652549285479719,0.9165194,0.16701727,True
psar_dist,0.0004661066324855136,0.00133017,0.07946215,True
roc_5,0.002330533162427568,0.0057310704,0.05314284,True
roc_10,0.004661066324855136,0.0115696,0.075783744,True
roc_20,0.009322132649710272,0.023343412,0.110417545,True
roc_60,0.027966397949130816,0.07190996,0.22267817,True
roc_120,0.05593279589826163,0.15477975,0.3882543,True
rsi_6,0.0006567866185023146,52.56246,17.967083,True
rsi_14,0.0006567866185023146,52.512005,12.184908,True
rsi_28,0.0006567866185023146,52.399128,9.270797,True
stoch_k_14_3,0.006991599487282704,52.52454,27.588892,True
stoch_d_14_3,0.007923812752253732,52.528526,26.767996,True
stoch_k_60_3,0.028432504581616332,55.95974,28.343916,True
stoch_d_60_3,0.029364717846587358,55.96301,28.122139,True
stochrsi_14,0.006716172840813992,0.5013874,0.35907266,True
willr_14,0.006059386222311677,-47.481712,29.760334,True
willr_28,0.012584879077108868,-46.01282,29.414114,True
cci_14,0.006059386222311677,14.646068,109.3247,True
cci_20,0.00885602601722476,17.359152,112.327675,True
cci_60,0.027500291316645303,27.893337,116.202805,True
cmo_14,0.00652549285479719,5.553687,33.32444,True
ppo_12_26,0.0,0.533767,2.6125114,True
tsi_25_13,0.0004661066324855136,5.000491,21.410978,True
uo_7_14_28,0.012680219070117267,48.165806,10.885916,True
ao_5_34,0.01538151887202195,0.008594831,0.06614537,True
ret_lag_1,0.0004661066324855136,0.0011344389,0.023576364,True
ret_lag_2,0.0009322132649710272,0.0011347453,0.023578476,True
ret_lag_3,0.0013983198974565408,0.0011259887,0.023578579,True
ret_lag_4,0.0018644265299420544,0.0011317023,0.02357985,True
ret_lag_5,0.002330533162427568,0.0011352812,0.023583038,True
ret_lag_6,0.0027966397949130816,0.0011309464,0.023584493,True
ret_lag_7,0.003262746427398595,0.0011260954,0.023582183,True
ret_lag_8,0.003728853059884109,0.001130672,0.023582801,True
ret_lag_9,0.004194959692369622,0.0011332476,0.023581568,True
ret_lag_10,0.004661066324855136,0.0011329995,0.02358401,True
up_ratio_5,0.0018644265299420544,0.47898287,0.21690485,True
up_ratio_10,0.004194959692369622,0.47909424,0.15242541,True
up_ratio_20,0.00885602601722476,0.47920227,0.10787313,True
up_ratio_60,0.027500291316645303,0.47911778,0.06461117,True
up_ratio_120,0.05546668926577612,0.47960973,0.04762888,True
mom_accel_5_20,0.009322132649710272,-0.017585808,0.09598972,True
atr_ratio_14,0.0,0.02995051,0.01612888,True
atr_ratio_28,0.0,0.02987266,0.018036693,True
ret_std_5,0.002330533162427568,0.01979877,0.01279318,True
parkinson_5,0.0018644265299420544,0.017513365,0.009103903,True
gk_vol_5,0.0018644265299420544,0.017358268,0.008894182,True
ret_std_10,0.004661066324855136,0.020693576,0.011285629,True
parkinson_10,0.004194959692369622,0.017767087,0.008543621,True
gk_vol_10,0.004194959692369622,0.017583864,0.008380197,True
ret_std_20,0.009322132649710272,0.021238724,0.0101993345,True
parkinson_20,0.00885602601722476,0.017960912,0.008082014,True
gk_vol_20,0.00885602601722476,0.017760223,0.00795558,True
ret_std_60,0.027966397949130816,0.021768367,0.009026443,True
parkinson_60,0.027500291316645303,0.018207164,0.007493296,True
gk_vol_60,0.027500291316645303,0.017995613,0.0074009537,True
ret_std_120,0.05593279589826163,0.021984806,0.008510511,True
parkinson_120,0.05546668926577612,0.018336957,0.0071980627,True
gk_vol_120,0.05546668926577612,0.018120397,0.007107475,True
bb_pctb_20,0.00885602601722476,0.5502688,0.32316002,True
bb_bw_20,0.00885602601722476,0.14528002,0.09960997,True
bb_pctb_60,0.027500291316645303,0.58418435,0.34245664,True
bb_bw_60,0.027500291316645303,0.25357813,0.16586752,True
keltner_pos_20_10,0.0,0.12634347,0.70464987,True
donchian_pos_5,0.002224599836862679,0.5036,0.30456567,True
donchian_pos_10,0.0042161463574826,0.51810294,0.29877993,True
donchian_pos_20,0.00885602601722476,0.53256744,0.29639462,True
donchian_pos_60,0.027500291316645303,0.559581,0.28892234,True
donchian_pos_120,0.05546668926577612,0.5852973,0.27972752,True
dist_high_20,0.00885602601722476,-0.063068494,0.056136403,True
dist_low_20,0.00885602601722476,0.09046858,0.091022566,True
dist_high_60,0.027500291316645303,-0.09906173,0.08290939,True
dist_low_60,0.027500291316645303,0.19088013,0.20609677,True
dist_high_120,0.05546668926577612,-0.12597534,0.10324247,True
dist_low_120,0.05546668926577612,0.32446,0.39171597,True
mdd_20,0.00885602601722476,-0.07815768,0.056538127,True
mdd_60,0.027500291316645303,-0.14541927,0.08683812,True
vol_ratio_5_60,0.027966397949130816,0.9122432,0.43623456,True
ulcer_14,0.012118772444623354,4.7873354,3.8636405,True
vol_sma_ratio_5,0.002224599836862679,0.009373042,0.43278643,True
vol_sma_ratio_10,0.0042161463574826,0.018065505,0.5478048,True
vol_sma_ratio_20,0.00885602601722476,0.02332237,0.6419786,True
vol_sma_ratio_60,0.027500291316645303,0.032315753,0.7886576,True
vol_sma_ratio_120,0.05546668926577612,0.047483686,0.88328147,True
vol_z_20,0.00885602601722476,0.004320159,1.0512576,True
vol_z_60,0.027500291316645303,0.0167421,1.0797927,True
obv_slope_10,0.0042161463574826,0.055246606,0.37503448,True
obv_slope_20,0.00885602601722476,0.060861386,0.2792256,True
obv_slope_60,0.027500291316645303,0.066083826,0.17513832,True
cmf_20,0.00885602601722476,-0.04305493,0.19626582,True
mfi_14,0.006313626203667412,54.591152,17.2084,True
ad_roc_10,0.004682252989968114,-0.04664017,0.25040305,True
ad_roc_20,0.009322132649710272,-0.04305605,0.19627169,True
force_13,0.00885602601722476,0.0022128567,0.012282542,True
eom_14,0.0481043231390163,-0.003921028,0.16608152,True
vwap_ratio_5,0.002224599836862679,0.00015540239,0.025024416,True
vwap_ratio_20,0.00885602601722476,0.005075582,0.054213308,True
pvt_roc_10,0.005148359622453628,0.0024183432,0.011767965,True
pvt_roc_20,0.009788239282195786,0.0027509523,0.009420192,True
pv_corr_20,0.042352143560842805,0.1229364,0.38748205,True
pv_corr_60,0.11965169122554264,0.1323726,0.26900437,True
turnover_z_20,0.041886036928357295,-0.0066222525,1.0556582,True
turnover_z_60,0.11918558459305713,0.03265032,1.0776234,True
pv_diverge_20,0.0,0.21753408,0.41257095,True
body_range,0.003527579741310819,-0.048271235,0.5508927,True
upper_shadow,0.003527579741310819,0.26719588,0.23100613,True
lower_shadow,0.003527579741310819,0.25756502,0.22685088,True
close_pos,0.003527579741310819,0.47104892,0.3268808,True
gap,0.0004661066324855136,0.0021123048,0.013544809,True
range_ratio,0.0,0.027516065,0.018331038,True
body_range_ma5,0.0145658322651723,-0.047803126,0.23931377,True
body_range_ma20,0.0555832159238975,-0.047889918,0.1309369,True
upper_shadow_ma5,0.0145658322651723,0.26712283,0.11125365,True
upper_shadow_ma20,0.0555832159238975,0.2671826,0.06483418,True
lower_shadow_ma5,0.0145658322651723,0.25765023,0.111729465,True
lower_shadow_ma20,0.0555832159238975,0.2576741,0.06911286,True
close_pos_ma5,0.0145658322651723,0.47136214,0.1517501,True
close_pos_ma20,0.0555832159238975,0.4713008,0.09023527,True
gap_ma5,0.002330533162427568,0.0021163644,0.0065387934,True
gap_ma20,0.009322132649710272,0.0021307555,0.003750522,True
range_ratio_ma5,0.0018644265299420544,0.02749536,0.01415391,True
range_ratio_ma20,0.00885602601722476,0.027452137,0.012369826,True
skew_20,0.009322132649710272,0.16943987,0.8327485,True
kurt_20,0.009322132649710272,1.0653163,2.0395863,True
autocorr_20,0.009788239282195786,-0.07157603,0.21427412,True
ret_z_20,0.009322132649710272,0.04805683,1.0145336,True
skew_60,0.027966397949130816,0.20471527,0.7582741,True
kurt_60,0.027966397949130816,2.0194519,2.6698093,True
autocorr_60,0.028432504581616332,-0.035581697,0.13862774,True
ret_z_60,0.027966397949130816,0.049849454,1.015003,True
cumret_ex1_20,0.009322132649710272,0.022169929,0.10724461,True
cumret_ex1_60,0.027966397949130816,0.07064509,0.21989769,True
cumret_ex1_120,0.05593279589826163,0.15340671,0.38576594,True
updown_mag_ratio_20,0.009322132649710272,1.1878469,0.5126438,True
hurst_120,0.05593279589826163,0.52246183,0.045596976,True
dow_0,0.0,0.19561648,0.39667663,True
dow_1,0.0,0.20248096,0.40185088,True
dow_2,0.0,0.20338139,0.40251598,True
dow_3,0.0,0.20109323,0.40081972,True
ev_vol_x_avg20,0.00885602601722476,1.0233222,0.6419786,True
ev_vol_vs_max20,0.009322132649710272,0.46272382,0.36781868,True
ev_spike2,0.0,0.06343287,0.2437412,True
ev_spike3,0.0,0.015964152,0.12533739,True
ev_spike2_cnt5,0.0018644265299420544,0.31759763,0.69412374,True
ev_spike2_cnt20,0.00885602601722476,1.2759424,1.471561,True
ev_days_since_spike3,0.0,42.428215,21.16301,True
ev_spike_up,0.0,0.040996198,0.19828244,True
ev_spike_down,0.0,0.021260818,0.14425331,True
ev_spike_long_red,0.0,0.014481085,0.11946353,True
ev_spike_long_black,0.0,0.006938633,0.0830094,True
ev_spike_ret,0.0004661066324855136,0.00089414587,0.011642987,True
ev_vol_pctile250,0.1160605514888929,0.51042074,0.30027318,True
ev_amt_pctile250,0.1160605514888929,0.546412,0.30115944,True
ev_vol_dryup,0.0,0.12331698,0.32880247,True
ev_vol_dryup_cnt5,0.0018644265299420544,0.61731213,1.01697,True
ev_limit_up,0.0,0.0061335396,0.07807678,True
ev_limit_down,0.0,0.002807233,0.052909188,True
ev_limit_up_lock,0.0,0.0056038727,0.07464937,True
ev_limit_down_lock,0.0,0.0023093466,0.048000395,True
ev_limit_up_cnt20,0.00885602601722476,0.12341417,0.44290936,True
ev_limit_down_cnt20,0.00885602601722476,0.05629362,0.28249374,True
ev_days_since_limit_up,0.0,18.947086,3.7198453,True
ev_days_since_limit_down,0.0,19.493692,2.613637,True
ev_touch_limit_up,0.0,0.0044386066,0.0664752,True
ev_new_high_20,0.0,0.1256793,0.33148932,True
ev_new_low_20,0.0,0.08271274,0.27544898,True
ev_new_high_60,0.0,0.07807286,0.26828763,True
ev_new_low_60,0.0,0.037458025,0.18988234,True
ev_new_high_250,0.0,0.046176337,0.20986794,True
ev_new_low_250,0.0,0.010222566,0.10058913,True
ev_breakout_vol_60,0.0,0.020010805,0.14003778,True
ev_breakdown_vol_60,0.0,0.0056462465,0.07492947,True
ev_streak,0.0,0.07752201,2.1059127,True
ev_up_streak_ge3,0.0,0.10134641,0.30178848,True
ev_down_streak_ge3,0.0,0.0870666,0.2819341,True
ev_bigmove5,0.0,0.05025477,0.21847136,True
ev_bigmove5_cnt20,0.00885602601722476,1.0049379,1.6174765,True
ev_gap_up_spike,0.0,0.012108179,0.109369546,True
ev_gap_down_spike,0.0,0.0057204,0.07541709,True
ev_range_x_atr,0.00885602601722476,1.0159903,0.4804148,True
cs_rank_roc_5,0.002330533162427568,0.51156306,0.28859004,True
cs_rank_roc_20,0.009322132649710272,0.51156443,0.2885982,True
cs_rank_roc_60,0.027966397949130816,0.51156837,0.28859928,True
cs_rank_roc_120,0.05593279589826163,0.5115744,0.28859937,True
cs_rank_ret_std_20,0.009322132649710272,0.5115645,0.28859952,True
cs_rank_ret_std_60,0.027966397949130816,0.51156837,0.2885995,True
cs_rank_vol_z_20,0.00885602601722476,0.51156443,0.28859952,True
cs_rank_turnover_z_20,0.041886036928357295,0.5117364,0.28860104,True
cs_rank_rsi_14,0.0006567866185023146,0.5115649,0.2885382,True
cs_excess_roc_5,0.002330533162427568,-3.9604525e-05,0.044468284,True
cs_excess_roc_10,0.004661066324855136,-0.00010837268,0.06328845,True
cs_excess_roc_20,0.009322132649710272,-0.00014237115,0.09309581,True
cs_excess_roc_60,0.027966397949130816,0.0009813212,0.19467175,True
cs_excess_roc_120,0.05593279589826163,0.0052372036,0.35358715,True
mkt_roc_5,0.002224599836862679,0.005769658,0.029077396,True
mkt_roc_20,0.008898399347450715,0.0234896,0.05894978,True
mkt_roc_60,0.026695198042352142,0.07102474,0.10397521,True
cs_beta_60,0.027966397949130816,0.99980015,0.50693303,True
cs_idio_std_60,0.027966397949130816,0.018774005,0.0072236964,True
cs_rank_excess_roc_20,0.009322132649710272,0.51156443,0.2885982,True
