,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.0281017956830449,0.0043609486736427595,1.1666666666666667,0.408248290463863,candle
ret_std_120,0.017612169994963702,0.0023758080108161606,4.333333333333333,1.505545305418162,volatility
obv_slope_60,0.017302707073700657,0.0024334445745170454,6.333333333333333,4.320493798938574,volume
mdd_60,0.018011981661435486,0.0016314617492075606,6.5,2.4289915602982237,volatility
cs_rank_ret_std_60,0.01262093459953068,0.0017647815541743167,12.666666666666666,8.406346808612327,cross_section
adx_14,0.010594755657615884,0.0008992828433030089,21.666666666666668,7.1740272279011235,trend
bb_bw_20,0.012355840430807877,0.0009799135431108885,23.0,20.938003725283842,volatility
cs_excess_roc_5,0.016788301321172816,0.00026625337711046654,24.166666666666668,18.904144166469603,cross_section
dist_low_60,0.007405645927713371,0.0016679147708816599,26.0,23.588132609428836,volatility
cs_rank_roc_60,0.007277775097410594,0.001977174866297523,31.0,24.14125100321025,cross_section
up_ratio_60,0.00624953616376621,0.0006282822765216745,39.5,22.465529150233696,momentum
ev_days_since_spike3,0.013112253811301587,0.0007381297523624634,39.666666666666664,62.956069339394645,event
ret_std_20,0.005068155040109346,0.0013658725290678232,41.666666666666664,36.843814496692204,volatility
cs_excess_roc_120,0.0061005952227626,0.0006245200827273978,43.666666666666664,22.14196618791264,cross_section
cumret_ex1_120,0.005518003920077276,0.0007401549202332219,44.666666666666664,25.017327328607,stats
ret_std_60,0.011022914652898903,0.0006371635878904054,45.0,64.77962642683269,volatility
lower_shadow_ma5,0.0070867045992937,0.00032335248455503705,46.333333333333336,19.08577131442863,candle
lower_shadow_ma20,0.015487266735039527,0.0005832095191472665,47.0,92.60237577945827,candle
autocorr_60,0.011931305076409549,0.00045469412352891784,48.0,70.82090086972913,stats
cs_beta_60,0.01456144002209741,0.0002977221561641436,49.0,69.36281424509822,cross_section
adx_28,0.019819366607234754,5.211895194396419e-05,56.166666666666664,88.38419919118274,trend
ev_amt_pctile250,0.0053076001721261415,0.0003469208609967343,56.333333333333336,22.92305971432842,event
stoch_d_60_3,0.004653508251202803,0.0008419855105471497,57.666666666666664,35.353453390958386,momentum
mkt_roc_60,0.011591926565137254,0.00014880590196448334,58.0,82.21435397787907,cross_section
mkt_roc_20,0.009780638784036682,0.0003646691788148483,58.833333333333336,78.50965970290959,cross_section
upper_shadow_ma20,0.011391132594878802,1.55678393941594e-05,60.5,83.54818968715001,candle
turnover_z_20,0.003418660925925142,0.000593603064849445,60.833333333333336,42.120857857677436,volume
upper_shadow,0.0075616226146438285,0.0005427817734483038,61.833333333333336,64.24147154811031,candle
ret_std_10,0.009603503926681816,0.0002458055166512713,62.0,76.14985226512262,volatility
obv_slope_10,0.006909619829522755,0.00037233865915697884,62.833333333333336,60.184438741809885,volume
parkinson_120,0.010855872989494317,7.919816431098712e-05,63.0,72.72413629600561,volatility
cs_rank_roc_5,0.009547895142763137,-0.00010010173863010212,64.16666666666667,86.50876641512504,cross_section
willr_28,0.003310887381366395,0.0010273159587826188,65.33333333333333,46.098445382319206,momentum
upper_shadow_ma5,0.004986113091430654,0.00014679708257297414,66.83333333333333,11.356349178616632,candle
roc_120,0.00675118309716521,0.0002628406320608346,67.33333333333333,73.51643807113254,momentum
