,nan_ratio,mean,std,kept
sma_ratio_5,0.0021055402026582447,0.0013187155,0.030823031,True
ema_ratio_5,0.0,0.0009841251,0.024897953,True
wma_ratio_5,0.0021055402026582447,0.00076459534,0.022347342,True
sma_ratio_10,0.00473746545598105,0.003133093,0.048186496,True
ema_ratio_10,0.0,0.0023909486,0.040076137,True
wma_ratio_10,0.00473746545598105,0.0018790641,0.03591602,True
sma_ratio_20,0.010001315962626661,0.006826759,0.071936175,True
ema_ratio_20,0.0,0.0052608084,0.060115125,True
wma_ratio_20,0.010001315962626661,0.0041419826,0.054289218,True
sma_ratio_60,0.030719144967587268,0.020728108,0.12854414,True
ema_ratio_60,0.0,0.017051255,0.108152464,True
wma_ratio_60,0.030719144967587268,0.012577041,0.09772775,True
sma_ratio_120,0.06132957997905903,0.04490967,0.18981273,True
ema_ratio_120,0.0,0.035163503,0.15653996,True
wma_ratio_120,0.06132957997905903,0.027578652,0.14177269,True
sma_cross_5_20,0.010001315962626661,0.0049826596,0.05521964,True
sma_cross_10_60,0.030719144967587268,0.016586155,0.105448686,True
sma_cross_20_120,0.06132957997905903,0.035411388,0.15174952,True
macd_diff_12_26_9,0.0,0.0014404759,0.0305225,True
macd_signal_12_26_9,0.0,0.0014980799,0.028514815,True
macd_hist_12_26_9,0.0,-5.760427e-05,0.009493476,True
macd_diff_5_35_5,0.0,0.0030984,0.0638959,True
macd_signal_5_35_5,0.0,0.003147022,0.06159779,True
macd_hist_5_35_5,0.0,-4.862234e-05,0.013554685,True
adx_14,0.0012415821303718452,26.784668,12.57404,True
pdi_14,0.0006350950067800683,25.604855,9.440556,True
mdi_14,0.0006350950067800683,22.107252,8.68817,True
adx_28,0.0012415821303718452,21.01569,12.578734,True
pdi_28,0.0006350950067800683,25.564198,7.3850856,True
mdi_28,0.0006350950067800683,21.910885,6.7860193,True
aroon_up_14,0.007369390709303856,47.619442,36.50476,True
aroon_dn_14,0.007369390709303856,43.712154,36.30914,True
aroon_osc_14,0.007369390709303856,3.9072876,62.797707,True
aroon_up_25,0.013136739960063395,48.281467,35.705906,True
aroon_dn_25,0.013136739960063395,42.978973,35.55766,True
aroon_osc_25,0.013136739960063395,5.302497,61.575375,True
linreg_slope_5,0.0021055402026582447,0.00018976605,0.014056377,True
linreg_slope_10,0.00473746545598105,0.000197669,0.009711544,True
