,gain_mean,perm_mean,rank_mean,rank_std,family
mkt_roc_60,0.04391655929848878,0.005748556959635842,1.6666666666666667,0.816496580927726,cross_section
dist_high_120,0.0274367276884664,0.004416842334911773,3.5,1.0488088481701516,volatility
mkt_roc_20,0.029326076512207016,0.0023595807638168032,4.833333333333333,1.9407902170679516,cross_section
ret_std_120,0.021736952779792193,0.0035058359576343547,6.166666666666667,2.4832774042918904,volatility
hurst_120,0.01710973093219838,0.008036825743599084,7.0,6.603029607687671,stats
inst_trust_sum60,0.019029920713952896,0.0017932661262292093,10.5,3.331666249791536,chip
inst_foreign_sum60,0.013971267589796305,0.001226901910326249,16.0,2.6832815729997477,chip
ss_util,0.011817123888650824,0.0018316385826056486,17.0,9.316651759081692,chip
cs_idio_std_60,0.012832563376372357,0.0007523526754612172,22.166666666666668,6.853223086013374,cross_section
cs_beta_60,0.021847566994011608,0.0004723727178266919,22.833333333333332,20.50772212281673,cross_section
up_ratio_60,0.008432312593566138,0.00200169017483276,22.833333333333332,15.380723866797254,momentum
gk_vol_20,0.007906748108801173,0.0024273499719644023,24.166666666666668,19.620567439976515,volatility
cs_rank_ret_std_60,0.014663375143183707,0.0005290497201862538,24.333333333333332,12.404300329590004,cross_section
cs_rank_roc_120,0.01089053291811242,0.0007086632588530793,25.5,10.709808588392232,cross_section
adx_28,0.008348918071288963,0.0010514728587924917,26.833333333333332,11.75443178833697,trend
mdd_60,0.014944482061915879,0.000366323251573412,27.166666666666668,13.014094923069628,volatility
ema_ratio_120,0.011521162268900029,0.0006440267623877776,27.333333333333332,9.77070451229934,trend
cs_rank_roc_60,0.007510409628060745,0.0017592142315824783,27.666666666666668,19.02279334552806,cross_section
adx_14,0.00694593357184223,0.002248006842900755,28.5,23.972901368002997,trend
mg_bal_chg20,0.00695518190719235,0.0015445777204659127,30.833333333333332,21.55380863482523,chip
skew_60,0.009207297983541708,0.00030835479691678397,35.5,6.156297588648554,stats
inst_all_sum60,0.01311710201546278,0.0005007077398264792,36.166666666666664,37.17750215744284,chip
cs_excess_roc_60,0.007092670430398067,0.0006707958634438738,36.5,13.501851724856113,cross_section
cs_rank_mg_bal_chg20,0.006974114632085263,0.0005500724722090375,40.833333333333336,15.038838607640773,cross_section
donchian_pos_120,0.00623970436519207,0.0007438852210715682,40.833333333333336,19.74250912793677,volatility
stoch_d_60_3,0.005010951899374716,0.0016530024035945612,40.833333333333336,31.166755793098947,momentum
parkinson_120,0.019482233767365513,0.00016835520203248606,43.333333333333336,46.676189504571454,volatility
ret_std_60,0.006785109534902485,0.0005458080605792818,43.833333333333336,17.645584905767976,volatility
kurt_60,0.011136953945494445,0.0002547708822447185,44.0,29.147898723578688,stats
parkinson_10,0.004929924816759136,0.000733490590878843,45.666666666666664,25.35087112244206,volatility
ev_limit_down_cnt20,0.0039660071216305335,0.0011642136580319257,47.333333333333336,36.565922204515324,event
close_pos,0.005057993343099426,0.0006101439945478651,47.833333333333336,22.929602409694475,candle
sma_cross_20_120,0.008565023505319002,0.00018377222188133605,48.5,22.187834504520715,trend
ev_days_since_spike3,0.007189445877782773,0.0002066789498885107,48.5,7.635443667528429,event
sh_foreign_ratio,0.02585593053339905,0.0004793104927313478,50.666666666666664,94.79170146519508,chip
atr_ratio_14,0.0063380573692603135,0.0002255655820188915,55.5,17.501428513124292,volatility
mg_bal_roc20,0.00481694061036712,0.0002921012275592938,55.833333333333336,18.33484842224409,chip
gk_vol_10,0.002531339505344701,0.0005824365779673541,60.0,36.48013157871007,volatility
autocorr_60,0.011085335557433226,0.000439157469332479,60.666666666666664,89.84801982607445,stats
cs_rank_roc_20,0.003794401357500013,0.00045362409317071,65.0,32.63740185737829,cross_section
inst_trust_sum5,0.002483333720874866,0.0004091078880868522,65.5,31.810375665810675,chip
bb_bw_60,0.006489972563957964,0.00010645121490246743,65.66666666666667,23.737452826001924,volatility
stoch_k_60_3,0.0019704442381460016,0.0006086499766581291,65.83333333333333,42.78979629148363,momentum
mg_bal_to_vol,0.015586062137716253,5.1512449541725294e-05,67.16666666666667,100.39604905904746,chip
inst_trust_pos20,0.0044557899474966375,0.00024401055157366146,67.83333333333333,30.1822243492203,chip
dist_low_60,0.0021541319099762936,0.0003672342168770104,67.83333333333333,35.53824231256615,volatility
cs_excess_roc_120,0.01160409775205301,0.0001384792898565277,69.5,95.15198368925368,cross_section
eom_14,0.004685374601387669,0.00016357461538819685,71.0,21.23205124334434,volume
sh_foreign_z60,0.008396650699578897,0.00020578344760725632,72.5,77.98397271234647,chip
autocorr_20,0.0026985944308840597,0.00015392800890120148,74.5,17.53567791675018,stats
ulcer_14,0.002315732054190238,0.00018688589471735657,75.33333333333333,24.31186267373742,volatility
linreg_slope_60,0.004081875058577448,0.00013699851217966832,76.83333333333333,21.83040692856335,trend
cumret_ex1_120,0.009665136556141492,9.584387150867672e-05,78.66666666666667,89.40618919664715,stats
dist_low_120,0.00571906889115457,0.0002561291154695475,79.0,67.00746227100382,volatility
ret_std_20,0.002605061175603671,0.00013701987047929108,79.5,19.06567596493762,volatility
inst_all_sum20,0.009258437585726566,-0.0001843449335713343,81.83333333333333,96.63212026374391,chip
range_ratio_ma20,0.0064538517453107715,0.00018640528465425137,83.16666666666667,85.62573600656911,candle
inst_trust_sum20,0.006614601449205897,0.00012160149761598751,83.66666666666667,91.55253500950515,chip
sh_foreign_chg20,0.00597393608760233,0.00020982886418313077,84.66666666666667,86.51165624739053,chip
bb_bw_20,0.0016107919291427119,0.0001685937191520844,86.16666666666667,34.44077041337297,volatility
sh_foreign_chg60,0.009204485788638857,-9.590640010531054e-05,87.33333333333333,95.1455026087238,chip
mdd_20,0.006002093749197429,0.00014692238998601255,89.5,88.1447672865497,volatility
parkinson_60,0.006908731978932989,-3.0294863437529962e-05,89.66666666666667,88.37797614036353,volatility
cs_rank_excess_roc_20,0.0015005921185129454,0.00014627197660885578,89.83333333333333,33.17478962505515,cross_section
donchian_pos_60,0.0010226056006589956,0.0002955948075254147,90.16666666666667,54.44783436158565,volatility
dist_high_60,0.0017785425813214581,0.00010573440717308467,90.66666666666667,20.37318499073394,volatility
sh_foreign_room,0.02262923926656693,-9.660030323283614e-05,98.0,117.16313413356609,chip
inst_dealer_net_r,0.002468366175511993,0.00010605487831110643,101.66666666666667,54.80754206007296,chip
parkinson_20,0.004582973536936039,5.1849736716532334e-05,101.83333333333333,79.32065725059688,volatility
stoch_d_14_3,0.0008930556430571039,0.00013824454184864344,102.33333333333333,46.633321420060426,momentum
atr_ratio_28,0.005820911554211258,-1.1614372723740051e-05,103.0,80.60024813857585,volatility
ad_roc_20,0.002015463514462613,5.300202181256363e-05,104.16666666666667,19.579751445477203,volume
mkt_roc_5,0.0015022600133213725,6.012438654639456e-05,104.33333333333333,28.465183411786875,cross_section
cumret_ex1_60,0.0012182383952317934,8.183224710274957e-05,105.33333333333333,29.35075240375733,stats
pv_corr_20,0.014333198817869939,-0.00018201958494301618,105.5,123.62321788402048,volume
lower_shadow,0.0007880359288381611,0.00013151252178500442,106.5,47.276844226322886,candle
kurt_20,0.0021863400792641297,9.25693832402905e-05,107.16666666666667,63.03147361966613,stats
cs_rank_rsi_14,0.0010406925059304338,9.698832844967025e-05,107.5,35.892896233098824,cross_section
ev_days_since_limit_up,0.0006800555158624275,0.00017917603177849037,108.33333333333333,54.52583485529283,event
gk_vol_5,0.0008570736026612553,0.00011110577791469585,108.66666666666667,44.152765107823846,volatility
upper_shadow,0.0008350019414995119,9.412815253611533e-05,111.33333333333333,40.26743928618589,candle
linreg_slope_120,0.01842527546750105,-0.0008459721912063382,112.16666666666667,132.95324992893805,trend
range_ratio_ma5,0.0025409110566419757,1.529834115237488e-05,114.83333333333333,50.91725313355647,candle
ss_bal_chg5,0.001833296875115639,7.077319016885525e-05,115.0,63.655321851358195,chip
ss_bal_chg20,0.0077207823070399965,-0.00014168090863215304,115.16666666666667,112.36443684131855,chip
cs_rank_inst_foreign_sum20,0.006101421787272222,-3.907689368793439e-05,116.0,93.07846152574719,cross_section
body_range_ma20,0.0041834745266442425,-1.738372300277538e-05,116.83333333333333,69.01135172322498,candle
sma_ratio_120,0.003396853381016794,-6.082283193702904e-06,116.83333333333333,68.49063196282151,trend
sh_foreign_chg5,0.0020124121545128967,2.441504919258196e-05,116.83333333333333,68.76457421279265,chip
cs_rank_ret_std_20,0.004746793863314899,3.617941323297291e-05,118.66666666666667,79.00042193980147,cross_section
lower_shadow_ma20,0.007137639162758335,-7.267262917563952e-05,118.83333333333333,102.1144782421507,candle
pdi_28,0.0016462758258935274,3.5048099860990334e-05,120.16666666666667,53.32697878810187,trend
uo_7_14_28,0.0014684931821919145,6.53719564653753e-05,121.66666666666667,50.09058461094926,momentum
psar_dist,0.0005693207745353313,7.957957467944847e-05,123.33333333333333,47.43697573272001,trend
parkinson_5,0.0008756460269918985,5.305478937631422e-05,123.83333333333333,43.67798835416607,volatility
force_13,0.0017031540335309943,4.556256847683867e-05,124.33333333333333,65.52455010655676,volume
willr_28,0.0006265045881115143,7.818500335215411e-05,126.0,41.48252644186465,momentum
pvt_roc_20,0.001934246604497047,-4.894897036940756e-05,126.16666666666667,70.18665590172156,volume
upper_shadow_ma20,0.005351224624613425,-5.730934332943199e-05,126.33333333333333,94.9645547910728,candle
aroon_dn_25,0.0006755229128303314,4.208744749366487e-05,126.83333333333333,33.07819019636151,trend
ema_ratio_60,0.0015411131733974956,3.6103741067377504e-05,127.16666666666667,64.05440395996723,trend
range_ratio,0.000783779475555457,0.00015962883866252022,129.0,69.95712972957081,candle
ao_5_34,0.0013202063809016826,-1.0107501196664361e-05,130.33333333333334,71.48612919068053,momentum
inst_foreign_sum20,0.004500464439338796,-6.812186170087238e-05,130.83333333333334,98.95537714882737,chip
macd_signal_5_35_5,0.0007302923447675835,6.366822133513978e-05,132.16666666666666,50.3007620883289,trend
mg_bal_chg5,0.001422945888413082,-1.3659260784362435e-05,132.33333333333334,61.28838933000823,chip
gk_vol_60,0.007485217521906985,-0.00045224943048474377,134.16666666666666,111.47989355335189,volatility
pv_corr_60,0.015097574034147519,-0.0003364023999887901,134.33333333333334,132.04948567361657,volume
macd_signal_12_26_9,0.002228004281327705,8.411884153100874e-06,137.0,82.04389069272617,trend
ev_bigmove5_cnt20,0.0007658064216378574,4.6226222066946145e-05,137.33333333333334,61.268806636547666,event
gk_vol_120,0.018171288575260656,-0.000586605892009811,138.66666666666666,139.7263993190502,volatility
inst_trust_net_r,0.0004150875986995796,0.00016529738936468496,138.66666666666666,74.64225791511579,chip
obv_slope_20,0.0011244245844805212,7.467480063688076e-06,139.0,40.094887454636904,volume
rsi_28,0.0007425275974250136,7.326302669730111e-05,139.5,57.063999158839195,momentum
wma_ratio_120,0.0010213983796240362,2.402567096098591e-06,140.33333333333334,62.35275989614787,trend
linreg_slope_20,0.0009437505482153028,-1.3477956847387756e-05,140.33333333333334,64.97281482794682,trend
mg_util,0.03411418683311471,-0.0014503670340480686,141.83333333333334,153.18670525429636,chip
ss_mg_ratio,0.009952289468792778,-0.0002968723431024451,142.0,124.42989994370323,chip
ev_vol_vs_max20,0.00042258906200017546,2.8434565206057903e-05,142.16666666666666,45.727088980894756,event
cs_excess_roc_20,0.0036468571198637924,-0.00018200508835960097,142.5,88.72823676823518,cross_section
roc_60,0.0011234549628817102,-7.71476278409332e-05,142.5,66.77050246927905,momentum
pvt_roc_10,0.0009600639408762633,-1.8222108745296553e-05,143.0,62.48199740725323,volume
sma_cross_10_60,0.001872536051945156,-1.8651400903019815e-05,143.66666666666666,65.54896388705673,trend
ev_vol_pctile250,0.0005070068634279423,1.996092560742192e-05,143.83333333333334,36.67924026839523,event
up_ratio_20,0.0006340328225855698,4.0058312387020794e-05,146.33333333333334,47.04324251863031,momentum
cs_excess_roc_5,0.001651281798391459,-5.675866644632649e-05,150.33333333333334,72.60486668720401,cross_section
trix_15,0.002090173153065811,-3.8919460791708715e-05,151.0,66.5432190384565,trend
ev_spike2_cnt20,0.0018192500814064583,-5.3912310608978454e-05,151.33333333333334,72.92644696313312,event
inst_foreign_streak,0.0006264161132077402,1.5245766876454465e-05,151.66666666666666,45.18701878489736,chip
vortex_pos_14,0.00045715212386374473,3.007229255966612e-05,152.16666666666666,58.22170271184679,trend
up_ratio_120,0.009650992954833178,-0.0006807018621306999,152.33333333333334,133.40714623537477,momentum
stochrsi_14,0.00024441007669653527,3.23131744284592e-05,152.66666666666666,51.91403150080589,momentum
cs_rank_inst_all_sum5,0.0015367952921499037,-3.695005160888856e-05,153.0,60.56731791981547,cross_section
vol_sma_ratio_120,0.0014547186720515564,-2.431502276687178e-05,153.5,58.6608898670997,volume
cci_20,0.00028721690813483894,2.3376707242419825e-05,154.16666666666666,52.46872084077014,momentum
cci_60,0.0007381086670757931,-1.6655994513873708e-05,154.33333333333334,47.890152084396924,momentum
obv_slope_60,0.007570516243905714,-0.00040031619344752894,155.16666666666666,120.97341305702946,volume
cs_rank_inst_trust_sum20,0.007784243832204767,-0.000457015713833374,156.0,124.93038061256357,cross_section
pdi_14,0.00075528009330027,1.4139677559649793e-05,157.0,37.587231874667225,trend
dist_high_20,0.0005259788301096085,6.242228830746453e-07,158.0,47.15082183801253,volatility
macd_diff_12_26_9,0.0005785126723807072,-1.676607190417536e-05,158.0,61.49146282208612,trend
mdi_28,0.004165517707733254,-7.710326829557523e-05,159.16666666666666,88.66434834061921,trend
dist_low_20,0.0010063105113718048,-2.2591282351467095e-05,159.16666666666666,65.60614808588191,volatility
cs_rank_sh_foreign_chg20,0.006730551357444096,-0.0004035918414425509,159.16666666666666,116.07483218452941,cross_section
ev_amt_pctile250,0.0007408316416504353,1.9568164840006512e-05,159.33333333333334,45.41218632335011,event
sma_cross_5_20,0.00044178890054315137,1.5716132687224353e-05,159.5,51.2396330978277,trend
vol_ratio_5_60,0.000610586532105707,2.0987283715258166e-05,160.83333333333334,48.55683954569806,volatility
ret_std_10,0.0009818397193788085,-2.208602809648951e-05,160.83333333333334,57.67639609638129,volatility
vwap_ratio_20,0.00037284214065124366,2.461384567350085e-05,161.0,59.843128260477826,volume
roc_120,0.00713251107392725,-0.0005371722525338883,161.5,122.17651165424556,momentum
lower_shadow_ma5,0.00036637541515589165,1.0600288389814613e-05,161.5,37.28136263604108,candle
close_pos_ma20,0.004773932882972713,-0.00019221203611864536,162.16666666666666,100.66859821546473,candle
tsi_25_13,0.0009549150194631493,-1.3195080182468485e-05,162.83333333333334,61.74274586270574,momentum
ev_days_since_limit_down,0.0002096870053924671,4.4034725225751264e-05,163.5,60.849815118864576,event
aroon_osc_14,0.00038936872946109864,-2.188210948957565e-06,164.5,48.52525115854631,trend
turnover_z_20,0.0013737011372551905,-1.8922487013455716e-05,166.0,50.0,volume
turnover_z_60,0.0021965116130611786,-7.27432758589577e-05,166.16666666666666,76.36862357451957,volume
vol_z_60,0.00020775496160917924,2.420330243039596e-05,166.33333333333334,52.071745377571766,volume
gap_ma20,0.006848250767457327,-0.0013828982917532971,166.5,126.56342283614173,candle
roc_20,0.0006082130419287991,9.614714003378407e-06,167.66666666666666,56.89170999949524,momentum
mfi_14,0.0010925443742125808,-0.00023522890789885576,169.33333333333334,79.72870666621068,volume
inst_foreign_net_r,0.00027531882673552285,9.248337017875306e-06,169.66666666666666,42.254782766766965,chip
ppo_12_26,0.0006516340265839553,-1.5578028569206333e-06,169.83333333333334,69.99261865844616,momentum
obv_slope_10,0.00026534078269561354,7.4087205787807024e-06,170.33333333333334,42.06027421055011,volume
skew_20,0.005688738125725245,-0.0010019518532404545,171.0,118.69456600872678,stats
ret_std_5,0.0003381352797124073,-2.8017063604915113e-07,171.16666666666666,34.643421693976286,volatility
donchian_pos_10,0.00022907203082153706,6.534963172649059e-06,172.66666666666666,47.798186855430686,volatility
inst_all_sum5,0.004711962985806859,-0.0006150586262670831,173.0,110.3177229641729,chip
cs_rank_ss_bal_chg5,0.00058391565480048,-9.556920957436925e-06,173.16666666666666,31.173172226558314,cross_section
donchian_pos_5,0.00014109587797043492,1.8069218111871344e-05,173.25,61.786527657734574,volatility
wma_ratio_20,0.00025373677296067,5.060563992508192e-06,173.33333333333334,42.683330079395944,trend
cumret_ex1_20,0.0003305839223259951,-5.550258581374669e-07,173.5,52.20249036205074,stats
donchian_pos_20,0.00018957676557004464,1.4017809614827768e-05,173.5,56.12040627080314,volatility
rsi_6,0.000300405974998068,-1.868029742631746e-06,173.5,42.561719890060836,momentum
inst_foreign_z60,0.0012781062693332304,-3.528671362455308e-05,173.66666666666666,53.656934935445825,chip
ev_vol_dryup_cnt5,0.00016296504364792417,1.5590785562396506e-05,174.58333333333334,47.85646943378362,event
