,nan_ratio,mean,std,kept
sma_ratio_5,0.001828989483310471,0.0011723663,0.01924367,True
ema_ratio_5,0.0,0.0010338512,0.01574907,True
wma_ratio_5,0.001828989483310471,0.00073609664,0.01417052,True
sma_ratio_10,0.00411522633744856,0.0027248778,0.029728891,True
ema_ratio_10,0.0,0.0023969647,0.025175586,True
wma_ratio_10,0.00411522633744856,0.0017360252,0.022398615,True
sma_ratio_20,0.008687700045724738,0.005886329,0.044759955,True
ema_ratio_20,0.0,0.005148674,0.03805137,True
wma_ratio_20,0.008687700045724738,0.0037542933,0.033794962,True
sma_ratio_60,0.026977594878829447,0.017761689,0.085030794,True
ema_ratio_60,0.0,0.016289774,0.071472354,True
wma_ratio_60,0.026977594878829447,0.011181382,0.06314516,True
sma_ratio_120,0.054412437128486514,0.03749868,0.13343321,True
ema_ratio_120,0.0,0.03298679,0.108513914,True
wma_ratio_120,0.054412437128486514,0.02367101,0.0960861,True
sma_cross_5_20,0.008687700045724738,0.0044890675,0.03475279,True
sma_cross_10_60,0.026977594878829447,0.014614283,0.07012277,True
sma_cross_20_120,0.054412437128486514,0.0304096,0.10602939,True
macd_diff_12_26_9,0.0,0.002739098,0.019773604,True
macd_signal_12_26_9,0.0,0.002742245,0.01850082,True
macd_hist_12_26_9,0.0,-3.1477455e-06,0.0059739943,True
macd_diff_5_35_5,0.0,0.00587024,0.04140723,True
macd_signal_5_35_5,0.0,0.005868788,0.039931636,True
macd_hist_5_35_5,0.0,1.449683e-06,0.008548679,True
adx_14,0.0006218564243255601,25.3655,11.783044,True
pdi_14,0.0,23.840319,8.20721,True
mdi_14,0.0,20.989595,8.127727,True
adx_28,0.0006218564243255601,19.503368,11.361563,True
pdi_28,0.0,23.722784,6.353686,True
mdi_28,0.0,20.964685,6.3592215,True
aroon_up_14,0.006401463191586648,51.75794,36.453846,True
aroon_dn_14,0.006401463191586648,41.671288,35.952232,True
aroon_osc_14,0.006401463191586648,10.08665,63.230255,True
aroon_up_25,0.011431184270690443,52.989082,35.715904,True
aroon_dn_25,0.011431184270690443,40.17247,34.885715,True
aroon_osc_25,0.011431184270690443,12.816614,61.589592,True
linreg_slope_5,0.001828989483310471,0.00039977964,0.008941063,True
linreg_slope_10,0.00411522633744856,0.00040603633,0.0061307307,True
linreg_slope_20,0.008687700045724738,0.00041000964,0.0043342593,True
linreg_slope_60,0.026977594878829447,0.00039276693,0.0024103564,True
linreg_slope_120,0.054412437128486514,0.00039302884,0.0016762723,True
trix_15,0.0004572473708276177,0.055869155,0.28926334,True
vortex_pos_14,0.006401463191586648,0.97280306,0.16506469,True
vortex_neg_14,0.006401463191586648,0.91346675,0.1639547,True
psar_dist,0.0004572473708276177,0.0021201035,0.05852243,True
roc_5,0.002286236854138089,0.0035592865,0.039748494,True
roc_10,0.004572473708276178,0.0072171455,0.057269413,True
roc_20,0.009144947416552356,0.014800557,0.08529955,True
roc_60,0.027434842249657063,0.045949038,0.18563287,True
roc_120,0.05486968449931413,0.100022405,0.3445414,True
rsi_6,0.0007590306355738455,52.609783,17.954523,True
rsi_14,0.0007590306355738455,52.499283,12.138989,True
rsi_28,0.0007590306355738455,52.365036,9.208604,True
stoch_k_14_3,0.006858710562414266,54.312496,28.218414,True
stoch_d_14_3,0.007773205304069501,54.32101,27.376144,True
stoch_k_60_3,0.027892089620484683,57.24103,28.82367,True
stoch_d_60_3,0.02880658436213992,57.24393,28.593187,True
stochrsi_14,0.006703246456332876,0.5058896,0.35789776,True
willr_14,0.00594421582075903,-45.704254,30.495245,True
willr_28,0.012345679012345678,-44.37741,29.911829,True
cci_14,0.00594421582075903,14.677462,109.226974,True
cci_20,0.008687700045724738,17.573238,112.03262,True
cci_60,0.026977594878829447,27.840929,115.81516,True
cmo_14,0.006401463191586648,5.5634885,33.096397,True
ppo_12_26,0.0,0.35000822,2.02244,True
tsi_25_13,0.0004938271604938272,4.957039,21.299242,True
uo_7_14_28,0.012409693644261546,51.332623,12.061779,True
ao_5_34,0.015089163237311385,0.0058131968,0.050256874,True
ret_lag_1,0.0004572473708276177,0.000708263,0.018126918,True
ret_lag_2,0.0009144947416552355,0.00071149867,0.01812901,True
ret_lag_3,0.0013717421124828531,0.0007119344,0.018132014,True
ret_lag_4,0.001828989483310471,0.00071194227,0.018134698,True
ret_lag_5,0.002286236854138089,0.0007118916,0.018138135,True
ret_lag_6,0.0027434842249657062,0.00071054976,0.018141111,True
ret_lag_7,0.003200731595793324,0.00070310064,0.018139623,True
ret_lag_8,0.003657978966620942,0.0007089321,0.018137455,True
ret_lag_9,0.00411522633744856,0.00071327965,0.018139753,True
ret_lag_10,0.004572473708276178,0.00071093754,0.018141868,True
up_ratio_5,0.001828989483310471,0.46594775,0.21750137,True
up_ratio_10,0.00411522633744856,0.4660606,0.15403968,True
up_ratio_20,0.008687700045724738,0.46634457,0.11082304,True
up_ratio_60,0.026977594878829447,0.4663037,0.06917308,True
up_ratio_120,0.054412437128486514,0.46641943,0.053322416,True
mom_accel_5_20,0.009144947416552356,-0.01120067,0.073576085,True
atr_ratio_14,0.0,0.02112457,0.01125253,True
atr_ratio_28,0.0,0.021078825,0.010678801,True
ret_std_5,0.002286236854138089,0.014186807,0.011427823,True
parkinson_5,0.001828989483310471,0.012303143,0.0074834055,True
gk_vol_5,0.001828989483310471,0.012212689,0.0072925845,True
ret_std_10,0.004572473708276178,0.01481813,0.0104827965,True
parkinson_10,0.00411522633744856,0.012482096,0.007169007,True
gk_vol_10,0.00411522633744856,0.012372506,0.007006274,True
ret_std_20,0.009144947416552356,0.01522047,0.009819397,True
parkinson_20,0.008687700045724738,0.01262233,0.0068973172,True
gk_vol_20,0.008687700045724738,0.012499885,0.0067561255,True
ret_std_60,0.027434842249657063,0.015644675,0.009104891,True
parkinson_60,0.026977594878829447,0.012799928,0.0065248143,True
gk_vol_60,0.026977594878829447,0.012669377,0.006400949,True
ret_std_120,0.05486968449931413,0.015843298,0.0087575,True
parkinson_120,0.054412437128486514,0.0128803905,0.006334488,True
gk_vol_120,0.054412437128486514,0.012746604,0.0062137125,True
bb_pctb_20,0.008687700045724738,0.55041933,0.32155108,True
bb_bw_20,0.008687700045724738,0.103337556,0.08358367,True
bb_pctb_60,0.026977594878829447,0.5838418,0.34049574,True
bb_bw_60,0.026977594878829447,0.18100297,0.14647128,True
keltner_pos_20_10,0.0,0.1281231,0.7078005,True
donchian_pos_5,0.0020667581161408323,0.5268734,0.3134664,True
donchian_pos_10,0.00411522633744856,0.5368885,0.30717465,True
donchian_pos_20,0.008687700045724738,0.54960215,0.30219907,True
donchian_pos_60,0.026977594878829447,0.5723689,0.29410684,True
donchian_pos_120,0.054412437128486514,0.59432364,0.2872822,True
dist_high_20,0.008687700045724738,-0.044161838,0.046143785,True
dist_low_20,0.008687700045724738,0.062625155,0.073118016,True
dist_high_60,0.026977594878829447,-0.071762055,0.07015415,True
dist_low_60,0.026977594878829447,0.1293831,0.17836456,True
dist_high_120,0.054412437128486514,-0.093451016,0.08842262,True
dist_low_120,0.054412437128486514,0.21798982,0.36049637,True
mdd_20,0.008687700045724738,-0.056755174,0.047546435,True
mdd_60,0.026977594878829447,-0.10686485,0.07684587,True
vol_ratio_5_60,0.027434842249657063,0.91281354,0.43971288,True
ulcer_14,0.01188843164151806,3.460502,3.1965382,True
vol_sma_ratio_5,0.0020667581161408323,0.0071129343,0.39947912,True
vol_sma_ratio_10,0.00411522633744856,0.013260919,0.49467003,True
vol_sma_ratio_20,0.008687700045724738,0.017626539,0.5729161,True
vol_sma_ratio_60,0.026977594878829447,0.022234371,0.68356293,True
vol_sma_ratio_120,0.054412437128486514,0.031210145,0.76380956,True
vol_z_20,0.008687700045724738,0.0110618705,1.0474283,True
vol_z_60,0.026977594878829447,0.018392902,1.0711602,True
obv_slope_10,0.00411522633744856,0.039323512,0.3687606,True
obv_slope_20,0.008687700045724738,0.041193172,0.27543566,True
obv_slope_60,0.026977594878829447,0.042529456,0.17404163,True
cmf_20,0.008687700045724738,0.024138147,0.22607227,True
mfi_14,0.0062734339277549156,53.1898,17.265022,True
ad_roc_10,0.004572473708276178,0.024146292,0.28374115,True
ad_roc_20,0.009144947416552356,0.024141414,0.22607078,True
force_13,0.008687700045724738,0.00087825855,0.009535143,True
eom_14,0.043978052126200276,-0.000117878175,0.088545054,True
vwap_ratio_5,0.0020667581161408323,0.0008244031,0.018684264,True
vwap_ratio_20,0.008687700045724738,0.0045767403,0.04127222,True
pvt_roc_10,0.005029721079103796,0.0011370218,0.009878962,True
pvt_roc_20,0.009602194787379973,0.0012563542,0.008237486,True
pv_corr_20,0.041810699588477364,0.047829404,0.38590196,True
pv_corr_60,0.11901234567901235,0.054251395,0.26281744,True
turnover_z_20,0.04135345221764975,-0.0020297081,1.0528916,True
turnover_z_60,0.11855509830818473,0.023433605,1.0678374,True
pv_diverge_20,0.0,0.21817102,0.41300604,True
body_range,0.0029538180155464105,-0.0012755748,0.5558053,True
upper_shadow,0.0029538180155464105,0.25210407,0.23734151,True
lower_shadow,0.0029538180155464105,0.2751141,0.24414451,True
close_pos,0.0029538180155464105,0.51086724,0.3393043,True
gap,0.0004572473708276177,0.0007246309,0.011423165,True
range_ratio,0.0,0.019313652,0.014278534,True
body_range_ma5,0.012903520804755373,-0.00027488678,0.2509931,True
body_range_ma20,0.050160036579789666,4.4029388e-05,0.14332472,True
upper_shadow_ma5,0.012903520804755373,0.2521838,0.11777247,True
upper_shadow_ma20,0.050160036579789666,0.25237787,0.06870389,True
lower_shadow_ma5,0.012903520804755373,0.275122,0.12302908,True
lower_shadow_ma20,0.050160036579789666,0.27470198,0.073233165,True
close_pos_ma5,0.012903520804755373,0.5113316,0.16872384,True
close_pos_ma20,0.050160036579789666,0.51118404,0.10473129,True
gap_ma5,0.002286236854138089,0.0007277616,0.005282002,True
gap_ma20,0.009144947416552356,0.00073726603,0.0030592782,True
range_ratio_ma5,0.001828989483310471,0.019306313,0.011637701,True
range_ratio_ma20,0.008687700045724738,0.019277828,0.010507672,True
skew_20,0.009144947416552356,0.09048705,0.827507,True
kurt_20,0.009144947416552356,0.99735206,2.0657825,True
autocorr_20,0.009602194787379973,-0.08557711,0.21952568,True
ret_z_20,0.009144947416552356,0.044155072,1.013558,True
skew_60,0.027434842249657063,0.092794135,0.7870949,True
kurt_60,0.027434842249657063,2.054809,3.0004573,True
autocorr_60,0.027892089620484683,-0.05248114,0.14741108,True
ret_z_60,0.027434842249657063,0.04366456,1.0152158,True
cumret_ex1_20,0.009144947416552356,0.014066493,0.08273076,True
cumret_ex1_60,0.027434842249657063,0.04515171,0.18295854,True
cumret_ex1_120,0.05486968449931413,0.09908891,0.34108388,True
updown_mag_ratio_20,0.009190672153635117,1.1427875,0.46523106,True
hurst_120,0.05486968449931413,0.51641494,0.047548447,True
dow_0,0.0,0.19570187,0.39674184,True
dow_1,0.0,0.20210333,0.40157074,True
dow_2,0.0,0.20347507,0.4025847,True
dow_3,0.0,0.20118885,0.4008907,True
ev_vol_x_avg20,0.008687700045724738,1.0176265,0.5729161,True
ev_vol_vs_max20,0.009144947416552356,0.47850165,0.3334977,True
ev_spike2,0.0,0.05272062,0.2234762,True
ev_spike3,0.0,0.011732968,0.10768199,True
ev_spike2_cnt5,0.001828989483310471,0.26405865,0.6125701,True
ev_spike2_cnt20,0.008687700045724738,1.0597417,1.2781688,True
ev_days_since_spike3,0.0,45.054832,20.237898,True
ev_spike_up,0.0,0.029236397,0.16846925,True
ev_spike_down,0.0,0.021911293,0.14639463,True
ev_spike_long_red,0.0,0.008459076,0.091583826,True
ev_spike_long_black,0.0,0.0054046637,0.07331782,True
ev_spike_ret,0.0004572473708276177,0.00029329283,0.0094440365,True
ev_vol_pctile250,0.11385459533607682,0.50608945,0.29846054,True
ev_amt_pctile250,0.11385459533607682,0.5325613,0.29906982,True
ev_vol_dryup,0.0,0.09910379,0.2988027,True
ev_vol_dryup_cnt5,0.001828989483310471,0.49421898,0.9019583,True
ev_limit_up,0.0,0.0026246,0.05116381,True
ev_limit_down,0.0,0.0013168724,0.036265,True
ev_limit_up_lock,0.0,0.002423411,0.04916869,True
ev_limit_down_lock,0.0,0.0010059442,0.031700812,True
ev_limit_up_cnt20,0.008687700045724738,0.0527952,0.36067003,True
ev_limit_down_cnt20,0.008687700045724738,0.026420664,0.21546264,True
ev_days_since_limit_up,0.0,19.599543,2.3747368,True
ev_days_since_limit_down,0.0,19.78074,1.7491995,True
ev_touch_limit_up,0.0,0.0016552355,0.040651087,True
ev_new_high_20,0.0,0.122688614,0.32808092,True
ev_new_low_20,0.0,0.07813443,0.26838425,True
ev_new_high_60,0.0,0.07727481,0.2670282,True
ev_new_low_60,0.0,0.035647005,0.18540931,True
ev_new_high_250,0.0,0.046255145,0.21003811,True
ev_new_low_250,0.0,0.011540923,0.10680747,True
ev_breakout_vol_60,0.0,0.014604481,0.11996383,True
ev_breakdown_vol_60,0.0,0.006666667,0.08137741,True
ev_streak,0.0,0.09112026,2.0179446,True
ev_up_streak_ge3,0.0,0.09353452,0.2911814,True
ev_down_streak_ge3,0.0,0.07685414,0.2663611,True
ev_bigmove5,0.0,0.022798354,0.14926082,True
ev_bigmove5_cnt20,0.008687700045724738,0.45567343,1.2207255,True
ev_gap_up_spike,0.0,0.0056515774,0.07496458,True
ev_gap_down_spike,0.0,0.004709648,0.06846539,True
ev_range_x_atr,0.008687700045724738,1.0118113,0.47047737,True
cs_rank_roc_5,0.002286236854138089,0.51,0.28858662,True
cs_rank_roc_20,0.009144947416552356,0.51,0.2886148,True
cs_rank_roc_60,0.027434842249657063,0.51,0.28861794,True
cs_rank_roc_120,0.05486968449931413,0.51,0.28861868,True
cs_rank_ret_std_20,0.009144947416552356,0.51000005,0.2886187,True
cs_rank_ret_std_60,0.027434842249657063,0.51000005,0.28861874,True
cs_rank_vol_z_20,0.008687700045724738,0.51,0.2886187,True
cs_rank_turnover_z_20,0.04135345221764975,0.5101451,0.28864247,True
cs_rank_rsi_14,0.0007590306355738455,0.51000303,0.28856504,True
cs_excess_roc_5,0.002286236854138089,-4.1280076e-05,0.03400893,True
cs_excess_roc_10,0.004572473708276178,-6.0292707e-05,0.049231764,True
cs_excess_roc_20,0.009144947416552356,5.570374e-05,0.074601464,True
cs_excess_roc_60,0.027434842249657063,0.001995828,0.17053536,True
cs_excess_roc_120,0.05486968449931413,0.0087185195,0.3237479,True
mkt_roc_5,0.002286236854138089,0.003600566,0.020567743,True
mkt_roc_20,0.009144947416552356,0.014744854,0.040919546,True
mkt_roc_60,0.027434842249657063,0.043953206,0.069240436,True
cs_beta_60,0.027434842249657063,1.0000001,0.57683504,True
cs_idio_std_60,0.027434842249657063,0.013421661,0.008161345,True
cs_rank_excess_roc_20,0.009144947416552356,0.51,0.2886148,True
