,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.08305860959240442,0.015380648622473974,2.1666666666666665,1.4719601443879744,candle
mkt_roc_20,0.10044191536945137,0.003340755962060602,2.6666666666666665,1.632993161855452,cross_section
mkt_roc_60,0.08339085516145284,0.0034645960009932844,3.1666666666666665,0.752772652709081,cross_section
upper_shadow,0.042660532507703096,0.00564913828211032,3.5,1.6431676725154984,candle
body_range,0.03214934037527634,0.0016120482626554482,6.5,1.378404875209022,candle
lower_shadow,0.02638107896559976,0.0017573317858137327,7.166666666666667,1.9407902170679516,candle
up_ratio_120,0.017547223587287237,0.0010728302055296919,8.0,1.6733200530681511,momentum
cs_rank_roc_120,0.0066857427971496,0.0009769551861813373,13.166666666666666,7.13909424693824,cross_section
ret_lag_9,0.005749573933889636,0.0002558070324114098,24.166666666666668,7.547626558506102,momentum
cs_excess_roc_120,0.004462692007636775,0.0005921216122763356,26.166666666666668,19.508117968339917,cross_section
dow_3,0.005935689487120969,0.00045553500588270244,26.5,19.521782705480565,stats
cci_14,0.00855013870469683,0.00011766109541963862,32.166666666666664,26.596365666509147,momentum
dow_0,0.0045899866800572856,0.00029090349301700663,33.333333333333336,17.8736304836669,stats
mkt_roc_5,0.09105341306300789,0.001270195370666083,42.333333333333336,94.8929221104855,cross_section
pv_corr_60,0.009268663708298356,8.59198841010785e-05,52.333333333333336,82.67204283593497,volume
autocorr_60,0.00595768174549375,0.0002300389022412203,52.5,83.17150954503592,stats
upper_shadow_ma20,0.0034038688585172525,0.00012427173538402206,53.5,23.46699810372004,candle
linreg_slope_120,0.0034844973503033866,0.0001445169162927905,53.666666666666664,23.027519768022493,trend
up_ratio_60,0.009944537167365103,1.1010563937831193e-05,55.666666666666664,89.12388381722751,momentum
ret_z_60,0.0056493110278576725,0.00019858651274775845,55.833333333333336,71.57210816139668,stats
mdd_60,0.003082636955175418,0.0001632196657527106,56.166666666666664,28.83342967228607,volatility
cs_beta_60,0.004981728964646951,4.341545093957924e-05,56.5,33.22499059443057,cross_section
ret_lag_4,0.002947720712784683,0.00015524173097817653,58.0,27.992856231545932,momentum
ret_std_20,0.002209299122622874,0.00028883104279343717,58.5,44.876497189508896,volatility
ulcer_14,0.002687463298058588,0.00016028689519914034,58.5,31.188138771013573,volatility
linreg_slope_10,0.0027348467632454924,0.00023257070206952584,60.5,48.80471288717925,trend
ret_std_60,0.003603662478453037,0.0002290940861644867,61.166666666666664,57.76302161994875,volatility
ev_range_x_atr,0.004866599549655879,0.00014994154323076813,61.833333333333336,64.1480059445862,event
dist_low_120,0.003132303753720525,0.00016848298262882463,66.0,52.09606511052442,volatility
upper_shadow_ma5,0.005854446610610404,2.6596188487844803e-05,68.16666666666667,75.65557921704563,candle
skew_60,0.004387488598024016,3.421309598106159e-05,69.0,41.78516483155236,stats
dist_low_20,0.0021874788029499948,0.0002485373256227996,69.5,41.936857297608746,volatility
hurst_120,0.004699599048113723,2.0205237464845616e-05,72.83333333333333,48.16810839826147,stats
gk_vol_10,0.0025547340747991286,7.391534292482898e-05,73.0,29.23696290656743,volatility
willr_14,0.002060867826619694,0.000154510458697632,73.66666666666667,38.81580434135903,momentum
vol_sma_ratio_10,0.00495609697632405,-5.6254195578691535e-05,76.16666666666667,80.72773170767692,volume
ev_vol_pctile250,0.005250597454534554,-6.292628699531041e-06,76.5,73.18674743421789,event
adx_28,0.0030628173376753168,0.0001249676730795679,76.66666666666667,63.66998246164881,trend
