,nan_ratio,mean,std,kept
sma_ratio_5,0.0018510291722197542,0.0014632823,0.022539258,True
ema_ratio_5,0.0,0.0012736329,0.01837834,True
wma_ratio_5,0.0018510291722197542,0.0009142918,0.016550897,True
sma_ratio_10,0.004164815637494447,0.0033999993,0.034786392,True
ema_ratio_10,0.0,0.0029628437,0.029297967,True
wma_ratio_10,0.004164815637494447,0.002154769,0.026208764,True
sma_ratio_20,0.008792388568043832,0.0073211985,0.051882435,True
ema_ratio_20,0.0,0.0063673006,0.043987457,True
wma_ratio_20,0.008792388568043832,0.0046534804,0.03933018,True
sma_ratio_60,0.027302680290241375,0.022229446,0.09716817,True
ema_ratio_60,0.0,0.020068882,0.08153439,True
wma_ratio_60,0.027302680290241375,0.01401428,0.07251772,True
sma_ratio_120,0.055068117873537686,0.046756726,0.15040636,True
ema_ratio_120,0.0,0.04063731,0.12205038,True
wma_ratio_120,0.055068117873537686,0.02954983,0.109156005,True
sma_cross_5_20,0.008792388568043832,0.0055708005,0.04028637,True
sma_cross_10_60,0.027302680290241375,0.01824318,0.08009471,True
sma_cross_20_120,0.055068117873537686,0.037777364,0.11983159,True
macd_diff_12_26_9,0.0,0.0032892376,0.022676723,True
macd_signal_12_26_9,0.0,0.0032953452,0.021142581,True
macd_hist_12_26_9,0.0,-6.107805e-06,0.0069534625,True
macd_diff_5_35_5,0.0,0.007042018,0.04754097,True
macd_signal_5_35_5,0.0,0.007047203,0.04574526,True
macd_hist_5_35_5,0.0,-5.184314e-06,0.010004883,True
adx_14,0.0005923293351103214,25.704983,11.864397,True
pdi_14,0.0,24.280067,8.243744,True
mdi_14,0.0,21.030834,8.102739,True
adx_28,0.0005923293351103214,19.866776,11.465385,True
pdi_28,0.0,24.165518,6.3708696,True
mdi_28,0.0,20.97918,6.3027377,True
aroon_up_14,0.0064786021027691395,51.854492,36.41306,True
aroon_dn_14,0.0064786021027691395,41.886864,35.96928,True
aroon_osc_14,0.0064786021027691395,9.967628,63.169575,True
aroon_up_25,0.011568932326373463,53.091557,35.62489,True
aroon_dn_25,0.011568932326373463,40.498413,34.938232,True
aroon_osc_25,0.011568932326373463,12.593144,61.57904,True
linreg_slope_5,0.0018510291722197542,0.00047325538,0.010476175,True
linreg_slope_10,0.004164815637494447,0.00048392278,0.0071808444,True
linreg_slope_20,0.008792388568043832,0.00049203937,0.005013874,True
linreg_slope_60,0.027302680290241375,0.00047527958,0.0027433138,True
linreg_slope_120,0.055068117873537686,0.0004758734,0.0018878233,True
trix_15,0.00046275729305493855,0.06895384,0.33052358,True
vortex_pos_14,0.0064786021027691395,0.97368926,0.16391532,True
vortex_neg_14,0.0064786021027691395,0.9164538,0.16560751,True
psar_dist,0.00046275729305493855,0.0016920266,0.06916283,True
roc_5,0.002313786465274693,0.004512771,0.04661207,True
roc_10,0.004627572930549386,0.009151712,0.06688061,True
roc_20,0.009255145861098771,0.018600779,0.09860806,True
roc_60,0.027765437583296314,0.05764766,0.20871472,True
roc_120,0.05553087516659263,0.12516719,0.38270864,True
rsi_6,0.0007342415716471691,52.588436,17.973461,True
rsi_14,0.0007342415716471691,52.50852,12.163999,True
rsi_28,0.0007342415716471691,52.383286,9.257444,True
stoch_k_14_3,0.006941359395824079,53.518585,27.988728,True
stoch_d_14_3,0.007866873981933956,53.529762,27.155018,True
stoch_k_60_3,0.02822819487635125,56.708458,28.588692,True
stoch_d_60_3,0.02915370946246113,56.71374,28.360023,True
stochrsi_14,0.00675008638136137,0.5033319,0.3585795,True
willr_14,0.006015844809714201,-46.49412,30.221626,True
willr_28,0.01249444691248334,-45.101887,29.677238,True
cci_14,0.006015844809714201,14.68198,109.33879,True
cci_20,0.008792388568043832,17.53657,112.209045,True
cci_60,0.027302680290241375,28.130783,116.03679,True
cmo_14,0.0064786021027691395,5.578477,33.216934,True
ppo_12_26,0.0,0.42928332,2.3152423,True
tsi_25_13,0.00048743768201786863,4.9920664,21.353949,True
uo_7_14_28,0.012568488079372131,49.981995,11.831687,True
ao_5_34,0.015270990670812973,0.0069921394,0.058075145,True
ret_lag_1,0.00046275729305493855,0.00089548796,0.02080821,True
ret_lag_2,0.0009255145861098771,0.00089498895,0.020810522,True
ret_lag_3,0.0013882718791648156,0.00088756706,0.02081049,True
ret_lag_4,0.0018510291722197542,0.0008939309,0.020809637,True
ret_lag_5,0.002313786465274693,0.0008976203,0.020812398,True
ret_lag_6,0.002776543758329631,0.00089473184,0.020813938,True
ret_lag_7,0.0032393010513845698,0.0008927342,0.02081275,True
ret_lag_8,0.0037020583444395084,0.0008964608,0.020813398,True
ret_lag_9,0.004164815637494447,0.00089909055,0.020813074,True
ret_lag_10,0.004627572930549386,0.00089951773,0.020814808,True
up_ratio_5,0.0018510291722197542,0.4702334,0.21779087,True
up_ratio_10,0.004164815637494447,0.47039345,0.15386799,True
up_ratio_20,0.008792388568043832,0.47061136,0.11008934,True
up_ratio_60,0.027302680290241375,0.47056958,0.06784598,True
up_ratio_120,0.055068117873537686,0.47079563,0.05183007,True
mom_accel_5_20,0.009255145861098771,-0.014047878,0.08545382,True
atr_ratio_14,0.0,0.024929302,0.015226965,True
atr_ratio_28,0.0,0.02488865,0.01625834,True
ret_std_5,0.002313786465274693,0.016520789,0.012676097,True
parkinson_5,0.0018510291722197542,0.014594684,0.008957317,True
gk_vol_5,0.0018510291722197542,0.014476728,0.0087719,True
ret_std_10,0.004627572930549386,0.017272053,0.011595832,True
parkinson_10,0.004164815637494447,0.014807222,0.008565726,True
gk_vol_10,0.004164815637494447,0.014666506,0.00841213,True
ret_std_20,0.009255145861098771,0.017743276,0.010833232,True
parkinson_20,0.008792388568043832,0.014972875,0.008240347,True
gk_vol_20,0.008792388568043832,0.014817558,0.008111773,True
ret_std_60,0.027765437583296314,0.018219499,0.010011355,True
parkinson_60,0.027302680290241375,0.015183598,0.007819866,True
gk_vol_60,0.027302680290241375,0.015018822,0.0077123106,True
ret_std_120,0.05553087516659263,0.018431658,0.00962843,True
parkinson_120,0.055068117873537686,0.0152857,0.00761178,True
gk_vol_120,0.055068117873537686,0.015116631,0.007504015,True
bb_pctb_20,0.008792388568043832,0.5505086,0.32217696,True
bb_bw_20,0.008792388568043832,0.12116179,0.096187584,True
bb_pctb_60,0.027302680290241375,0.5847462,0.34105933,True
bb_bw_60,0.027302680290241375,0.21138917,0.1644505,True
keltner_pos_20_10,0.0,0.12710764,0.7048541,True
donchian_pos_5,0.0021101732563305197,0.5165763,0.31044397,True
